"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02409940","To Elucidate the Effect of Mesenchymal Stem Cells on the T Cell Repertoire of the Kidney Transplant Patients",,"Unknown status","No Results Available","Renal Transplant Rejection","Biological: Mesenchymal Stem Cells","Expansion of regulatory T cell compartment of the patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Normalization of serum creatinine levels of the patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|T cell proliferation changes in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in regulatory T cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in memory T cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in B cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in cytokine profile in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.","Postgraduate Institute of Medical Education and Research","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","17","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","IFA-LSBM-11","September 2013","September 2016","March 2017","April 7, 2015",,"November 8, 2016","Translational and Regenerative Medicine, Chandigarh, India",,"https://ClinicalTrials.gov/show/NCT02409940"
12,"NCT01219465","Umbilical Cord Mesenchymal Stem Cells Infusion for Initial Type 1 Diabetes Mellitus",,"Unknown status","No Results Available","Diabetes Mellitus|Diabetes Mellitus, Type 1|Mesenchymal Stem Cells|Umbilical Cord","Biological: umbilical cord mesenchymal stem cells","C peptide release test|Exogenous insulin dose|blood glucose|glycosylated Hemoglobin A1c|Number of severe and documented hypoglycemic events|Immunologic reconstitution parameters","Qingdao University","All","3 Years to 35 Years   (Child, Adult)","Phase 1|Phase 2","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSCT1DM003","September 2010","September 2012","December 2012","October 13, 2010",,"October 13, 2010","Stem Cell Research Center of Medical School Hospital of Qingdao University, Qingdao, Shandong, China",,"https://ClinicalTrials.gov/show/NCT01219465"
13,"NCT01219452","Intramuscular Injection of Mesenchymal Stem Cell for Treatment of Children With Idiopathic Dilated Cardiomyopathy",,"Unknown status","No Results Available","Dilated Cardiomyopathy","Biological: umbilical cord mesenchymal stem cells","echocardiography|24h HOLTER|The level of serum BNP,TNI,HGF、LIF and G/M-CSF|The expression level of c-kit,CD31,CD133 on peripheral blood mononuclear cells","Qingdao University","All","1 Year to 14 Years   (Child)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSCKX002","October 2010","November 2012","December 2012","October 13, 2010",,"October 28, 2010","Stem Cell Research Center of Medical School Hospital of Qingdao University, Qingdao, Shandong, China",,"https://ClinicalTrials.gov/show/NCT01219452"
14,"NCT03863002","Safety and Efficacy of Mesenchymal Stem Cell Transplantation for Acute-on-Chronic Liver Failure",,"Unknown status","No Results Available","Liver Failure, Acute on Chronic","Biological: Mesenchymal Stem Cell","survival rate|Adverse reactions|White blood cell|Platelet|Hemoglobin|Creatinine|ALT|ALB|TBil|INRs|AFP|MELD scores|Tumor formation|Liver failure-associated serious complications","Tianjin Weikai Bioeng., Ltd.|Tianjin Nankai Hospital","All","16 Years to 60 Years   (Child, Adult)","Phase 1|Phase 2","45","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Tianjin Weikai Bioeng., Ltd","October 1, 2019","October 1, 2021","October 1, 2022","March 5, 2019",,"March 20, 2019","Tianjin Weikai Bioeng., Ltd., Tianjin, Tianjin, China",,"https://ClinicalTrials.gov/show/NCT03863002"
15,"NCT03509870","Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells to Non-healing Diabetic Foot Wounds","REDDSTAR","Terminated","No Results Available","Diabetic Foot Ulcer","Biological: mesenchymal stromal cells","serious adverse events attributable to intervention|healing","Steno Diabetes Center Copenhagen|Leiden University Medical Center","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","2","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015-005580-16","June 1, 2018","April 1, 2020","April 1, 2020","April 26, 2018",,"August 19, 2020","Steno Diabetes Center Copenhagen, Gentofte, Denmark",,"https://ClinicalTrials.gov/show/NCT03509870"
16,"NCT02172885","Mesenchymal Stem Cell Based Therapy for the Treatment of Osteogenesis Imperfecta","TERCELOI","Completed","No Results Available","Osteogenesis Imperfecta","Biological: Mesenchymal Stem Cells","Adverse Events as a Measure of Safety|bone mineral density|fracture rate|growth velocity|change from baseline in degree of functionality|change from baseline in well-being","Hospital de Cruces|Hospital Universitario Getafe|Hospital Infantil Universitario Niño Jesús, Madrid, Spain","All","6 Months to 12 Years   (Child)","Phase 1","2","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EudraCT Number:2012-002553-38|Health Department of Spain","April 2014","December 2018","December 2018","June 24, 2014",,"March 26, 2019","Hospital Universitario Cruces, Barakaldo, Bizkaia, Spain|Hospital Universitario Getafe, Getafe, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02172885"
17,"NCT02285673","Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy",,"Unknown status","No Results Available","Duchenne Muscular Dystrophy","Biological: Umbilical Cord Mesenchymal Stem Cell","Duchenne muscular dystrophy gene expression","Acibadem University","Male","7 Years to 20 Years   (Child, Adult)","Phase 1|Phase 2","10","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DMD-UC-MSC-1","November 2013","February 2015","November 2015","November 7, 2014",,"November 7, 2014","Acibadem Labcell, Istanbul, Uskudar, Turkey",,"https://ClinicalTrials.gov/show/NCT02285673"
18,"NCT03042572","Allogeneic Mesenchymal Stromal Cells for Angiogenesis and Neovascularization in No-option Ischemic Limbs","SAIL","Unknown status","No Results Available","Peripheral Arterial Disease|Cardiovascular Diseases|Vascular Diseases","Drug: Allogeneic Mesenchymal Stromal Cell|Other: Placebo","Therapy Success|Major amputation|Minor amputation|Mortality|Ulcer healing|Changes in pain|Pain-free walking distance|Ankle-brachial index (ABI)|Toe-brachial index (TBI)|Quality of life based on EuroQol 5D (EQ5D) questionnaire scores|Quality of life based on Short Form 36 (SF36) questionnaire scores|Clinical status according to Fontaine classification|Clinical status according to Rutherford classification","Martin Teraa, MD, PhD|ZonMw: The Netherlands Organisation for Health Research and Development|UMC Utrecht","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NL59038.000.16","December 2018","December 2020","July 2021","February 3, 2017",,"May 3, 2018","University Medical Center Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT03042572"
19,"NCT04125329","Umbilical Cord Mesenchymal Stem Cells Therapy for Diabetic Nephropathy",,"Recruiting","No Results Available","Mesenchymal Stem Cells|Diabetic Nephropathy","Drug: Human umbilical cord mesenchymal stem cells","Incidence of Treatment-Emergent and Treatment-Chronic Adverse Events of human umbilical cord mesenchymal stem cells for diabetic nephropathy patient|Changes in eGFR before and after treatment; Changes in 24h urine protein quantification before and after treatment","Yan'an Affiliated Hospital of Kunming Medical University","All","18 Years to 60 Years   (Adult)","Early Phase 1","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","43136152-9","April 1, 2020","September 1, 2024","September 1, 2024","October 14, 2019",,"April 21, 2021","Yan'an Hospital of Kunming City, Kunming, China",,"https://ClinicalTrials.gov/show/NCT04125329"
20,"NCT01586312","Treatment of Knee Osteoarthritis With Allogenic Mesenchymal Stem Cells","MSV_allo","Completed","Has Results","Osteoarthritis, Knee|Arthritis of Knee|Knee Osteoarthritis","Other: Allogenic mesenchymal stromal cells injection|Drug: Hyaluronic Acid","Number of Participants With Adverse Events as a Measure of Safety and Tolerability|Pain and Disability Evolution (WOMAC, Visual Analogue Scale, Lequesne Index and SF-12 Scores)|Evolution of Cartilage Degeneration by T2 Relaxation Measurements in MRI (Cartigram)","Red de Terapia Celular|University of Valladolid|Sanidad de Castilla y León|Centro Medico Teknon","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","TerCel004|2011-005321-51|EC11-309|MSV_allo","April 2012","December 2013","June 2014","April 26, 2012","November 6, 2014","October 16, 2015","Centro Medico Teknon, Barcelona, Spain|Hospital Clinico Universitario, Valladolid, Spain",,"https://ClinicalTrials.gov/show/NCT01586312"
21,"NCT05160831","Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis",,"Not yet recruiting","No Results Available","Knee Osteoarthritis","Biological: Human umbilical cord mesenchymal stem cells","VAS score|Kellgren-Lawrence score","Southwest Hospital, China","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCforKneeOA","January 20, 2022","January 20, 2023","January 20, 2024","December 16, 2021",,"December 16, 2021",,,"https://ClinicalTrials.gov/show/NCT05160831"
22,"NCT02482194","Autologous Mesenchymal Stem Cells Transplantation for Spinal Cord Injury- A Phase I Clinical Study",,"Completed","No Results Available","Spinal Cord Injury","Biological: mesenchymal stem cells","Number of adverse events|Sensory and motor strength|Functional Independence|Muscle strength assessment","National Institute of Blood and Marrow Transplant (NIBMT), Pakistan|Armed Forces Institute of Regenerative Medicine","All","18 Years to 50 Years   (Adult)","Phase 1","9","Other|U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AFBMTC-SCI-2013","June 2013","January 2016","March 2016","June 26, 2015",,"June 29, 2016","Armed Forces Bone Marrow Transplant Centre, Rawalpindi, Pakistan",,"https://ClinicalTrials.gov/show/NCT02482194"
23,"NCT01956903","Treatment of Refractory Acute Graft-Versus-Host Disease by Sequential Infusion of Allogenic Mesenchymal Stem Cell.","CSM/EICH2010","Completed","No Results Available","Chronic Graft-Versus-Host Disease","Genetic: Allogenic Mesenchymal Stem Cell","Adverse effects|efficacy","Grupo Espanol de trasplantes hematopoyeticos y terapia celular","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSM/EICH2010|2010-020947-11","January 2010","September 2013","September 2013","October 8, 2013",,"October 8, 2013","Grupo Espanol de trasplantes hematopoyeticos y terapia celular, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT01956903"
24,"NCT01941394","Mesenchymal Stem Cells Infusion for aGVHD Prophylaxis Transplantation",,"Unknown status","No Results Available","Graft-versus-host Disease|Relapse","Biological: Mesenchymal stem cells","GVHD|Overall survival|Relapse-free survival|Infection rate","National Research Center for Hematology, Russia","All","18 Years to 60 Years   (Adult)","Phase 2","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","NRCH-MSC","October 2007","October 2014","October 2014","September 13, 2013",,"September 13, 2013","BMT department, Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT01941394"
25,"NCT02824653","Allogenic Bone Marrow Mesenchymal Stem Cells Infusion in Patients With Steroid-refractory GVHD",,"Completed","No Results Available","Graft Versus Host Disease","Biological: Mesenchymal Stem Cells","Incidence of treatment-emergent adverse events and complications [Safety and Tolerability]|Acute GVHD-restaging [Efficacy]|Chronic GVHD-restaging [Efficacy]|Survival analysis at six months after MSC infusion|Incidence free survival at six months after MSC infusion","National Institute of Blood and Marrow Transplant (NIBMT), Pakistan","All","1 Year to 65 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AFBMTC-GVHD-2015","January 2015","July 2016","December 2016","July 7, 2016",,"January 25, 2017","Armed Forces Bone Marrow Transplant Centre, Rawalpindi, Punjab, Pakistan",,"https://ClinicalTrials.gov/show/NCT02824653"
26,"NCT03601416","Human Mesenchymal Stem Cells For Moderate and Severe Bronchopulmonary Dysplasia",,"Unknown status","No Results Available","Bronchopulmonary Dysplasia","Drug: Transplantation of mesenchymal stem cell|Drug: No Transplantation of Mesenchymal Stem Cell","the accumulative duration of oxygen therapy|Changes of blood pressure in participants|Changes of heart rate in participants","Children's Hospital of Chongqing Medical University","All","28 Days to 1 Year   (Child)","Phase 2","57","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Xia Yunqiu","July 1, 2019","June 1, 2021","December 31, 2021","July 26, 2018",,"January 15, 2019","Children's Hospital of Chongqing Medical University, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT03601416"
27,"NCT01764100","Mesenchymal Stromal Cells (MSCs) for the Treatment of Graft Versus Host Disease (GVHD)","MSC-GvHD","Unknown status","No Results Available","Graft vs Host Disease","Genetic: Mesenchymal stromal cells","Any toxic effect reported during MSCs infusion or in the subsequent 10 days by clinical monitoring|Feasibility as the possibility of producing adequate lots of patient dedicated MSCs for any patients presenting with steroid resistant GVHD|Number of patients with GvHD resolution|Determination of recurrence of GvHD|Relapse of haematological disease|Survival","Ettore Biagi, MD|Azienda Ospedaliera San Gerardo di Monza","All","Child, Adult, Older Adult","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC-MSC|2008-007869-23","September 2009","May 2013","September 2013","January 9, 2013",,"January 9, 2013","U.O. Ematologia - Ospedali Riuniti di Bergamo, Bergamo, BG, Italy|Clinica Pediatrica CTMO - Azienda Ospedaliera San Gerardo, Monza, MB, Italy|U.O. Ematologia CTMO - Azienda Ospedaliera San Gerardo, Monza, MB, Italy",,"https://ClinicalTrials.gov/show/NCT01764100"
28,"NCT04791878","Study of Mesenchymal Stem Cells for Pediatric Perianal Fistulizing Crohn's Disease",,"Recruiting","No Results Available","Perianal Fistula Due to Crohn's Disease (Disorder)","Drug: Mesenchymal stem cells","Treatment related adverse events|Complete clinical healing|Partial clinical healing|Lack of response|Worsening of disease","Amy Lightner|The Cleveland Clinic","All","13 Years to 17 Years   (Child)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","21-134","April 1, 2021","April 1, 2023","April 1, 2023","March 10, 2021",,"April 5, 2022","Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04791878"
29,"NCT04501354","Evaluation of Clinical and Bone Density Improvement After Implantation of Allogenic Mesenchymal Stem Cell From Umbilical Cord on Osteoporosis Patients",,"Unknown status","No Results Available","Osteoporosis","Drug: Mesenchymal Stem Cell","Bone Mass Density (BMD)|Visual Analog Scale (VAS)","Ahmad Jabir Rahyussalim|Indonesia University","All","40 Years and older   (Adult, Older Adult)","Phase 2","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19-08-1018","August 2020","December 2020","December 2020","August 6, 2020",,"August 7, 2020","Cipto Mangunkusumo Hospital, Jakarta Pusat, DKI Jakarta, Indonesia",,"https://ClinicalTrials.gov/show/NCT04501354"
30,"NCT04414592","Human Umbilical Cord Mesenchymal Stem Cells For the Treatment of Lumbar Disc Degeneration Disease",,"Recruiting","No Results Available","Lumbar Disc Degeneration|Lumbar Disc Herniation","Other: human umbilical cord mesenchymal stem cells","Lumbar disc signaling values from magnetic resonance imaging|Visual Analogue Scale (VAS) (0-10 scores, the higher scores mean a worse outcome)|Oswestry Disability Index(ODI) (0-50 scores, the higher scores mean a worse outcome)|The Short Form (36) Health survey (SF36) (0-100 scores, the higher scores mean a better outcome)|Disc Height Index (DHI) from X ray|Size of herniated nucleus pulposus from magnetic resonance imaging|Number of participants with treatment-related adverse events by CTCAE v4.0","Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine","All","18 Years to 60 Years   (Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QFu","August 2020","March 2022","March 2023","June 4, 2020",,"June 4, 2020","Shanghai General Hospital, Shanghai, Shanghai, China|Shanghai General Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04414592"
