,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
185,65,NCT01453738,Allogeneic Mesenchymal Stem Cells in Osteoarthritis,,Completed,No Results Available,Osteoarthritis of Knee,Biological: Ex- vivo cultured adult allogeneic MSCs|Biological: Plasmalyte-A,Number and percentage of patients with adverse events as a measure of safety and tolerability|Change from baseline in the WOMAC OA (Western Ontario and McMaster Universities Osteoarthritis) Index -pain subscale score|Change from baseline in WOMAC OA stiffness index|Change from baseline in WOMAC OA composite index|Change from baseline in ICOAP (Intermittent and Constant Osteoarthritis Pain)|Change from baseline in radiographic (X-ray) findings of knee|Change from baseline in the WORMS score (Whole-Organ Magnetic Resonance Imaging Score) of knee using MRI|Change from baseline in arthritis pain scores on the visual analogue scale|Reduction in the intake of analgesic tablets from baseline,Stempeutics Research Pvt Ltd,All,"40 Years to 70 Years   (Adult, Older Adult)",Phase 2,60,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SRPL/OA/09-10/001,November 2011,November 2014,November 2014,"October 18, 2011",,"May 12, 2016","Department of Orthopedics, M. S. Ramaiah Memorial Hospital, Bangalore, Karnataka, India|Department of Orthopedics, Kasturba Medical College, Manipal, Karnataka, India|Seth G. S. Medical College and KEM Hospital, Mumbai, Maharashtra, India|Jehangir Hospital, Pune, Maharashtra, India|Department of Immunology Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow, Uttar Pradesh, India",,https://ClinicalTrials.gov/show/NCT01453738
186,146,NCT00721045,A Phase II Dose-escalation Study to Assess the Feasibility and Safety of Transendocardial Delivery of Three Different Doses of Allogeneic Mesenchymal Precursor Cells (MPCs)in Subjects With Heart Failure,,Completed,No Results Available,Heart Failure,Biological: Mesenchymal Precursor Cells (MPCs)|Procedure: standard-of-care treatment with mock mapping and injection procedures.,"The primary objective of this study is to evaluate the feasibility and safety of transendocardial injection using mapping Catheter with the Left Ventricular Injection Catheter of 25 M, 75 M, and 150 M allogeneic MPCs in subjects with heart failure.|The secondary objectives are to explore functional efficacy for subsequent study design.","Mesoblast, Ltd.",All,"20 Years to 80 Years   (Adult, Older Adult)",Phase 2,60,Industry,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,HF-AB002,August 2008,June 2011,July 2013,"July 23, 2008",,"March 11, 2020","Mercy Gilbert Medical Center, Gilbert, Arizona, United States|University of California, San Diego, La Jolla, California, United States|Minneapolis Heart Institute 920 East 28th St, Suite 300, Minneapolis, Minnesota, United States|UPMC, Pittsburgh, Pennsylvania, United States|Texas Heart Institue, Houston, Texas, United States|Swedish Heart and Vascular Institute, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT00721045
187,207,NCT05193877,Autologous Bone Marrow Aspirate Concentrate Injection for the Treatment of Early Osteoarthritis:Baghdad 2022,,Recruiting,No Results Available,Treatment Complication,Procedure: autologous bone marrow aspirate concentrate by centrifugation,clinical|radiological proof,"zaid husein ali|Global Stem Cell Center, Baghdad",All,"55 Years to 85 Years   (Adult, Older Adult)",Not Applicable,60,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,Ibn-sina protocol,"February 8, 2022",September 2022,November 2022,"January 18, 2022",,"March 21, 2022","Ibn Sina, Baghdad, Iraq",,https://ClinicalTrials.gov/show/NCT05193877
188,329,NCT00114452,Safety Study of Adult Mesenchymal Stem Cells (MSC) to Treat Acute Myocardial Infarction,,Completed,No Results Available,Myocardial Infarction,Biological: Provacel|Biological: Placebo,"Comparison of treatment adverse event rates between the 0.5, 1.6 and 5.0 million mesenchymal stem cells per kilogram dose cohorts and placebo groups.","Mesoblast, Inc.|Mesoblast, Ltd.",All,"21 Years to 85 Years   (Adult, Older Adult)",Phase 1,60,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",401-402,"March 22, 2005","October 4, 2006","April 24, 2008","June 15, 2005",,"March 10, 2020","Arizona Heart Institute, Phoenix, Arizona, United States|University of California - San Diego; Thornton, San Diego, California, United States|Washington Hospital Center, Washington, District of Columbia, United States|Rush University Medical Center, Chicago, Illinois, United States|The Care Group, Indianapolis, Indiana, United States|Jewish Hospital, Louisville, Kentucky, United States|Johns Hopkins University, Baltimore, Maryland, United States|Washington Adventist, Takoma Park, Maryland, United States|Minneapolis Heart Institute, Minneapolis, Minnesota, United States|Columbia Presbyterian Hospital, New York, New York, United States|University of Rochester - Strong Memorial, Rochester, New York, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|University of Pennsylvania Medical Center, Philadelphia, Pennsylvania, United States|Austin Heart Institute, Austin, Texas, United States|Texas Medical School, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00114452
189,13,NCT03326505,Allogenic Mesenchymal Stem Cells And Physical Therapy for MS Treatment,,Completed,No Results Available,Multiple Sclerosis,Biological: Umbilical cord derived Mesenchymal Stem Cells|Other: Supervised physical therapy,Isolation and Expansion of Mesenchymal Stem Cells|Safety and Efficacy Assessment Pre and Post Treatment|Motor Functions Assessments|Measuring Non-motor outcomes to assess treatment efficacy.|Biological Assessments,University of Jordan,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,ALLOMSUJCTC,"September 25, 2017","January 25, 2020","February 20, 2020","October 31, 2017",,"March 4, 2020","Cell Therapy Center, University of Jordan, Amman, Jordan|Cell Therapy Center, Amman, Jordan",,https://ClinicalTrials.gov/show/NCT03326505
190,37,NCT02097641,Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START),START,Completed,Has Results,"Respiratory Distress Syndrome, Adult",Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Biological: Plasma-Lyte A,Numbers of Patients Occurred Pre-specified Infusion Associated Events Occurring Within 6 Hours of Study Infusion|Numbers of Patients Occurred Any Cardiac Arrest or Death Within 24 Hours of Study Infusion|Numbers of Patients Occurred Any Unexpected Severe Adverse Events (Including All-cause Deaths)|PaO2:FiO2 Change From Baseline to Day 3|Lung Injury Score From Baseline to Day 3|Oxygenation Index Change From Baseline to Day 2|SOFA Score Change From Baseline to Day 3|Number of Patients Death to Day 28|Mortality to Day 60|Number of Ventilator-free Days to Day 28|Non-pulmonary Organ-failure-free Days to Day 28|Angiopoietin 2 Change From Baseline to 6 h|Angiopoietin 2 Change From Baseline to 24 h|Interleukin 6 Change From Baseline to 6 h|Interleukin 6 Change From Baseline to 24 h|Interleukin 8 Change From Baseline to 6 h|Interleukin 8 Change From Baseline to 24 h|RAGE Change From Baseline to 6 h|RAGE Change From Baseline to 24 h,"Michael A. Matthay|National Heart, Lung, and Blood Institute (NHLBI)|Massachusetts General Hospital|Stanford University|University of Pittsburgh|University of Minnesota|Ohio State University|University of California, San Francisco",All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",UCSF-hMSC-ARDS-P2|1U01HL108713-01,"March 15, 2014","March 9, 2017","February 9, 2018","March 27, 2014","April 10, 2019","April 10, 2019","University of California San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Minnesota Medical Center, Saint Paul, Minnesota, United States|Ohio State University, Columbus, Ohio, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT02097641/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02097641
191,280,NCT04953663,Clinical Plan of Ischemic Stroke,,Recruiting,No Results Available,Stroke,Biological: it-hMSC,Adverse events and serious adverse events rate|Rate of clinical significant changes in laboratory|Rate of abnormal neurological physical examination results|Rate of imaging changes|Change of NIHSS scores|Change of BI scores|Change of mRS scores|Change of MMSE scores|Change of GDS scores,Peking University Third Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,60,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",D2020093,"January 1, 2021","January 1, 2022","January 1, 2023","July 8, 2021",,"July 8, 2021","Peking University Third Hospital, Beijin, China",,https://ClinicalTrials.gov/show/NCT04953663
192,632,NCT05216562,Efficacy and Safety of EXOSOME-MSC Therapy to Reduce Hyper-inflammation In Moderate COVID-19 Patients,EXOMSC-COV19,Recruiting,No Results Available,SARS-CoV2 Infection,Drug: Exosome-MSC Intravenous injection|Drug: Placebo Intravenous Injection|Drug: COVID-19 Standard Treatment,Time to clinical improvement (days)|Increase in Lymphocytes counts|Decrease in D-dimer|Decrease in LDH level|Decrease in Ferritin concentration|Decrease in C-reactive protein|Adverse events,"Dermama Bioteknologi Laboratorium|Kementerian Riset dan Teknologi / Badan Riset dan Inovasi Nasional, Indonesia",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2|Phase 3,60,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",DBL-EXO-MSC-COV-19-CT-01|PPUK-RG.01.06.1.2.03.21.29,"July 1, 2021","June 30, 2022","December 30, 2022","January 31, 2022",,"February 18, 2022","RSPAD Gatot Soebroto, Jakarta, DKI Jakarta, Indonesia|RSUP Dr. M. Jamil, Padang, West Sumatra, Indonesia|RSUP Dr. Sardjito, Yogyakarta, Indonesia",,https://ClinicalTrials.gov/show/NCT05216562
193,137,NCT04905836,Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells for Treatment of COVID-19 Acute Respiratory Distress,,Recruiting,No Results Available,Covid19,Biological: COVI-MSC|Drug: Placebo,All-cause mortality rate at Day 28|Incidence of all adverse events (AEs) (safety)|Incidence of treatment-emergent adverse events (safety)|Incidence of severe adverse events (safety)|Incidence of infusion-related adverse events (safety)|All-cause mortality rate at Day 60 and 90|Number of ventilator-free days through Day 28|Number of ICU days through Day 28|Change in clinical status|Change in oxygenation,"Sorrento Therapeutics, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MSC-COV-202,"November 16, 2021",December 2022,March 2023,"May 28, 2021",,"April 11, 2022","Teradan Clinical Trials LLC, Brandon, Florida, United States|Sarasota Memorial Health Care System (SMH), Sarasota, Florida, United States|St Luke's Research, Boise, Idaho, United States|St. Luke's Boise, Boise, Idaho, United States|Ascension St. John, Tulsa, Oklahoma, United States|PRX Research/Dallas Regional Medical Center, Mesquite, Texas, United States",,https://ClinicalTrials.gov/show/NCT04905836
194,642,NCT01449032,MesenchYmal STROMAL CELL Therapy in Patients With Chronic Myocardial Ischemia (MyStromalCell Trial),MyStromalCell,Completed,No Results Available,Chronic Ischemic Heart Disease,Biological: MSC|Biological: Saline,Exercise test|Clinical evaluation,"Rigshospitalet, Denmark",All,"30 Years to 80 Years   (Adult, Older Adult)",Phase 2,60,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",MyStromalCell,April 2010,January 2014,January 2014,"October 7, 2011",,"June 10, 2014","Rigshospitalet University Hospital Copenhagen, Copenhagen, Denmark",,https://ClinicalTrials.gov/show/NCT01449032
195,76,NCT04212728,Treatment of Knee Osteoarthritis With Autologous Adipose-derived Mesenchymal Stem Cells,,Recruiting,No Results Available,Knee Osteoarthritis,Biological: Auotologous AMSCs plus autologous PRP|Biological: Auotologous PRP,Physical function change|Change in pain density|Cartilage repair|Change in MOS item short from health survey(SF-36)|Change in Lequesne Index|Change in knee society score (KSS),Yantai Yuhuangding Hospital,All,"40 Years to 70 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2019-003,"December 29, 2019",December 2022,December 2023,"December 27, 2019",,"February 24, 2022","Yantai Yuhuangding Hospital, Yantai, Shandong, China",,https://ClinicalTrials.gov/show/NCT04212728
196,93,NCT03969680,Mesenchymal Stem Cell Transplantation for Osteoarthritis,,Recruiting,No Results Available,Knee Osteoarthritis,Biological: Auotologous BMSCs plus autologous PRP|Biological: Auotologous PRP,Physical function change|Change in pain density|Cartilage repair|Change in MOS item short from health survey(SF-36)|Change in Lequesne Index|Change in knee society score (KSS),Yantai Yuhuangding Hospital,All,"40 Years to 70 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2019-002,"July 8, 2019","June 30, 2023","December 31, 2023","May 31, 2019",,"August 4, 2022","Yantai Yuhuangding Hospital, Yantai, Shandong, China",,https://ClinicalTrials.gov/show/NCT03969680
197,223,NCT04544215,A Clinical Study of Mesenchymal Progenitor Cell Exosomes Nebulizer for the Treatment of Pulmonary Infection,,Recruiting,No Results Available,Drug-resistant,Biological: Dosage 1 of MPCs-derived exosomes|Biological: Dosage 2 of MPCs-derived exosomes|Biological: No MPCs-derived exosomes,Primary Outcome Measures:|1.Bacterial clearance rate on the 8th d;|2.Mortality on the 28th and 90th d;|3.Recurrence rate after cure within 28 d;|4.Secondary infection rate of other pathogenic bacteria after cure within 28 d;|5.Duration of mechanical ventilation within 28 d;|6.Length of ICU stay (d) within 28 d;|7.Incidence of adverse reactions at the end of treatment and 28 d after initial treatment.,Ruijin Hospital|Cellular Biomedicine Group Ltd.,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,60,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",MEXDR,"July 1, 2020",May 2023,July 2023,"September 10, 2020",,"September 10, 2020","Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China",,https://ClinicalTrials.gov/show/NCT04544215
198,649,NCT01409954,Collecting Bone Graft During Spinal Decompression and Posterolateral Lumbar Fusion to Better Define Bone Making Cells,,Enrolling by invitation,No Results Available,Pseudarthrosis After Fusion or Arthrodesis,,Osteogenic Potential of Mesenchymal Stem Cells,University of Utah,All,"18 Years and older   (Adult, Older Adult)",,60,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,46970,October 2011,January 2024,January 2024,"August 4, 2011",,"May 9, 2022","University of Utah Orthopaedic Center, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT01409954
199,721,NCT04557514,Comparative Study Between Fat Injection And Platelet Rich Plasma In Post Burn Facial Scar,,Not yet recruiting,No Results Available,Burn Scar,Procedure: platelet rich plasma injection in post burn facial scar|Procedure: fat injection in post burn facial scar,vancouver scale,Assiut University,All,"15 Years to 60 Years   (Child, Adult)",Not Applicable,60,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,facial burn scar,"October 1, 2020","October 1, 2023","December 1, 2023","September 21, 2020",,"September 21, 2020",,,https://ClinicalTrials.gov/show/NCT04557514
200,95,NCT04995081,Clinical Trial for Parkinson's Disease Using Allogeneic HB-adMSCs (Early and Moderate PD).,,Recruiting,No Results Available,Parkinson Disease,Biological: Biological/Vaccine: Allogeneic HB-adMSCs|Other: Placebo,"1. Changes in the total score MDS-UPDRS Part II.|2. Incidence of treatment-emergent Adverse Event (TEAEs).|3. Incidence of treatment-emergent Serious Adverse Events (SAEs).|4. AEs of special interest (serious or non-serious) - thromboembolic events.|5. AEs of special interest (serious or non-serious) - thromboembolism of the extremities|6. AEs of special interest (serious or non-serious) - infections|7. AEs of special interest (serious or non-serious) - hypersensitivities.|8. Laboratory value Complete Blood Count (CBC)|9. Laboratory values Chemistry Metabolic Panel (CMP)|10. Laboratory values Coagulation Panel; Prothrombin time, Partial Prothrombin time, and INtern|11. Vital signs. - Respiratory Rate (breaths per minute)|12. Vital signs. - Heart Rate (beats per minute)|13. Vital signs. - Body Temperature (Fahrenheit )|14. Vital signs. - Blood Pressure (mmHg)|15. Weight in lb.|16. Physical examination results. General|17. Physical examination results. Body Systems.|18. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part I.|19. Changes in the total score Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part II and Part III.|20. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part III.|21. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part IV.|22. Changes in Short Form 36 Health Survey Questionnaire (SF-36).|23. Changes in Parkinson's disease fatigue scale (PFS-16)|24. Changes in Parkinson's disease Questionnaire (PDQ-39).|25. Changes in Visual Analog Scale for Pain.|26. Changes in Visual Analog Scale for Muscle spasms.|27. Changes in Dosage of medications taken to treat Parkinson's disease.",Hope Biosciences Stem Cell Research Foundation|Hope Biosciences,All,"45 Years to 80 Years   (Adult, Older Adult)",Phase 2,60,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HBPD04,"July 16, 2021","July 20, 2023","July 20, 2023","August 6, 2021",,"September 21, 2022","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,https://ClinicalTrials.gov/show/NCT04995081
201,38,NCT03383081,The Safety/Efficacy of hUC Mesenchymal Stem Cells（19#iSCLife®-OA） Therapy for Patients With Osteoarthritis,,Recruiting,No Results Available,"Osteoarthritis, Knee",Biological: Low dose mesenchymal stem cells|Biological: High dose mesenchymal stem cells|Procedure: Intraarticular injection,Kellgren-Lawrence Grading Scale|Assessment of Preoperative Cartilage Defect Severity (AMADEUS)|Lysholm scoring|The international knee documentation committee (IKDC) knee evaluation form|Visual Analogue Scale/Score（VAS）,"Sclnow Biotechnology Co., Ltd.",All,"up to 70 Years   (Child, Adult, Older Adult)",Phase 2,60,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCLnow-XY-02,"October 1, 2018",December 2022,June 2023,"December 26, 2017",,"July 22, 2022","Xiangya Hospital Central South University, Changsha, Hunan, China",,https://ClinicalTrials.gov/show/NCT03383081
202,159,NCT00644410,Autologous Mesenchymal Stromal Cell Therapy in Heart Failure,,Completed,No Results Available,Congestive Heart Failure,Biological: Mesenchymal stromal cell|Biological: Saline,Improvements in left ventricular function|Clinical improvements,"Rigshospitalet, Denmark",All,"30 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,59,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MSC heart failure,September 2008,March 2015,March 2015,"March 26, 2008",,"March 17, 2015","The Heart Centre, Rigshospitalet University Hospital Copenhagen,, Copenhagen, Denmark",,https://ClinicalTrials.gov/show/NCT00644410
203,9,NCT02619877,Clinical Study to Evaluate Efficacy and Safety of ALLO-ASC-DFU in Patients With Diabetic Foot Ulcers,,Completed,No Results Available,Diabetic Foot Ulcer,Biological: ALLO-ASC-DFU|Other: Standard therapy,Proportion of re-epithelialization|Time to re-epithelialization|Number of Participants with Adverse Events as a Measure of Safety and Tolerability,"Anterogen Co., Ltd.",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,59,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,ALLO-ASC-DFU-201,October 2015,September 2016,October 2016,"December 2, 2015",,"September 1, 2017","Korea University Guro Hospital, Guro-gu, Seoul, Korea, Republic of|Eulji General Hospital, Nowon-Gu, Seoul, Korea, Republic of|Severance Hospital, Seodaemun-Gu, Seoul, Korea, Republic of|Asan medical center, Songpa-Gu, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02619877
204,720,NCT03197623,Safety and Tolerability of Intravenous LLP2A-Alendronate for Osteopenia Secondary to Glucocorticoids,,Completed,No Results Available,Osteopenia|Osteoporosis|Osteonecrosis,Drug: LLP2A-ALENDRONATE|Drug: Placebo,Dose limiting Adverse events|Severe infusion reactions|Grade 2 elevated creatinine,"Nancy E. Lane, MD|California Institute for Regenerative Medicine (CIRM)|University of California, Davis",All,"20 Years to 85 Years   (Adult, Older Adult)",Phase 1,58,Other,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20161825|LLP2A-001,"October 14, 2016","March 15, 2021","March 31, 2021","June 23, 2017",,"August 6, 2021","West Coast Clinical Trials (WCCT), Cypress, California, United States|Diablo Clinical Research, Walnut Creek, California, United States|Altoona Center for Clinical Research, Duncansville, Pennsylvania, United States|Metroplex Clinical Research Center, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT03197623
205,205,NCT02068794,"MV-NIS Infected Mesenchymal Stem Cells in Treating Patients With Recurrent Ovarian, Primary Peritoneal or Fallopian Tube Cancer",,Recruiting,No Results Available,Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Fallopian Tube Undifferentiated Carcinoma|Malignant Ovarian Brenner Tumor|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Seromucinous Carcinoma|Ovarian Serous Adenocarcinoma|Ovarian Transitional Cell Carcinoma|Ovarian Undifferentiated Carcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma,Other: Laboratory Biomarker Analysis|Procedure: Mesenchymal Stem Cell Transplantation|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter,Maximum tolerated dose (MTD) (Phase I)|Number and severity of adverse events (Phase I)|Overall toxicity incidence (Phase I)|Toxicity profiles by dose level and patient (Phase I)|Proportion of patients alive at 12 months (Phase II)|Tumor response (Phase II)|Rate of progression free survival (Phase II)|Overall survival (Phase II)|Progression free survival (Phase II)|Maximum grade for each type of toxicity (Phase II),Mayo Clinic|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,57,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MC1266|NCI-2014-00016|P30CA015083|P50CA136393|P50CA083639,"March 31, 2014","December 31, 2023","December 31, 2023","February 21, 2014",,"March 15, 2022","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT02068794
206,6,NCT03754465,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Foot Ulcers,,Recruiting,No Results Available,Diabetic Foot Ulcer,Biological: ALLO-ASC-DFU|Procedure: Hydrogel SHEET(Vehicle control),"Proportions of subjects who achieved complete wound closure|Time to initial complete wound closure between the two groups|Changes in wound size compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure by the classification of location of diabetic foot ulcer, Plantar and the other location between the two groups|Durability of complete wound closure","Anterogen Co., Ltd.",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,56,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",ALLO-ASC-SHEET-102,"January 2, 2019","December 30, 2022","December 30, 2022","November 27, 2018",,"May 3, 2022","University of Southern California, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT03754465
207,1,NCT04349631,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19,,Completed,No Results Available,COVID-19,Biological: HB-adMSCs,Incidence of hospitalization for COVID-19|Incidence of symptoms for COVID-19|absence of upper/lower respiratory infection|Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total bilirubin|White blood cells|Red blood cells|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Absolute Immature granulocytes|Platelets|Prothrombin time|INR|TNFalpha|Interleukin-6|Interleukin-10|C-reactive protein|SF-36|PHQ-9,Hope Biosciences Stem Cell Research Foundation|Hope Biosciences,All,"Child, Adult, Older Adult",Phase 2,56,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,HBCOV01,"April 22, 2020","November 24, 2020","May 1, 2021","April 16, 2020",,"July 7, 2021","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,https://ClinicalTrials.gov/show/NCT04349631
208,149,NCT04348435,"A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Allogeneic Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19",,Completed,No Results Available,COVID-19,Biological: HB-adMSCs|Other: Placebos,Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9,Hope Biosciences Stem Cell Research Foundation|Hope Biosciences,All,"Child, Adult, Older Adult",Phase 2,55,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",HBCOV02,"May 14, 2020","July 9, 2021","July 30, 2021","April 16, 2020",,"August 20, 2021","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,https://ClinicalTrials.gov/show/NCT04348435
