,location
123,"CHU Sart Tilman, Liege, Belgium"
124,"CHU d'Amiens, Amiens, France"
125,"CHU de BORDEAUX, Bordeaux, France"
126,"CHU de Bordeaux, Bordeaux, France"
127,"CHU de Caen, Caen, France"
128,"CHU de Grenoble Hopital Albert Michallon, Grenoble, France"
129,"CHU de LIMOGES, Limoges, France"
130,"CHU de Liège, Liège, Belgium"
131,"CHU de Marseille, Marseille, France"
132,"CHU de Nice Hopital Archet 1, Nice, France"
133,"CHU de Nice, Nice, France"
134,"CHU de Saint-Etienne, Saint-Priest-en-Jarez, France"
135,"CHU de Saint-Etienne, Saint-Étienne, France"
136,"California Pacific Medical Center, San Francisco, California, United States"
137,"Campbell Clinic, Germantown, Tennessee, United States"
138,"Campus Benjamin Franklin - CBF Charité - Universitätsmedizin, Berlin, Germany"
139,"Campus Bio-Medico University of Rome, Roma, Italy"
140,"Cancer Care Manitoba, Winnipeg, Manitoba, Canada"
141,"Capital Clinical Research Center, Olympia, Washington, United States"
142,"Cardiocentro Ticino, Lugano, Switzerland"
143,"Cardiology Department of Rangueil Hospital - Rangueil Hospital, Toulouse, France"
144,"Cardiology PC, Birmingham, Alabama, United States"
145,"Cardiovascular Lab. 2014, The Heart Centre, Rigshospitalet, Blegdamcvej 9, Copenhagen, Denmark"
146,"Care Hospital, Hyderabad, Andhra Pradesh, India"
147,"Caritas-Krankenhaus St. Josef, Klinik für Plastische und Ästhetische, Hand- und Wiederherstellungschirurgie, Regensburg, Germany"
148,"Carle Clinic Association, Urbana, Illinois, United States"
149,"Carolina Neurosurgery and Spine Associates, Charlotte, North Carolina, United States"
150,"Cartilage Repair Center; Brigham and Women's Hospital, Chestnut Hill, Massachusetts, United States"
151,"Cartilage Restoration Center; RUSH University Medical Center, Chicago, Illinois, United States"
152,"Case Comprehensive Cancer Center, Cleveland, Ohio, United States"
153,"Catharina Ziekenhuis, Eindhoven, Netherlands"
154,"Catholic University of Korea, Seoul ST. Mary's Hospital., Seoul, Korea, Republic of"
155,"Cedars-Sinai Medical Center, Los Angeles, California, United States"
156,"Celal Bayar University, Medical School, Manisa, Turkey"
157,"Cell Therapy Center, Amman, Jordan"
158,"Cell Therapy Center, Jordan University Hospital, Amman, Jordan"
159,"Cell Therapy Center, University of Jordan, Amman, Jordan"
160,"Cell and Tissue Bank - Regenerative Medicine, Dr. Soetomo General Academic Hospital/ Faculty of Medicine Universitas Airlangga, Surabaya, East Java, Indonesia"
161,"CelularClinic, Escaldes-Engordany, Andorra"
162,"Center for Allogeneic Stem Cell Transplantation and Cell Therapy (CAST), Karolinska Universitetssjukhuset Huddinge, Huddinge, Sweden"
163,"Center for Cancer and Blood Disorders, Bethesda, Maryland, United States"
164,"Center for Clinical Studies, Dearborn, Michigan, United States"
165,"Center for Digestive Health, Troy, Michigan, United States"
166,"Central Adelaide Local Health Network, Adelaide, South Australia, Australia"
167,"Central Clinical Hospital of the MSWiA in Warsaw, Warsaw, Poland"
168,"Central Tennessee Foot and Ankle Center, Sparta, Tennessee, United States"
169,"Central Texas Spine Institute, Austin, Texas, United States"
170,"Centre Hospitalier Lyon Sud Pavillon Marcel Berard 1G, Pierre Benite Cedex, France"
171,"Centre Hospitalier Universitaire CHU de Toulouse, Toulouse, France"
172,"Centre Hospitalier Universitaire de Liège, Liège, Belgium"
173,"Centre for Liver Research & Diagnostics, Hyderabad, Andhra Pradesh, India"
174,"Centro Medico Teknon, Barcelona, Spain"
175,"Centro Medico Teknon-ITRT, Barcelona, Spain"
176,"Centro de Tecnologia Celular, Pontifícia Universidade Católica do Paraná, Curitiba, Paraná, Brazil"
177,"Chapel Allerton Orthopaedic Centre, Leeds Teaching Hospitals NHS Trust, Leeds, West Yorkshire, United Kingdom"
178,"Charit Universitaetsmedizin Berlin, Berlin, Germany"
179,"Charite Campus Virchow, Berlin, Germany"
180,"Charite, Berlin, Germany"
181,"Charlotte Gastroenterology and Hepatology, Charlotte, North Carolina, United States"
182,"Chevy Chase Clinical Research, Chevy Chase, Maryland, United States"
183,"Children's Healthcare of Atlanta at Egleston, Atlanta, Georgia, United States"
184,"Children's Healthcare of Atlanta, Atlanta, Georgia, United States"
185,"Children's Healthcare of Atlanta/Emory University, Atlanta, Georgia, United States"
186,"Children's Hospital Colorado Center for Cancer/Blood Disorders, Aurora, Colorado, United States"
187,"Children's Hospital Los Angeles, Los Angeles, California, United States"
188,"Children's Hospital of Alabama, Birmingham, Alabama, United States"
189,"Children's Hospital of Fudan University, Shanghai, Shanghai, China"
190,"Children's Hospital of Michigan, Detroit, Michigan, United States"
191,"Children's Hospital of Orange County, Orange, California, United States"
192,"Children's National Health System, Washington, District of Columbia, United States"
193,"Children's National Medical Center, Washington, District of Columbia, United States"
194,"China Medical University Hospital, Taichung, Non-US, Taiwan"
195,"China Medical Universty Hospital, Taichung, Taiwan"
196,"China-Japan Friendship Hospital, Beijing, China"
197,"Chinese PLA General Hospital, Beijing, Beijing, China"
198,"Chinese PLA General Hospital, Beijing, China"
199,"Chonbuk National University Hospital, Jeonju, Korea, Republic of"
200,"Chonnam National University Hospital, Gwangju, Korea, Republic of"
201,"Christian Medical College, Vellore, Tamil Nadu, India"
202,"Christian von Buchwald, MD, DMSc, Professor, Copenhagen, Denmark"
203,"Chunang University Hospital, Seoul, Korea, Republic of"
204,"Chung-Ang University Hospital, Seoul, Seoulteukbyeolsi, Korea, Republic of"
205,"Chung-Ang University Hosptal, Seoul, Korea, Republic of"
206,"Chungbuk National University Hospital, Cheongju-si, Korea, Republic of"
207,"Chungnam National University Hospital, Chungnam, Korea, Republic of"
208,"Chungnam National University Hospital, Daejeon, Chungcheongnam-do, Korea, Republic of"
209,"Chungnam National University Hospital, Daejeon, Jung-gu, Korea, Republic of"
210,"Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States"
211,"Cipto Mangunkusumo General Hospital, Jakarta Pusat, DKI Jakarta, Indonesia"
212,"Cipto Mangunkusumo hospital, Jakarta, DKI Jakarta, Indonesia"
213,"City Clinic Cardiology Center Multiprofile Hospital for Active Treatment, Sofia, Bulgaria"
214,"City of Hope, Duarte, California, United States"
215,"Clementino Fraga Filho University Hospital of Rio de Janeiro, Rio de Janeiro, Brazil"
216,"Cleveland Clinic Mellen Center, Cleveland, Ohio, United States"
217,"Cleveland Clinic, Cleveland, Ohio, United States"
218,"Clinic of Anesthesiology and Clinic of Traumatology, Hand-, Plastic-, and Reconstructive Surgery, Ulm, Germany"
219,"Clinic of Emergency Internal Medicinne Military Medical Academy, Belgrade, Serbia"
220,"Clinica Universidad de Navarra, Pamplona, Spain"
221,"Clinica Universidad de los Andes, Santiago, Chile"
222,"Clinica Universitaria de Navarra, Av Pio XII ,36, Pamplona, Navarra, Spain"
223,"Clinical Center of Kragujevac,, Kragujevac, Serbia"
224,"Clinical Center of Reproductive Medicine at the First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, China"
225,"Clinical Center of Serbia - Cardiology Clinic, Belgrade, Serbia"
226,"Clinical Centre of Serbia, Cardiology Clinic, Belgrade, Serbia"
227,"Clinical Hospital Center Bezanijska Kosa, Cardiology Dept., Belgrade, Serbia"
228,"Clinical Hospital Center Zvezdara - Cardiology Clinic, Belgrade, Serbia"
229,"Clinical Pharmacology Study Group, Worcester, Massachusetts, United States"
230,"Clinical Physiology Associates, Fort Myers, Florida, United States"
231,"Clinical Research of South Florida, Coral Gables, Florida, United States"
232,"Clinical Research of West Florida, Clearwater, Florida, United States"
233,"Clinical Somer, Rionegro, Antioquia, Colombia"
234,"Clinical and Transitional Science Institute, Milwaukee, Wisconsin, United States"
235,"Cliniques Universitaires Mont-Godinne, Yvoir, Namur, Belgium"
236,"Cliniques universitaires Saint-Luc- Université Catholique de Louvain, Brussels, Brabant, Belgium"
237,"Clínica Universidad de Navarra, Pamplona, Spain"
238,"Clínica Universidad de los Andes, Santiago de Chile, Región Metropolitana, Chile"
239,"Clínica Universitaria de Navarra, Pamplona, Spain"
240,"Co-Medica Research Network, Calgary, Alberta, Canada"
241,"Coastal Carolina Research Center, North Charleston, South Carolina, United States"
242,"Columbia Presbyterian Hospital, New York, New York, United States"
243,"Columbia University Medical Center, New York, New York, United States"
244,"Columbia University/New York Presbyterian Hospital, New York, New York, United States"
245,"Compass Research, Orlando, Florida, United States"
246,"Complejo Asistencial Universitario de Salamanca, Salamanca, Spain"
247,"Complejo Hospitalario U. A Coruña, A Coruña, Spain"
248,"Complejo Hospitalario de Toledo (HNP y VS), Toledo, Spain"
249,"Complexo Hospitalario Universitario A Coruña (CHUAC), A Coruña, Spain"
250,"Complexo Hospitalario Universitario A Coruña, A Coruña, Spain"
251,"Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States"
252,"Covenant Health, Lubbock, Texas, United States"
253,"Cumberland Valley Endocrinology, Carlisle, Pennsylvania, United States"
254,"D.O. Ott Research Institute of Obstetrics, Gynecology, and Reproductology, Saint Petersburg, Russian Federation"
255,"DJL Clinical Research, Charlotte, North Carolina, United States"
256,"Dallas Diabetes and Endocrine Center, Dallas, Texas, United States"
257,"Dana Farber Cancer Institute, Boston, Massachusetts, United States"
258,"Dana-Farber Cancer Institute, Boston, Massachusetts, United States"
259,"Dankook University Hospital, Cheonan, Chung Nam, Korea, Republic of"
260,"Dartmouth HItchcock Medical Center, Lebanon, New Hampshire, United States"
261,"Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States"
262,"David Geffen School of Medicine at UCLA, Los Angeles, California, United States"
263,"David Price IMAC Regeneration Center, Brentwood, Tennessee, United States"
264,"Dayton Science Institute, Dayton, Ohio, United States"
265,"De Haar Research Task Force, Amsterdam, North Holland, Netherlands"
266,"Debreceni Egyetem Orvos - és Egészségtudomanyi Centrum, Debrecen, Hungary"
267,"Dental School, Aristotle University, Thessaloniki, Greece"
268,"Denver Back Pain Specialists, LLC, Greenwood Village, Colorado, United States"
269,"Denver Spine, Denver, Colorado, United States"
270,"Department of Cardiology, Respiratory medicine and Physiology, Örebro University Hospital, Örebro, Sweden"
271,"Department of Dermatology, Medical Center-University of Freiburg, Freiburg, Germany"
272,"Department of Gastroenterology and Hepatology, Royal Perth Hospital, Perth, Western Australia, Australia"
273,"Department of Gastroenterology; Gulhane Military Medical Academy, Ankara, Turkey"
274,"Department of Hematology,Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, China"
275,"Department of Immunology Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow, Uttar Pradesh, India"
276,"Department of Neurology, General Hospital of Northern Theater Command, Shenyang, China"
277,"Department of Orthopaedic Surgery Toulouse University Hospital, Toulouse, France"
278,"Department of Orthopaedic Surgery, CHRU Tours, Tours, France"
279,"Department of Orthopaedic Surgery, CHU Nantes, Nantes, France"
280,"Department of Orthopaedic Surgery, CHU Tours, Tours, France"
281,"Department of Orthopaedic Surgery, Hospital Henri Mondor, Créteil, France"
282,"Department of Orthopaedic Surgery, Hôpital Henri Mondor, Créteil, France"
283,"Department of Orthopaedic Trauma, University of Ulm, Ulm, Germany"
284,"Department of Orthopaedics & Traumatology, Hong Kong, Hong Kong"
285,"Department of Orthopedic & Traumatology, Faculty of Medicine, Hospital Canselor Tuanku Mukhriz, UKM Medical Centre, Jalan Yaacob Latiff, Bandar Tun Razak, Cheras, 56000 Kuala Lumpur., Cheras, Kuala Lumpur, Malaysia"
286,"Department of Orthopedics, Kasturba Medical College, Manipal, Karnataka, India"
287,"Department of Orthopedics, M. S. Ramaiah Memorial Hospital, Bangalore, Karnataka, India"
288,"Department of Otolaryngology, Rigshospitalet, Copenhagen, Denmark"
289,"Department of Otolaryngology, Rigshospitalet, University Hospital of Copenhagen, Copenhagen, Denmark"
290,"Department of Otolaryngology, University Hospital of Copenhagen, Copenhagen, Denmark"
291,"Department of Pediatric Hematology, Oncology and BMT, Wroclaw Medical University, Wrocław, Dolnoslaskie, Poland"
292,"Department of Pediatrics, Daping Hospital, Research Institute of Surgery, Third Military Medical University, Chongqing, Chongqing, China"
293,"Department of Pulmonology, Leiden University Medical Center, Leiden, Netherlands"
294,"Department of Rheumatology, the Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China"
295,"Department of Rheumatology,Ren Ji Hospital,School of Medicine,Shanghai Jiao Tong University,Shanghai,China, Shanghai, Shanghai, China"
296,"Department of Surgery, KMC, Mangalore, Mangalore, Karnataka, India"
297,"Department of Surgical Disciplines, All India Institute of Medical Sciences, New Delhi, Delhi, India"
298,"Department of Urology, Asan Medical Center, Seoul, Korea, Republic of"
299,"Department of Vascular Surgery, AMRI Hospital, Kolkata, West Bengal, India"
300,"Department of Vascular Surgery, Madras Medical College, Chennai, Tamil Nadu, India"
301,"Department of Vascular Surgery, Sri Ramchandra Medical College, Chennai, Tamil Nadu, India"
302,"Department of Vascular Surgery, Stanley Medical College, Chennai, Tamil Nadu, India"
303,"Department of Vascular and Endovascular Surgery, M. S. Ramaiah Medical College and Hospitals, Bangalore, Karnataka, India"
304,"Depatment of Orthopaedic Surgery, Hôpital Henri Mondor, Créteil, France"
305,"Dept of Orthopaedic Surgery at University of Nebraska Medical Center, Omaha, Nebraska, United States"
306,"Dept. of Orthopaedic Surgery, Omaha, Nebraska, United States"
307,"Dermazentrum München, Standort Neuhausen, Studienzentrum, München, Germany"
308,"Desert Endocrinology CRC, Henderson, Nevada, United States"
309,"Desert Endocrinology Clinical Research Center-Henderson, Henderson, Nevada, United States"
310,"Desmond Wai Liver & Gastrointestinal Disease Centre - Mount Elizabeth Novena Specialist Centre, Singapore, Singapore"
311,"Diabetes Research Institute, Miami, Florida, United States"
312,"Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States"
313,"Diabetologikum Ludwigshafen, Gemeinschaftspraxis, Ludwigshafen, Germany"
314,"Diabetologikum Ludwigshafen, die Praxis am Ludwigsplatz, Ludwigshafen, Germany"
315,"Diabetologikum Raab, Privatärztliche Facharztpraxis, Kassel, Germany"
316,"Diablo Clinical Research, Walnut Creek, California, United States"
317,"Digestive Disease Research Center, Shariati Hospital, North Kargar Ave., Tehran, Iran, Islamic Republic of"
318,"Digestive and Liver Disease Specialists, Norfolk, Virginia, United States"
319,"Direct Biologics, Austin, Texas, United States"
320,"Division of Colorectal Surgery, Department of Surgery, Tehran University of Medical Sciences, Tehran, Iran, Tehran, Iran, Islamic Republic of"
321,"Division of Peripheral Vascular and Endovascular Sciences, Medanta - The Medicity, Gurgaon, Haryana, India"
322,"Donald Guthrie Foundation/ Robert Packer Hospital, Sayre, Pennsylvania, United States"
323,"Dr. Esnawan Antariksa Air Force Hospital, Jakarta, Indonesia"
324,"Dr. Hasan Sadikin, Bandung, West Java, Indonesia"
325,"Dr. Moewardi General Hospital, Surakarta, Central Java, Indonesia"
326,"Dr. Sardjito General Hospital, Yogyakarta, Indonesia"
327,"Dr. Soetomo General Academic Hospital/ Department Orthopaedic & Traumatology Faculty of Medicine Universitas Airlangga, Surabaya, East Java, Indonesia"
328,"Dr. Soetomo General Hospital, Surabaya, East Java, Indonesia"
329,"Drexel University College of Medicine, Philadelphia, Pennsylvania, United States"
330,"Duke University Health System, Durham, North Carolina, United States"
331,"Duke University Medical Center, Durham, North Carolina, United States"
332,"Duke University, Durham, North Carolina, United States"
333,"EB-Haus Austria; Salzburger Landeskliniken (SALK); Paracelsus Medizinische Privatuniversität Salzburg (PMU), Salzburg, Austria"
334,"Emdai Kamyab Hospital, Mashhad, Khorasan, Iran, Islamic Republic of"
335,"Emek Medical Center, Afula, Israel"
336,"Emeritus Research, Camberwell, Victoria, Australia"
337,"Emeritus Research, Malvern, Victoria, Australia"
338,"Emory University Hospital, Atlanta, Georgia, United States"
339,"Emory University School of Medicine, Atlanta, Georgia, United States"
340,"Emory University, Atlanta, Georgia, United States"
341,"Emory University/Childen's Healthcare of Atlanta, Atlanta, Georgia, United States"
342,"Erciyes University, Faculty of Medicine, Kayseri, Turkey"
343,"Erciyes University, Kayseri, Turkey"
344,"Eskisehir Osmangazi University, Eskisehir, Turkey"
345,"Eskişehir Osmangazi University, Eskişehir, Turkey"
346,"Eulji General Hospital, Nowon-Gu, Seoul, Korea, Republic of"
347,"Eunpyeong St. Mary's Hospital, Seoul, Korea, Republic of"
348,"Evangelisches Krankenhaus Kalk, Köln, Germany"
349,"Ewha Womans University Mokdong Hospital, Seoul, Korea, Republic of"
350,"Exercise Physiology Lab, Institute of Human Movement Sciences and Sport, ETH Zurich, Zürich, Zurich, Switzerland"
351,"Fachklinik Bad Bentheim, Dermatologische Ambulanz, Bad Bentheim, Germany"
352,"Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia"
353,"Faghihi Hospital, Shiraz, Fars, Iran, Islamic Republic of"
354,"Far Eastern Memorial Hospital, Taipei, Taiwan"
355,"Federal Research Clinical Center FMBA of Russia, Moscow, Russian Federation"
356,"Federal State Budget Institution Research Center for Obstetrics, Gynecology and Perinatology Ministry of Healthcare, Moscow, Russian Federation"
357,"Fiona Stanley Hospital, Murdoch, Western Australia, Australia"
358,"First Affiliated Hospital of the Third Military University, PLA (Southwest Hospital), Chongqing, Chongqing, China"
359,"Fletcher Allen Health Care, Burlington, Vermont, United States"
360,"Footscray Hospital, Footscray, Victoria, Australia"
361,"Franciscan Foot and Ankle Specialists, Burien, Washington, United States"
362,"Franziskus-Krankenhaus Berlin, Klinik für Innere Medizin, Angiologie und Diabetologie, Berlin, Germany"
363,"Franziskus-Krankenhaus, Berlin, Germany"
364,"Fred Hutchinson Cancer Center, Seattle, Washington, United States"
365,"Fred Hutchinson Cancer Research Center, Seattle, Washington, United States"
366,"Fred Hutchinson Cancer Research, Seattle, Washington, United States"
367,"Fu Cheng Lu 6, Beijing, China"
368,"Fundacion Jimenez Diaz, Madrid, Spain"
369,"Fundación Jiménez Díaz, Madrid, Spain"
370,"Fuzhou General Hospital, Fuzhou, Fujian, China"
371,"Fuzhou General Hospital, Xiamen Univ, Fuzhou, Fujian, China"
372,"GI Surgery, Medical University of South Carolina, Charleston, South Carolina, United States"
373,"GWOXI Stem Cell Applied Technology Co., Ltd., Hsinchu, Taiwan"
374,"Gachon University Gil Hospital, Incheon, Gyunggido, Korea, Republic of"
375,"Gachon University Gil Hospital, Incheon, Korea, Republic of"
376,"Gachon University Gil Medical Center, Incheon, Korea, Republic of"
377,"Galen - Ortopedia Sp. Z O.O., Bieruń, Silesia, Poland"
378,"Galilee Medical Center, Nahariya, Israel"
379,"Galway University Hospital, Galway City, Galway, Ireland"
380,"Gang Li, Shanghai, Shanghai, China"
381,"GangNam Severance Hospital, Seoul, Korea, Republic of"
382,"Gangnam Severance Hospital, Seoul, Gangnam-gu, Korea, Republic of"
383,"Gangnam Severance Hospital, Seoul, Korea, Republic of"
384,"GangnamSeverance Hospital, Seoul, Korea, Republic of"
385,"Gangneung Asan Hospital, Gangneung-si, Korea, Republic of"
386,"Gangwon National University Hospital, ChunCheon, Korea, Republic of"
387,"Gastroenterology Center of Connecticut, Hamden, Connecticut, United States"
388,"Gastroenterology Center of the Midsouth, Germantown, Tennessee, United States"
389,"Gastroenterology Center of the Midsouth, PC, Germantown, Tennessee, United States"
390,"Gastroenterology Research Associates, Cedar Knolls, New Jersey, United States"
391,"Gastroenterology United of Tulsa, Tulsa, Oklahoma, United States"
392,"Gatot Soebroto Army Hospital, Jakarta, Indonesia"
393,"Gatot Soebroto Hospital, Jakarta Pusat, DKI Jakarta, Indonesia"
