,Locations,count,enrolled
153,"Cipto Mangunkusumo General Hospital, Jakarta Pusat, DKI Jakarta, Indonesia | Persahabatan General Hospital, Jakarta, DKI Jakarta, Indonesia | Sulianti Saroso Center for Infectious Disease, Jakarta, DKI Jakarta, Indonesia | Universitas Indonesia Hospital, Depok, West Java, Indonesia",1,40
154,"Southern California Hospital at Culver City / Southern California Hospital at Hollywood, Culver City, California, United States",1,40
155,"UZA, Edeghem, Antwerpen, Belgium | St-Luc UCL, Brussels, Brabant, Belgium | AZ Gasthuisberg Leuven, Leuven, Flamish Brabant, Belgium | UZ Gent, Gent, Flanders Ost, Belgium | AZ St-Jan, Brugge, Flanders West, Belgium | Cliniques Universitaires Mont-Godinne, Yvoir, Namur, Belgium | Hôpital Stuyvenberg, Antwerpen, Belgium | Bordet Institute, Brussels, Belgium | Vrije Universiteit Brussel, Brussels, Belgium | CHU-ULg, Liège, Belgium",1,39
156,"Shenzhen People's Hospital, Shenzhen, Guangdong, China",1,40
157,"Taoyuan General Hospital, Ministry of Health and Welfare, Taoyuan, Taiwan",1,40
158,"Xiaodan Jiang, Guangzhou, Guangdong, China",1,40
159,"PGIMER, Chandigarh, India",1,40
160,"Heart Failure Department, East Hospital Affiliated to Tongji University, Shanghai, Shanghai, China",1,40
161,"The First Hospital of Lanzhou University, Lanzhou, Gansu, China | Hainan hospital of Chinese PLA General Hospital, Sanya, Hainan, China | Jin Yin-tan hospital, Wuhan, Hubei, China | Renmin Hospital of Wuhan University, Wuhan, Hubei, China | Shanghai Changzheng Hospital, Shanghai, Shanghai, China | Beijing 302 Hospital, Beijing, China",1,240
162,"Shanghai East Hospital, Shanghai, Pudong New Area, China",1,40
163,"Institute of Zoology, Chinese Academy of Sciences., Beijing, Beijing, China",1,320
164,"Centre for Liver Research & Diagnostics, Hyderabad, Andhra Pradesh, India | Mediciti Hospital, Hyderabad, Andhra Pradesh, India | Manipal Hospital, Bangalore, Karnataka, India | KMC Hospital, Mangalore, Karnataka, India | Institute of liver disease, HPB surgery and transplant Global Hospitals, Mumbai, Maharashtra, India | Bombay Hospital & Medical Research Center, Mumbai, Maharashtra, India | Ruby Hall clinic, Pune, Maharashtra, India | Sahyadri Speciality Hospital, Pune, Maharashtra, India | SMS Medical college and Hospital, Jaipur, Rajasthan, India | SGPGI Lucknow, Lucknow, Uttar Pradesh, India",1,40
165,"Qi Zhang, Guangzhou, Guangdong, China",1,210
166,"Hospital Ampang, Ampang, Selangor, Malaysia",1,40
167,"Universidad de la Sabana, Chía, Chia, Colombia",1,0
168,"University Hospital Tuebingen, Tuebingen, Germany",1,40
169,"Department of poisoning and treatment,Affiliated Hospital to Academy of Military Medical Sciences, Beijing, China",1,40
170,"Xijing Hospital of Digestive Disease, Xi'an, Shaanxi, China",1,240
171,"Andrews Institute, Gulf Breeze, Florida, United States",1,40
172,"The 302 Hospital of Chinese People's Liberation Army, Beijing, Beijing, China | the First Affiliated Hospital of Lanzhou University, Lanzhou, Gansu, China | Hainan BOAO Life infinity international anti-aging medical center, Qionghai, Hainan, China | The first people's hospital of Lianyungang, Lianyungang, Jiangsu, China | Tongji Hospital of Tongji University, Shanghai, Shanghai, China | The 323 Hospital of Chinese People's Liberation Army, Xi'an, Shanxi, China",1,320
173,"Federal Research Clinical Center of Federal Medical & Biological Agency, Moscow, Russian Federation",1,40
174,"Shanghai Jiao Tong University Affiliated Sixth People's Hospital, Shanghai, Shanghai, China",1,40
175,"Mount Sinai Hospital, New York, New York, United States",1,0
176,"The GW Medical Faculty Associates, Washington, District of Columbia, United States",1,40
177,"Soonchunhyang University Hospital, Bucheon, Korea, Republic of | Soonchunhyang University Hospital, Cheonan, Korea, Republic of | Gangwon National University Hospital, ChunCheon, Korea, Republic of | Hallym Univ. Medical Center, ChunCheon, Korea, Republic of | Gangneung Asan Hospital, Gangneung-si, Korea, Republic of | Eunpyeong St. Mary's Hospital, Seoul, Korea, Republic of | Korea University Anam Hospital, Seoul, Korea, Republic of | Seoul National University Hospital, Seoul, Korea, Republic of | Soonchunhyang University Hospital, Seoul, Korea, Republic of | Wonju Severance Christian Hospital, Wonju, Korea, Republic of | Yongin Severance Hospital, Yongin, Korea, Republic of",1,200
178,"National University of ireland - Galway University Hospital -Regenerative Medicine Institute, Galway, BG, Ireland | ASST - Papa Giovanni XXIII - U.O. Nefrologia e Dialisi/ Mario Negri Institute for Pharmacological Research - Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Bergamo, Italy | Belfast Health and Social Care Trust - Belfast City Hospital, Belfast, United Kingdom | University Hospital Birmingham NHS Foundation Trust - Queen Elizabeth Medical Centre, Birmingham, United Kingdom",1,48
179,"Alp Can, Ankara, Turkey",1,46
180,"University College London Hospital, London, United Kingdom",1,46
181,"Stanford University School of Medicine, Stanford, California, United States | University of Florida-Department of Medicine, Gainesville, Florida, United States | University of Miami-Interdiciplinary Stem Cell Institute, Miami, Florida, United States | Indiana Center for Vascular Biology and Medicine, Indianapolis, Indiana, United States | University of Louisville, Louisville, Kentucky, United States | Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, United States | Texas Heart Institute, Houston, Texas, United States",1,46
182,"Hôpital Pitié-Salpêtrière - APHP, Paris, France | Hôpital Européen Georges Pompidou - APHP, Paris, France",1,47
183,"A O Papa Giovanni XXIII, Bergamo, Italy | Ao S Croce E Carle, Cuneo, Italy | AO Careggi, Firenze, Italy | IRCCS G Gaslini, Genova, Italy | Fondazione IRCCS CA' Granda Ospedale Maggiore Policlinico, Milano, Italy | Clinica Pediatrica San Gerardo, Monza, Italy | Azienda Ospedaliero-Universitaria Di Udine, Udine, Italy | Ospedale San Bortolo, Vicenza, Italy",1,47
184,"Complexo Hospitalario Universitario A Coruña, A Coruña, Spain | Hospital Universitari Vall d'Hebron, Barcelona, Spain | Hospital Universitario Virgen de las Nieves, Granada, Spain | Hospital Universitario 12 de Octubre, Madrid, Spain | Hospital Universitario Virgen del Rocío, Sevilla, Spain | Complejo Hospitalario de Toledo (HNP y VS), Toledo, Spain | Hospital Universitari La Fe, Valencia, Spain | Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain | Hospital Universitario Miguel Servet, Zaragoza, Spain",1,48
185,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China",1,48
186,"Massachusetts General Hospital, Boston, Massachusetts, United States | UMass Medical School, Worcester, Massachusetts, United States | Mayo Clinic, Rochester, Minnesota, United States",1,48
187,"Pinnacle Research Group, Anniston, Alabama, United States | Arthrocare Arthritis Care and Research PC, Gilbert, Arizona, United States | Triwest Research Associates, El Cajon, California, United States | UCLA, Los Angeles, California, United States | Inland Rheumatology Clinical Trials Incorporated, Upland, California, United States | Ocala Rheumatology Research Center, Ocala, Florida, United States | Arthritis Center, Palm Harbor, Florida, United States | Sarasota Arthritis Research Center, Sarasota, Florida, United States | McIlwain Medical Group, Tampa, Florida, United States | JHU Arthritis Center Baltimore, Baltimore, Maryland, United States | Arthritis Treatment Center, Frederick, Maryland, United States | Reliant Medical Group, Worcester, Massachusetts, United States | Mayo Clinic, Rochester, Minnesota, United States | Office of Ramesh C. Gupta, MD, Fair Lawn, New Jersey, United States | DJL Clinical Research, Charlotte, North Carolina, United States | Health Research of Oklahoma, Oklahoma City, Oklahoma, United States | University of Pittsburgh, Pittsburgh, Pennsylvania, United States | West Tennessee Research Institute, Jackson, Tennessee, United States | Accurate Clinical Research, Houston, Texas, United States | Texas Arthritis Research Center, San Antonio, Texas, United States | Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia | Southern Clinical Research Pty Ltd, Hobart, Tasmania, Australia | Emeritus Research, Malvern, Victoria, Australia",1,48
188,"American University of Beirut Medical Center, Beirut, Lebanon",1,48
189,"Providence Medical Foundation, Fullerton, California, United States | Providence Saint John's Health Center - Saint John's Cancer Institute, Santa Monica, California, United States",1,40
