,Outcome Measures,count,enrolled
25,Severity and incidence of adverse events (SIAE) on the day of treatment|3rd day SIAE|1 week SIAE|1 month SIAE|3 months SIAE|6 months SIAE|12 months SIAE|24 months SIAE|RQLQ score|VAS score|Nasal function test|Nasal endoscopy|U-HCG|Detection of Serum Interferon γ (IFN-γ)|Detection of Serum Interferon α (IFN-α)|Detection of Serum Interleukin 1β (IL-1β)|Detection of Serum Interleukin 2 (IL-2)|Detection of Serum Interleukin 4 (IL-4)|Detection of Serum Interleukin 5 (IL-5)|Detection of Serum Interleukin 6 (IL-6)|Detection of Serum Interleukin 8 (IL-8)|Detection of Serum Interleukin 10 (IL-10)|Detection of Serum Interleukin 12P70 (IL-12P70)|Detection of Serum Interleukin 17A (IL-17A)|Detection of Serum Tumor necrosis factor-α（TNF-α）|Detection of inflammatory factor Interferon γ (IFN-γ) in nasal secretions|Detection of inflammatory factor Interferon α (IFN-α) in nasal secretions|Detection of inflammatory factor Interleukin 1β (IL-1β) in nasal secretions|Detection of inflammatory factor Interleukin 2 (IL-2) in nasal secretions|Detection of inflammatory factor Interleukin 4 (IL-4) in nasal secretions|Detection of inflammatory factor Interleukin 5 (IL-5) in nasal secretions|Detection of inflammatory factor Interleukin 6 (IL-6) in nasal secretions|Detection of inflammatory factor Interleukin 8 (IL-8) in nasal secretions|Detection of inflammatory factor Interleukin 10 (IL-10) in nasal secretions|Detection of inflammatory factor Interleukin 12P70 (IL-12P70) in nasal secretions|Detection of inflammatory factor Interleukin 17A (IL-17A) in nasal secretions|Detection of inflammatory factor Tumor necrosis factor-α（TNF-α） in nasal secretions,1,18
26,"Number of participants with treatment-related adverse events occurring during the enrollment period as assessed by the Investigator using the MeDRA scale.|Gene and protein arrays, IHC staining, and multiparametric flow cytometry will measure the time period of retention of allogeneic MSCs in harvested human skeletal muscle tissue post-MSC implantation.|Recruitment of proangiogenic hematopoietic cells into sites of ischemia will be measured and reported as assessed by the role of MSCs injected in human skeletal muscle at the time of amputation.",1,16
27,"Primary Endpoint: Incidence of treatment emergent major adverse events directly related to MSC injection|Secondary Endpoint: Development of Pain following injection based on Visual Analog Scale scoring.|Secondary Endpoint: Clinical Evaluation of Injection based on functional outcomes scoring using KOOS, IKDC and Lysholm scoring scales.|Secondary Endpoint: Reparative potential of intra-articular MSCs based on improvement in cartilage quality using MRI.",1,16
28,Number of Treatment Emergent Serious Adverse Events (TE-SAEs)|EPC-CFU Levels|CRP Marker Levels|Circulating Angiogenic Factor Levels|Flow Mediated Diameter Percentage (FMD%)|Circulating Inflammatory Marker Levels|Tumor Necrosis Factor (TNF) Alpha Levels,1,16
29,Visual Acuity Test|Visual Field Test|Funduscopy|Electrorectinography|Optical Coherence Tomography (OCT)|Angiography,1,18
30,Safety of treatment|Short-time efficacy of treatment,1,16
31,Dose-limiting adverse events/toxicities (DLTs)|OS|Event-free survival|Ventilator-free days|Time to clinical response|Time to hospital discharge,1,18
32,Biochemical Molecular Outcomes|Clinical Outcomes|Imaging Outcomes,1,18
33,Safety evaluation|WOMAC(Western Ontario and McMaster Universities) Index|Magnetic Resonance Imaging|KSCRS(Knee Society Clinical rating System)|VAS(11-point box visual analogue scale)|Histological evaluates,1,18
34,Overall response rate|Progression Free Survival (PFS)|Overall Survival (OS)|Evaluate Safety,1,16
35,PASI score improvement rate|PASI (Psoriasis Area and Severity Index)|Relapse rate in treatment period / follow-up period|PASI-50|PASI-75|Pruritus Scores on the Visual Analogue Scale|BSA|DLQI (Dermatology Life Quality Index),1,16
36,Adverse events|Efficacy-The Wong Baker FACES® pain rating scale|Efficacy-Transcutaneous oxygen pressure(TcPO2)|Efficacy-walking distance (TWD)|Efficacy-Ankle Brachial Pressure Index (ABPI),1,18
37,oxygenation index|The value of arterial blood cLAC|The content of IL-1β|The content of IL-6|The content of TGF-α|The content of HMGB1|The content of IL-10|The content of B-type natriuretic peptide (BNP)|electrocardiogram|The average length of stay in hospital|The visual analog scale（VAS）score|The hospital for special surgery (HSS) Knee Score|The New York Heart Association (NYHA) Functional Classification|The 36-Item Short Form Survey (SF-36)|The Hamilton Anxiety Scale|The incidence of allergic reaction|The body temperature|The pulse rate|The respiration rate|The blood pressure|The content of C-reactive protein (CRP),1,16
38,Epithelial Status Assessment|Visual Acuity|Corneal Epithelial thickness|Corneal Scarring / Haze|Tolerability of MSC secretome drops|Durability of Corneal Epithelial Status Improvement|Time to Improvement of Corneal Epithelial Barrier,1,18
39,Incidence of adverse events|American Spinal Injury Association (ASIA) impairment scale|Motor evoked potentials|Somatosensory evoked potentials|Electrical pain threshold perception|Handgrip Strength|Walking index for spinal cord injury (WISCI II)|Numerical scale for neuropathic pain assessment|Modified Ashworth scale for spasticity|Spinal Cord Independence Measure III (SCIM III)|World Health Organization Quality of life questionnaire (WHOQOL-BREF)|Psychological general well-being index (PGWBI)|Hospital Anxiety and Depression Scale (HADS)|Community Integration Questionaire (CIQ-IG)|AntiHLA antibodies in cerebrospinal fluid (CSF)|Detection of donor cells in CSF,1,18
40,"ETDRS visual acuity:|Visual field sensitivity: Fundus perimetry deviation index (FPDI, %)|Ganglion cell complex thickness (GCC thickness, µm):|Pattern visual evoked potential (pVEP)",1,18
41,Measure of safety one month after first infusion|Change in modified Rodnan skin score (mRss) between Month 0 and Month 12,1,18
42,Tolerance of patients with idiopathic fibrosis to human umbilical cord mesenchymal stem cell injection|Dose exploration of patients with idiopathic fibrosis to human umbilical cord mesenchymal stem cell injection|Preliminary efficacy evaluation,1,18
43,Recording of Serious Adverse Events|Functional status of the knee|Quality of life,1,18
44,Recording of Adverse Events and Serious Adverse Events|Electrocardiogram|Vital signs|Physical examination|WOMAC Score(The Western Ontario and McMaster Universities Osteoarthritis Index)|Laboratory tests|SF-36|NRS-11|The volume of articular cartilage,1,18
45,the change of endometrial thickness|pregnancy rate|live birth rate|abortion rate,1,18
46,SPADI(Shoulder pain and disability index)Score|Constant-Murley score|Visual Analog Scale_pain in motion|Changes in the size of rotator cuff tears determined by MRI|Changes in the size of rotator cuff tears determined by arthroscopy|Adverse event,1,18
47,Dose Limiting Toxicity(DLT)|International Myositis And Clinical Studies group-Total Improvement Score(IMACS-TIS)|Response rate of IMACS-TIS|Changes of Core Set Activity Measures(CSAM)|Changes of Cutaneous Dermatomyositis Disease Area and Severity Index (CDASI)|Changes of Peak Pruritus Numeral Rating Scale(PPNRS),1,18
48,Primary Safety Outcome: Incidence of treatment emergent adverse events (TEAE) assessed at 28 days.|Primary Efficacy Outcome: Proportion of participants with improvement in epithelial defect or barrier integrity relative to baseline (based on fluorescein staining)|Secondary Efficacy Outcomes: Visual Acuity|Secondary Efficacy Outcomes: Time to Completion of Corneal Epithelialization|Secondary Efficacy Outcomes: Durability of the Corneal Epithelialization and Healing|Secondary Efficacy Outcomes: Corneal stromal haze|Secondary Efficacy Outcomes: Corneal epithelial thickness,1,18
49,Changes in exercise-dependently mobilized stem and progenitor cell numbers in the peripheral blood with antioxidative supplementation|Changes in numbers of exercise-induced apoptotic cells and oxidative stress markers in the peripheral blood with antioxidative supplementation,1,18
50,"Safety: Moderate to severe (including life threatening and death) adverse event occurrences due to product in 1st 52 weeks post procedure|Tolerability: assessed by the proportion of initiated infusion where >80% of the infusion is received by the patient.|Biological activity: Survival with native liver at 24 weeks post treatment.|Change in blood marker levels including haematological, biochemical and coagulation baseline to 52 weeks post treatment.|Change in Quality of life measures from baseline to week 52|Patient survival with native liver at 52 weeks post treatment|Patient survival with transplanted or native liver at 24 and 52 weeks post treatment.",1,17
51,Number of participants with adverse side effects.|Efficacy of the infusion of mesenchymal stem cells in stopping the fall in pulmonary function in patients with mild to moderate IPF,1,17
52,Number of patients with tropic ulcers cured|Number of patients with treatment-related adverse events,1,18
53,Improved healing of scarred vocal folds,1,16
54,The incidence and frequency of adverse events related to administration of UMC119-06.|Changes in mortality status|Ventilator Free Days (VFD)|Change in Oxygenation Index (OI)|Change in Lung Injury Score (LIS)|Change in positive end-expiratory pressure (PEEP)|Change in Lung Static Compliance|Change in acute physiology and chronic health evaluation score (APACHE II),1,18
55,SAE|Antibodies to HLA Class I - number and percent|Antibodies to HLA Class I - Time To Development|Increase Ulcer Size|Adverse Reaction|Suspected Adverse Reaction|Suspected Serious Adverse Reaction|Change in A1c,1,16
56,Serious adverse events|Serious adverse reactions|Changes of fistula size|Changes in rectovaginal soft tissue density and flexibility|Quality of life monitoring - 1|Quality of life monitoring - 2,1,16
57,Changes of the platelet counts after hUC-MSCs infusion|Incidence of adverse events after hUC-MSCs infusion|Changes in virus safety indicators after hUC-MSCs infusion|Changes of concentration of hUC-MSCs in peripheral blood|Changes of antibody production of hUC-MSCs in peripheral blood|Changes of immune function in refractory ITP patients after hUC-MSCs infusion,1,15
58,EDSS|Annual relapse rate|Lesion load|Retinal nerve fiber layer (RNFL)|Cognition|Immunological assessments|cerebral volume,1,15
59,"The primary safety endpoint in this study is; safety parameters include adverse events, hypoglycemia and allergic reactions|Delta-change of C-peptide AreaUnder the Curve (AUC) (0-120 min) for Mixed Meal Tolerance Test (MMTT) at day 372 following WJMSC infusion when compared to test performed before start of treatment.|Number of patients insulin independent (ADA criteria) at day 372.|Number of patients with daily insulin needs <0.25U/kg at day 372.|HbA1c at day 372|Glucose variability (mean amplitude of glycaemic excursions and glycaemic lability index) duration derived from the continuous glucose monitoring system® at day 372|Delta change of levels of fasting C-peptide at day 372 when compared to test before start of treatment|Numbers of patients with peak C-peptide >0.20 nmol/l, in response to the MMTT, at day 372.",1,15
60,gingival cervicular fluid BMP-2 level|intrabony components (defect bony filling),1,15
61,Number of Participants With Treatment-Related Adverse Events as Assessed by CTCAE v4.0|Number of Participants alive by Day 28|Number of Participants with ventilator-free Days by Day 28,1,15
62,Adverse effects at the time of infusion and infections after infusion of MSC|Mesenchymal cell efficiency in recovering cytopenia,1,15
63,Adverse effects|efficacy,1,15
64,Incidence of Serious Adverse Events and Adverse Events,1,15
65,Incidence of Treatment-Emergent and Treatment-Chronic Adverse Events of human umbilical cord mesenchymal stem cells for diabetic nephropathy patient|Changes in eGFR before and after treatment; Changes in 24h urine protein quantification before and after treatment,1,15
66,Total Number of Adverse Events and Serious Adverse Events|The Effect of Single Injection of HB-adMSCs on TNF-a in Patients With Acute RA|The Effect of Single Injection of HB-adMSCs on IL-6 in Patients With Acute RA|The Effect of Single Injection of HB-adMSCs on CRP in Patients With Acute RA|The Effect of Single Injection of HB-adMSCs on ESR in Patients With Acute RA|The Effect of Single Injection of HB-adMSCs on Joint Count in Patients With Acute RA.,1,15
67,"Safety : Observation of at least one adverse effect|Efficacy : Rate of complete or almost complete reepithelialisation|Rate of observed and predicted death by the SCORTEN|Duration of hospitalisation according to our historical cohort related to BSA involved|Duration of hospitalisation according to our historical cohort related to onset of the disease|Duration of hospitalisation according to our historical cohort related to SCORTEN|Duration of each mucous membranes healing ie.(buccal, nasal, genital, eyes)|Rate of sepsis|Rate of intensive care transfer|Rate of sequelae|Th1/Th2 immune response in the peripheral blood of the patients|Evaluation of expression profile of Th1/Th2 associated chemokines and anti-inflammatory chemokines in the peripheral blood|Epidermal chimerism study on healed skin biopsy|Cutaneous re-epithelialization rate at D5, D10 and D15 post-infusion according to the percentage of cutaneous BSA re-epithelialized in comparison to maximal cutaneous detachable-detached BSA observed.",1,15
68,Comparing the number of side effects and the improvement on ASIA Impairment score between SCI patients receiving autologous AT-MSC vs BM-MSC.|Investigating the number of side effects in SCI patients receiving autologous BM-MSC.|Investigating the effectiveness of autologous BM-MSC in treating SCI patients.|Investigating the number of side effects in SCI patients receiving autologous AT-MSC.|Investigating the effectiveness of autologous AT-MSC in treating SCI patients.,1,14
69,Fistula Closure|Evaluation of perianal disease|Evaluation of Crohn's disease,1,14
70,Adverse Events|Adverse Events (Special Attention Target),1,14
71,"SAE incidences over the study period|SUSAR incidences over the study period|TEAE incidences over the study period|Changes of Glasgow Coma Scale (GCS; Score range: Max.15, Min. 3) from Baseline Visit (Visit 1) to subsequent scheduled visits|Changes in National Institute of Health Stroke Scale (NIHSS; Score Range: 0~42; the higher score the worsen outcome) from Baseline Visit (Visit 1) to subsequent scheduled visits|Changes in mRS from Baseline Visit (Visit 1) to subsequent scheduled visits.|Changes in FMT from Baseline Visit (Visit 1) to subsequent schedules visits|Changes in BI from Baseline Visit (Visit 1) to subsequent schedules visits|Change and ratios of MRI image from baseline to subsequent scheduled visits|Change and ratios of SPECT perfusion image from baseline to subsequent scheduled visits",1,14
72,Safety evaluation and tolerability of a single treatment administration in an escalating-dose of autologous cultured mesenchymal bone marrow stromal cells secreting neurotrophic factors (MSC-NTF)|Changes in the progression rate of the disease as evidenced by changes in the ALS functional rating scale|Changes in muscle strength grading (MVIC) by muscle chart|Changes in muscle bulk estimated by MRI of the upper and lower extremities|Change in upper and lower extremities circumference (cm)|Changes in EMG parameters,1,14
73,Change from baseline in laser flare and cell measurements|Change from baseline in visual function tests,1,14
74,"Dose limiting toxicity (DLT), triggered by occurrence in the first 24 hours after hMSC infusion of grade ≥3 infusion-related allergic toxicities|Incidence and severity of adverse events|Number of pulmonary exacerbations|Diary reports (Cystic Fibrosis Respiratory Symptom Diary (CFRSD))|Changes in subject reported symptoms as captured by the Respiratory Signs and Symptoms Questionnaire (RSSQ) from Baseline (Visit 2) Day 1 to Baseline (Visit 2) Day 2, Visits 3, 4, 5, 6 and 7 and at times when a pulmonary exacerbation is being considered|Changes in physical examination|Changes in vital signs including oxygen saturation checked throughout infusion|Changes in spirometry (FEV1 %, FEV1 (Liters), FEF25-75) determined 30 minutes, 4 hours, and 24 hours after completion of infusion and from Baseline (Visit 2) Day 1 to Visits 3, 4, 5, 6 and 7|Change in sputum quantitative microbiology (bacterial colony forming units between Baseline to Day 7 and Day 28)|Changes in hematology, comprehensive chemistry, ESR, hs-CRP, and urinalysis results|Change in blood inflammatory biomarkers from Baseline to Day 7 and Day 28|Change in sputum inflammatory biomarkers from Baseline to Day 7 and Day 28",1,14
75,Feasibility and safety of bone marrow stem cell transplantation in patients with spinal cord injury|Functional improvement in muscle strength|Improvement of sphincters control.,1,14
76,Amount of newly formed bone induced by MSCs and the bone substitute. These measurements are based on radiological assessments.|Implant stability|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability],1,13
77,The number of patients with any relevant side effects observed|Assessing the therapeutic benefits of the injected Autologous Mesenchymal Stem Cells by Magnetic Resonance Imaging (MRI) and ophthalmological tests.,1,13
78,The number of subjects with treatment-related adverse events as assessed by CTCAE version 4.03|The reduction ratio of scoring atopic dermatitis (SCORAD) index as contrasted with baseline value|The variation of SCORAD index as contrasted with baseline value|The variation of each index score of SCORAD index as contrasted with baseline value|The variation of the degrees of disease as contrasted with baseline value|The variation of investigator's global assessment (IGA) as contrasted with baseline value|The variation of eczema area and severity index (EASI) total score as contrasted with baseline value|The variation of total immunoglobulin E (IgE) in serum as contrasted with baseline value|The variation of total prostaglandin E2 (PGE2) in serum as contrasted with baseline value|The variation of total eosinophil cationic protein (ECP) in serum as contrasted with baseline value|The variation of total Chemokine ligand 17 (CCL17) in serum as contrasted with baseline value|The variation of total Chemokine ligand 27 (CCL27) in serum as contrasted with baseline value,1,13
79,Assessing the therapeutic benefits of the injected Autologous Mesenchymal Stem Cells.|Assessment of the articular cartilage healing in osteoarthritic patients through intra articular injection of Autologus Mesenchymal stem cell with/or without supported product.,1,13
80,"Safety as determined by the occurrence of local and systemic adverse events and/or serious adverse events.|Knee Injury and Osteoarthritis Outcome Score (KOOS)|Marx Activity Scale (Patient-reported activity)|Short-Form 36 (Health-related quality of life)|Whole Organ MRI Score (WORMS), Gadolinium-enhanced MRI, T2 Mapping (To assess joint structure, inflammation, and cartilage status over time)|Cartilage oligomeric matrix protein (COMP)|Hyaluronic acid (HA)|C-terminal telopeptide of type II collagen (CTXII)|Types I and II collagen cleavage (C1,2C)|Type II collagen cleavage (C2C)|IL-6/TNFα/IL-15",1,12
81,"Safety of RegStem by incidence of adverse events and changes in physical examinations, vital signs and the results of clinical lab tests.|Clinical assessment of International Knee Documentation Committee (IKDC) score|Clinical assessment of Knee injury and Osteoarthritis Outcome Score (KOOS)|Clinical assessment of visual analogue scale (VAS)|Clinical assessment of knee X-ray|Clinical assessment of knee MRI",1,12
82,Dose-Limiting Toxicities rate (DLTs)|Objective response rate|Feasibility of the combination/monotherapy|Incidence of treatment-Emergent Adverse Event|Progression-free survival (PFS)|Overall Survival (OS)|Antiadenoviral humoral immune response in patients|Antiadenoviral tumoral immune response in patients|Replication kinetics of Icovir-5,1,12
83,"Safety evaluation and tolerability of a single treatment administration of autologous cultured mesenchymal bone marrow stromal cells secreting neurotrophic factors (MSC-NTF)|Safety evaluation and tolerability of single intrathecal injection (IT) into the cerebrospinal fluid (CSF) of autologous cultured mesenchymal bone marrow stromal cells secreting neurotrophic factors (MSC-NTF)|Changes in the progression rate of the disease as evidenced by changes in the ALS functional rating scale (ALS-FRS)|Changes in muscle strength grading (MVIC) by muscle chart|Changes in forced vital capacity (FVC %) (In the progressive disease stage group only).|Changes in muscle bulk estimated by MRI of the upper and lower extremities|Changes in upper and lower extremities circumference (cm)|Changes in EMG parameters|Need and time to tracheotomy or permanent assisted ventilation|Overall survival, calculating time to death",1,12
84,Safety (adverse events)|Efficacy: Gross Motor Function Measure (GMFM),1,15
85,Safety (adverse events)|Efficacy: The Short Inflammatory Bowel Disease Questionnaire (SIBDQ),1,15
86,"Changes of Clinical Evaluation from Baseline to 1,3,6,9 and 12 months after second implantation|Changes of structures improvement of the eyes from Baseline to 1,3,6,9 and 12 months after second implantation|Changes of the eyesight from Baseline to 1,3,6,9 and 12 months after second implantation|Imaging Evaluation from Baseline to 1,3,6,9 and 12 months after second implantation",1,15
87,Safety and tolerability of treatment|Assessment of VF function|Assessment of subjective voice ratings|Assessment of tissue metabolism and healing,1,15
88,Number of Participants with serious and non-serious adverse events|Changes in pulmonary function tests,1,19
89,"Treadmill Walking Distance|VAS(Visual Analog Scale)|Toe-Brachial Pressure Index, TBPI|Transcutaneous oxygen pressure, TcPO2|Arterial Brachial Pressure Index, ABPI|Pain Free Walking Distance, PFWD|Angiography|Laser Doppler|dose and frequency in use of a analgesic medicine|Safety Evaluation",1,15
90,"Primary 1 Safety: rate of (serious) adverse events in the study population 2 Feasibility: determination of the number of expanded MSCs in relation to the amount of BM collected, number of passages required and time to reach study target doses|Secondary endpoints: 1 Presence of late acute rejection (in the 6 month biopsy compared with the 4 week biopsy). 2 Sirius red staining for renal cortical matrix accumulation. 3 Immunologic response before and after MSC infusion.",1,15
91,Healing|Health-related quality of life assessed by a disease specific questionnaire|Health-related quality of life assessed by a generic questionnaire,1,15
92,"Change from baseline Brain-Derived Neutrophic Factor at one month, 3 months and 6 months after transplantation|Change from baseline Vascular endothelial growth factor at one month, 3 months and 6 months after transplantation|Change baseline Magnetic Resonance Imaging at 6 month after transplantation|The National Institute of Health Stroke Scale (NIHSS) Scoring|modified Rankin Scale (mRS)",1,15
93,Engraftment rate|Overall survival|Immunological reconstitution|Incidence of acute graft versus host disease,1,15
94,Effect of mesenchymal stem cells therapy on the percentage of regulatory T cells,1,15
95,ASIA (American Spinal Injury Association) scale|Magnetic Resonance Imaging|MEP/SSEP|ADL (activities of daily living)|SF-36|ODI (Oswestry Disability Questionnaire)|Frequency of Adverse Events,1,15
96,Monitoring for adverse events as Assessed by CTCAE v4.0 following administration of allogeneic MSCs to 2nd degree burn wounds.,1,15
97,Fusion|Failure of hardware or obvious non-union|Foot and Ankle Ability Measure (FAAM)|Vitamin D levels|Visual Analog Pain Scale|American Orthopaedic Foot and Ankle Society(AOFAS) hindfoot score|VR-12 (Veterans RAND 12)|Patient-Reported Outcomes Measurement Information System Physical Function-Short Form 8b (PROMIS Item Bank v2.0-Physical Function -Short Form 8b),1,15
98,Security and tolerance|therapeutic effect,1,15
99,Significant MRI Change before and after intervention|Significant neurologic funtion Change before and after intervention|Significant Electrophysiological Change before and after intervention|Adverse event,1,15
100,Magnetic Resonance Imaging|SPECT/CT|Hip X-ray|HHS (Harris Hip Score)|WOMAC (Western Ontario and McMaster Universities) Index|UCLA (University of California Los Angeles) hip questionnaire|Safety evaluation,1,15
101,"Safety and tolerability measured as seriousness, severity and frequency of treatment related adverse events (AEs)|Number of fractures [ Time Frame: From baseline to 16 months follow-up ]|Time (days) to first fracture after each stem cell administration. [ Time Frame: From each dose of stem cells to the time point of the first fracture.|Change in bone-marrow density (g/cm2). [ Time Frame: From baseline to the primary follow-up (From baseline to 16 months follow up)|Growth (cm). [ Time Frame: From baseline to16 months follow up]|Weight (kg). [ Time Frame: From baseline to 16 months follow up]|Change in clinical status of OI. [ Time Frame: From baseline to 16 months follow up]|Assessment of biochemical bone turnover by analysis of the markers P-Calcium (mg %) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers P-Phosphate (mg %) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers P-Albumin (g/dL)|Assessment of biochemical bone turnover by analysis of the markers S-ALP (IU/L) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers S-CTx (mg %) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers fP-PTH (pg/mL)in blood samples.|Assessment of biochemical bone turnover by analysis of the markers Vitamin D (nmol/L) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers Bone specific S-ALP (μg/L) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers S-Osteocalcin (ng/mL) in blood samples.|Assessment of biochemical bone turnover by analysis of the markers U-DPD/Krea and U-NTx/Krea (mg %) in blood samples.",1,15
102,Number of participants with treatment-related adverse events,1,15
103,Serious Adverse Events (SAEs),1,15
104,Visual Analog Scale (VAS)|Western Ontario and McMaster Universities Osteoarthritis Index|Laboratory Asessment|Magnetic Resonance Imaging (MRI) T2 mapping,1,15
105,Improvement in best-corrected distance visual acuity (BCDVA).|Increase in corneal thickness.|Refractive changes|Improvement in anterior corneal surface regularity,1,15
106,Feasibility of autologous bone marrow mesenchymal stem cells (MSC) knee articular infiltration.|Safety of autologous bone marrow mesenchymal stem cells (MSC) knee articular infiltration.|Efficacy by imaging procedures.|Clinical outcomes.,1,15
107,Safety (adverse events)|Efficacy: Kurtzke Expanded Disability Status Scale (EDSS),1,15
108,Safety (adverse events)|Efficacy: Autism Treatment Evaluation Checklist (ATEC),1,15
109,"Adverse events, Safety laboratory values and ECG findings|Immunological reaction|Tumorigenesis",1,15
110,"Number of adverse events|Percentage of patients in each group that may potentially reduce corticosteroids at week 7, 20 and 42, started immunosuppressive treatment and percentage of patients at week 56 have been suspended on full immunosuppressive treatment|Overall survival and disease-free survival.|Changes in lymphocyte subsets and levels of inflammatory and antiinflammatory cytokines in each of the groups.",1,19
111,Safety- Incidence of severe adverse events|Safety- Absence of PRA status change or local inflammation|Efficacy- rate of biventricular conversion|Efficacy- improvement of LV end diastolic pressure|Efficacy- improvement of LV mass/volume ratio,1,19
