,Brief Title,count,enrolled
80,Safety and Efficacy Trial Using Allogeneic Human Mesenchymal Stem Cells: The SIRONA Trial,1,40
81,Human Umbilical Cord Mesenchymal Stem Cell Therapy (19#iSCLife®-CI) for Cerebral Infarction Patients in Convalescent Period.,1,40
82,Stem Cell Transplantation in Cirrhotic Patients,1,40
83,Allogeneic Mesenchymal Stem Cells for the Critical Limb Ischemia Therapy,1,40
84,The Effects of Intra-articular Injection of Mesenchymal Stem Cells in Knee Joint Osteoarthritis,1,40
85,Dose Finding Study to Assess Safety and Efficacy of Stem Cells in Liver Cirrhosis,1,40
86,Mesenchymal Stem Cells for Treatment of Refractory Acute Graft-versus-host Disease,1,40
87,Mesenchymal Stem Cells After Renal or Liver Transplantation,1,40
88,MSC and HSC Coinfusion in Mismatched Minitransplants,1,39
89,Feasibility and Yield of a New 20 G ProCore Needle With Coiled Sheath in the Gastrointestinal Subepithelial Tumors,1,39
90,Mesenchymal Stromal Cells (MSC´s) in Renal Lupus,1,39
91,Use of hUC-MSC Product (BX-U001) for the Treatment of COVID-19 With ARDS,1,39
92,Hypoxia and Inflammatory Injury in Human Renovascular Hypertension,1,42
93,Allogenic UCMSCs as Adjuvant Therapy for Severe COVID-19 Patients,1,42
94,Treatment With Human Umbilical Cord Mesenchymal Stem Cells for Refractory Diabetic Peripheral Neuropathy,1,42
95,Human Umbilical Cord-derived Mesenchymal Stem Cells With Injectable Collagen Scaffold Transplantation for Chronic Ischemic Cardiomyopathy,1,50
96,Efficacy of Allogeneic UCMSCs for Treating Large Defects Knee Injury,1,50
97,Intramuscular Mononuclear Cells and Mesenchymal Stem Cells Transplantation to Treat Chronic Critical Limb Ischemia,1,50
98,Intra-Articular Autologous Bone Marrow Mesenchymal Stem Cells Transplantation to Treat Mild to Moderate Osteoarthritis,1,50
99,Investigation of Therapeutic Efficacy and Safety of UMSCs for the Management of Retinitis Pigmentosa (RP),1,50
100,Human Menstrual Blood-derived Mesenchymal Stem Cells Transplantation in Treating Type 1 Diabetic Patients,1,50
101,Effects of MSCs Derived Pleiotropic Factors on Wound Healing in Endonasal Surgeries,1,50
102,Mesenchymal Stem Cells in a Clinical Trial to Heal Articular Cartilage Defects,1,50
103,Human Mesenchymal Stem Cells Induce Liver Transplant Tolerance,1,50
104,Human Menstrual Blood-derived Mesenchymal Stem Cells for Patients With Liver Cirrhosis,1,50
105,Controlled Study of Stage 3 Osteonecrosis Treatment by Bone Marrow,1,50
106,Clinical Study on Mesenchymal Stem Cells Used in the Reconstruction Surgery of the Supraspinatus Muscle Lesions,1,50
107,MSC for Severe aGVHD,1,50
108,Autologous Bone Marrow Mesenchymal Stem Cells Transplantation Via Hepatic Artery in Patients With Liver Cirrhosis,1,50
109,Stem Cells Therapy for Fecal Incontinence in Children After Posterior Sagittal Ano-rectoplasty,1,50
110,MSCs Therapy for Cerebral Palsy,1,50
111,Umbilical Cord Blood-derived Mesenchymal Stem Cells in Regeneration of Sweat Glands and Body Repair,1,50
112,Mesenchymal Stem Cell-derived Pleiotropic Factor in Treating Poorly Healed Wounds of Postoperative Incision,1,50
113,Adipose Mesenchymal Stem Cells (AMSC) for Treatment of Ulcerative Colitis,1,50
114,Autologous Bone Marrow-Derived Stem Cell Transplantation in Patients With Premature Ovarian Failure (POF),1,50
115,Transplantation of Bone Marrow Stem Cells Stimulated by Proteins Scaffold to Heal Defects Articular Cartilage of the Knee,1,50
116,Osseous Setting Improvement With Co-implantation of Osseous Matrix and Mesenchymal Progenitors Cells From Autologous Bone Marrow,1,50
117,Umbilical Cord Mesenchymal Stem Cells Infusion for Ulcerative Colitis,1,50
118,Autologous Bone Marrow Derived Stem Cells for the Treatment of Multiple Sclerosis.,1,50
119,Efficacy of Intradiscal Injection of Autologous BM-MSC in Worker Patients Affected by Chronic LBP Due to Multilevel IDD,1,52
120,A Multicenter Phase I/II Clinical Trial to Evaluate Safety of Mesenchymal Stem Cell in Patients With Amyotrophic Sclerosis Lateral,1,52
121,Stem Cell Therapy: a Compassionate Use Program in Perianal Fistula,1,52
122,Efficacy of Intradiscal Injection of Autologous BM-MSC in Subjects With Chronic LBP Due to Multilevel Lumbar IDD,1,52
123,Mesenchymal Stromal Cell Derivatives in the Treatment of Chronic Diabetic Foot Ulcers Type 1 and 2,1,51
124,Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis,1,50
125,Intra-Testicular Transplantation of Autologous Stem Cells for Treatment of Non-Obstructive Azoospermia Male Infertility.,1,50
126,Stem Cell Therapy for Treatment of Female Stress Urinary Incontinence,1,50
127,Parkinson's Disease Therapy Using Cell Technology,1,50
128,Mesenchymal Stem Cells Transplantation to Patients With Relapsed/Refractory Aplastic Anemia.,1,50
129,Generation of Dendritic Cell Precursors From Cord Blood Stem Cells,1,50
130,Graft-versus-host Disease Associated Myelosuppression,1,50
131,Umbilical Cord Mesenchymal Stem Cells Infusion for Initial Type 1 Diabetes Mellitus,1,50
132,Bone Marrow-Derived Stem Cell Transplantation for the Treatment of Cerebral Palsy,1,50
133,Umbilical Cord Mesenchymal Stem Cells Infusion Via Hepatic Artery in Cirrhosis Patients,1,50
134,"""ESTIMATION Study"" for Endocardial Mesenchymal Stem Cells Implantation in Patients After Acute Myocardial Infarction",1,50
135,Treatment of Steroid Resistant GVHD by Infusion MSC,1,50
136,Umbilical Cord Mesenchymal Stem Cells Injection for Diabetic Foot,1,50
137,Clinical Application of Autologous Mitochondria Transplantation for Improving Oocyte Quality.,1,50
138,Intrathecal Administration of Autologous Mesenchymal Stem Cell-derived Neural Progenitors (MSC-NP) in Progressive Multiple Sclerosis,1,50
139,Comparing Mesenchymal Stem Cell Counts in Unilateral vs. Bilateral Posterior Superior Iliac Spine Bone Marrow Aspiration,1,35
140,A Study of Allogeneic Low Oxygen Mesenchymal Bone Marrow Cells in Subjects With Myocardial Infarction,1,50
141,Safety and Exploratory Efficacy Study of NEUROSTEM® Versus Placebo in Patients With Alzheimer's Disease,1,46
142,Safety and Efficacy of Mesenchymal Stem Cell Transplantation for Acute-on-Chronic Liver Failure,1,45
143,Umbilical Cord Mesenchymal Stem Cells Therapy (19#iSCLife®-SA) for Patients With Spinocerebellar Ataxia,1,45
144,Study of the Safety of Therapeutic Tx With Immunomodulatory MSC in Adults With COVID-19 Infection Requiring Mechanical Ventilation,1,45
145,Comparative Study of Strategies for Management of Duchenne Myopathy (DM),1,45
146,Interferon γ-Primed Mesenchymal Stromal Cells as Prophylaxis for Acute Graft v Host Disease,1,45
147,Follow-up Study of Safety and Efficacy in Subjects Who Completed NEUROSTEM® Phase-I/IIa Clinical Trial.,1,45
148,Efficacy of Bone-marrow-derived and Placenta-derived Multipotent Mesenchymal Stem / Stromal Cells for Osteoarthritis,1,45
149,Phase IIa Randomized Placebo Controlled Trial: Mesenchymal Stem Cells as a Disease-modifying Therapy for iPD,1,45
150,Mesenchymal Stem Cells in Rotator Cuff Repair,1,44
151,Umbilical Mesenchymal Stem Cells and Mononuclear Cells Infusion in Type 1 Diabetes Mellitus,1,44
152,Human Umbilical Cord Mesenchymal Stem Cell(UC-MSC)Delayed Renal Chronic Kidney Disease(CKD3、4 ),1,44
153,Transplantation of Umbilical Cord-derived Mesenchymal Stem Cells Via Different Routes,1,44
154,MSC-Exos Promote Healing of MHs,1,44
155,Mesenchymal Stem/Stromal Cell Therapy in the Treatment of Frailty,1,44
156,Bone Marrow Mesenchymal Stem Cells Transfer in Patients With ST-segment Elevation Myocardial Infarction,1,43
157,Administration of Adipose-derived Stem Cells (ASC) in Patient With Critical Limb Ischemia,1,43
158,Intrathecal Transplantation of UC-MSC in Patients With Late Stage of Chronic Spinal Cord Injury,1,43
159,Human Placental Mesenchymal Stem Cells Treatment on Diabetic Foot Ulcer,1,43
160,Human Umbilical Cord Stroma MSC in Myocardial Infarction,1,46
161,A Comparative Study of 2 Doses of BM Autologous H-MSC+Biomaterial vs Iliac Crest AutoGraft for Bone Healing in Non-Union,1,46
162,Autologous Bone Marrow-derived Mesenchymal Stem Cells for Atrophic Endometrium in Patients With Repeated IVF Failures,1,46
163,Stem Cell Infusion in the Treatment of Patients With Neurological Complications After Ischemic Stroke,1,48
164,Intravenous Autologous Mesenchymal Stem Cells Transplantation to Treat Middle Cerebral Artery Infarct,1,50
165,Cardiovascular Clinical Project to Evaluate the Regenerative Capacity of CardioCell in Patients With No-option Critical Limb Ischemia (N-O CLI),1,50
166,P3 Study of Umbilical Cord Blood Cells Expanded With MPCs for Transplantation in Patients With Hematologic Malignancies,1,49
167,Donor Mesenchymal Stem Cell Infusion in Treating Patients With Acute or Chronic Graft-Versus-Host Disease After Undergoing a Donor Stem Cell Transplant,1,49
168,Effects of α MAT Versus Steroid Injection in Knee Osteoarthritis (STα MAT-knee Study),1,48
169,"Phase 2, Randomized, Double Blind, Placebo Controlled Multicenter Study of Autologous MSC-NTF Cells in Patients With ALS",1,48
170,Safety and Preliminary Efficacy of FAB117-HC in Patients With Acute Traumatic Spinal Cord Injury,1,48
171,NEPHSTROM for Diabetic Kidney Disease,1,48
172,Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,1,48
173,Stem Cell Injection in Cancer Survivors,1,46
174,Treatment of Severe COVID-19 Patients Using Secretome of Hypoxia-Mesenchymal Stem Cells in Indonesia,1,48
175,A Multi-center Study a Single IV Infusion of Allogeneic MPCs in Patients With Rheumatoid Arthritis and Incomplete Response to at Least One TNFα Inhibitor,1,48
176,Clinical Efficacy of Autologous Mesenchymal Bone Marrow Stem Cells in Active & Progressive Multiple Sclerosis,1,48
177,Treatment of Respiratory Complications Associated With COVID-19 Using Umbilical Cord Mesenchymal Stromal Cells,1,48
178,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,1,47
179,Umbilical Cord Derived Mesenchymal Stromal Cells For The Treatment of Severe Steroid-resistant Graft Versus Host Disease,1,47
180,Targeted Stem Cells Expressing TRAIL as a Therapy for Lung Cancer,1,46
181,Treatment of Chronic Wounds in Diabetic Foot Syndrome With Allogeneic Adipose Derived Mesenchymal Stem Cells,1,46
182,Regenerative Medicine of Articular Cartilage: Characterization and Comparison of Chondrogenic Potential and Immunomodulatory Adult Mesenchymal Stem Cells,1,35
183,Umbilical Cord Derived Mesenchymal Stem Cell (UC -MSC) Transplantation for Children Suffering From Biliary Atresia,1,34
184,Cell Therapy Associated With Endobronchial Valve,1,34
185,Safety and Exploratory Efficacy Study of Collagen Membrane With Mesenchymal Stem Cells in the Treatment of Skin Defects,1,30
186,Autologous Mesenchymal Stem Cell Transplantation in Cirrhosis Patients With Refractory Ascites,1,30
187,Allogenic Bone Marrow Mesenchymal Stem Cell Therapy in Acute-on-chronic Liver Failure,1,30
188,Gingiva Mesenchymal Stem Cells Treatment of Chronic Periodontitis,1,30
189,Umbilical Cord Mesenchymal Stem Cell Transplantation for Lupus Nephritis,1,30
190,Safety and Efficacy of Mesenchymal Precursor Cells in Diabetic Nephropathy,1,30
191,Safety Study of Bone Marrow Derived Stem Cells on Patients With Cutaneous Photoaging,1,29
192,Clinical Trial to Compare ReJoinTM to Sodium Hyaluronate Injection for Knee Osteoarthritis Cartilage Defects,1,28
193,Safety and Efficacy of Allogeneic MSCs in Promoting T-regulatory Cells in Patients With Small Abdominal Aortic Aneurysms,1,28
194,iExosomes in Treating Participants With Metastatic Pancreas Cancer With KrasG12D Mutation,1,28
195,Safety and Efficacy of Allogenic Umbilical Cord Blood-derived Mesenchymal Stem Cell Product,1,28
196,Study of Two Intrathecal Doses of Autologous Mesenchymal Stem Cells for Amyotrophic Lateral Sclerosis,1,28
197,Allogeneic HUman Mesenchymal Stem Cell InfusioN Versus Placebo in Subjects With Alcohol Use Disorder and Major DepreSsion.,1,28
198,Mesenchymal Stem Cells (MSCs) - Like Cell Transplantation in Women With Primary Ovarian Insufficiency,1,28
199,A Phase 2 Study to Evaluate the Efficacy and Safety of JointStem in Treatment of Osteoarthritis,1,28
200,Adipose Derived Mesenchymal Stem Cell Characteristics in Anal Fistulas,1,27
201,Treatment of Gingival Recession Using Mesenchymal Stem Cells,1,27
202,Trial of Autologous Mesenchymal Stem Cells in Patients With Multiple System Atrophy,1,27
203,Intracoronary Infusion of Autologous Bone Marrow Cells for Treatment of Idiopathic Dilated Cardiomyopathy,1,27
204,Effect of UMSCs Derived Exosomes on Dry Eye in Patients With cGVHD,1,27
205,NeuroRegen Scaffold™ With Stem Cells for Chronic Spinal Cord Injury Repair,1,30
206,Follow-Up Study of Mesenchymal Stem Cells for Bronchopulmonary Dysplasia,1,30
207,Outcomes of Adipose Derived Mesenchymal Stem Cells on Sexual Hormone Deficiency,1,30
208,Autologous Mesenchymal Stem Cells From Adipose Tissue in Patients With Secondary Progressive Multiple Sclerosis,1,30
209,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,1,30
210,Clinical Study of Umbilical Cord Mesenchymal Stem Cells Infusion for Aging Frailty,1,30
211,Allogeneic MSC Treatment for Pulmonary Emphysema,1,30
212,Allogeneic Mesenchymal Human Stem Cell Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects With Symptomatic Ischemic Heart Disease. (ACESO-IHD),1,30
213,The Treatment of Patients With Type 1 Diabetes Mellitus With Autologous Tolerogenic Dendritic Cells,1,30
214,Outcomes of Expanded Autologous Bone Marrow-derived Mesenchymal Stem Cells Therapy in Type II Diabetes,1,30
215,Injectable Collagen Scaffold™ Combined With MSCs Transplantation for Brain Injury,1,30
216,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Stroke,1,30
217,Mesenchymal Stem Cell Therapy in Multiple System Atrophy,1,30
218,Adipose Derived Mesenchymal Cell Treatment in Lungtransplantation,1,30
219,Intraspinal Transplantation of Autologous ADRC in ALS Patients,1,30
220,Effect of Mesenchymal Stromal Cells on Sepsis and Septic Shock,1,30
221,NeuroRegen Scaffold™ Combined With Stem Cells for Chronic Spinal Cord Injury Repair,1,30
222,Safety and Efficacy of UC-MSCs in Patients With Psoriasis Vulgaris,1,30
223,Microneedle Versus Fractional CO₂ Laser for Skin Aging Treatment With Stem Cell Secretome in Indonesian Adult Women,1,30
224,Treatment of Intractable Common Extensor Tendon Injury Using Mesenchymal Stem Cells (Allo-ASC),1,30
225,Safety and Efficacy of UC-MSC in Patients With Acute Severe Graft-versus-host Disease,1,30
226,Mesenchymal Stromal Cells and Osteoarthritis,1,30
227,Development of Novel Strategy for Treatment of Anterior Cruciate Ligament (ACL) Injury Using Stem Cell,1,30
228,A Dose-escalation Safety Trial for Intrathecal Autologous Mesenchymal Stem Cell Therapy in Amyotrophic Lateral Sclerosis,1,27
229,A Study of ADR-001 in Patients With Liver Cirrhosis,1,27
230,Autologous Oral Mucosa Transplantation for Limbal Stem Cell Deficiency,1,27
231,Safety Study of Stem Cell Transplant to Treat Limbus Insufficiency Syndrome,1,27
232,Tolerability and Efficacy of Intravenous Infusion of Autologous MSC_Apceth for the Treatment of Critical Limb Ischemia,1,25
233,Treatment of Degenerative Disc Disease With Allogenic Mesenchymal Stem Cells (MSV),1,25
234,Treatment of Patients With Inflammatory-dystrophic Diseases of the Cornea Using Autologous Stem Cells,1,25
235,A Study of TH-SC01 for Treating Complex Perianal Fistula in Perianal Crohn's Disease.,1,24
236,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy for the Treatment of Traumatic Brain Injury and Hypoxic-Ischemic Encephalopathy,1,24
237,"Randomized, Double-Blind Clinical Trial for Parkinson's Disease (Early and Moderate)",1,24
238,Mesenchymal Stem Cells and Amniotic Membrane Composite for Supraspinatus Tendon Repair Augmentation,1,24
239,Autologous Implantation of Mesenchymal Stem Cells for the Treatment of Distal Tibial Fractures,1,24
240,Effects of ASC Secretome on Human Osteochondral Explants,1,24
241,Autologous Mesenchymal Stem Cell (MSC) Transplantation in MS,1,24
242,Ultrasound-Guided Treatments for Shoulder Pain in Wheelchair Users With Spinal Cord Injury,1,24
243,Clinical Study of Intra Articular Injection of Catholic MASTER Cell (Bone Marrow Derived Mesenchymal Stem Cell) in Knee Osteoarthritis,1,24
244,Study of Mesenchymal Stem Cells for the Treatment of Medically Refractory Crohn's Colitis,1,24
245,A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia,1,24
246,hUC Mesenchymal Stem Cells (19#iSCLife®-UT) Therapy for Patients With Thin Endometrial Infertility,1,24
247,Mesenchymal Stromal Cells in Living Donor Kidney Transplantation,1,24
248,"Implantation of Mesenchymal Stem Cell, Conditioned Medium, or Triamcinolone Acetonide for Keloid",1,24
249,Stem Cell Therapy for Type 1 Diabetes Mellitus,1,24
250,Mesenchymal Stem Cells for the Treatment of MS,1,24
251,Use of Autologous Bone Marrow Aspirate Concentrate in Painful Knee Osteoarthritis,1,25
252,Knee Osteoarthritis Treatment With Percutaneous Injections of Autologous Bone Marrow Concentrate,1,25
253,REcycled CartiLage Auto/Allo IMplantation,1,25
254,Safety & Efficacy of AlloRx SC® in PTHS Patients,1,26
255,Evaluation of Mesenchymal Stem Cells to Treat Avascular Necrosis of the Hip,1,26
256,Autologous Multipotent Mesenchymal Stromal Cells in the Treatment of Amyotrophic Lateral Sclerosis,1,26
257,Investigator Initiated Trial to Evaluate the Efficacy and Safety of Intra-articular Injection of ADMSC Comared to Negative Control After High Tibial Osteotomy in the Osteoarthritis Patients.,1,26
258,Human Umbilical Cord Mesenchymal Stem Cells (MSCs) Therapy in ARDS,1,26
259,Clinical Study to Assess the Safety and Preliminary Efficacy of HCR040 in Acute Respiratory Distress Syndrome,1,26
260,"Mesenchymal Cells From Autologous Bone Marrow, Administered Intravenously in Patients Diagnosed With Multiple Sclerosis",1,26
261,Clinical Trial to Assess the Safety and Efficacy of Intravenous Administration of Allogeneic Adult Mesenchymal Stem Cells of Expanded Adipose Tissue in Patients With Severe Pneumonia Due to COVID-19,1,26
262,Treatment of Infertility by Collagen Scaffold Loaded With Umbilical Cord Derived Mesenchyma Stem Cells,1,26
263,Umbilical Cord Blood Transplant With Added Sugar and Chemotherapy and Radiation Therapy in Treating Patients With Leukemia or Lymphoma,1,25
264,Subchondral and Intra-articular Application of Bone Marrow Concentrate for Knee Unicompartmental OA,1,25
265,Safety Study of Filler Agent Composed of Autologous Mesenchymal Stem Cells and Hyaluronic Acid,1,25
266,"Clinical Trial to Evaluate Bone Marrow Stem Cell Therapy for PSP, a Rare Form of Parkinsonism",1,25
267,The Use of Autologous Bone Marrow Mesenchymal Stem Cells in the Treatment of Articular Cartilage Defects,1,25
268,Autologous Mesenchymal Stem Cell Transplantation in Liver Cirrhosis,1,25
269,Safety Study of Allogeneic Mesenchymal Precursor Cells (MPCs) in Subjects With Recent Acute Myocardial Infarction,1,25
270,Evaluation of the Role of Mesenchymal Stem Cells in the Treatment of Graft Versus Host Disease,1,25
271,Phase 2 Study of Human Umbilical Cord Derived Mesenchymal Stem Cell for the Treatment of Lupus Nephritis,1,25
272,Evaluation of GvHD Damage on Medullary Mesenchymal Stem Cells,1,25
273,Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Pneumonia.,1,30
274,Safety and Efficacy Study of Mesenchymal Stem Cell in Treating Kidney Fibrosis,1,30
275,Safety and Efficacy Study of Allogenic Mesenchymal Stem Cells to Treat Extensive Chronic Graft Versus Host Disease,1,52
276,Safety and Efficiency of Umbilical Cord-derived Mesenchymal Stem Cells(UC-MSC) in Patients With Alzheimer's Disease,1,30
277,Mesenchymal Stemcells for Radiation Induced Xerostomia,1,30
