,Official Title,count,enrolled
27,"A PHASE IIa, DOUBLE-BLINDED, MULTI-CENTER, RANDOMIZED STUDY TO ASSESS THE SAFETY,TOLERABILITY, AND PRELIMINARY EFFICACY OF A SINGLE INTRAVENOUS DOSE OF ALLOGENEIC MESENCHYMAL BONE MARROW CELLS TO SUBJECTS WITH ST SEGMENT ELEVATION MYOCARDIAL INFARCTION (STEMI)",1,0
28,Assessement the Reconstruction of Motor Circuits in Nerve Fiber Injuries After the Treatment of Umbilical Cord Mesenchymal Stem Cells With Blood Oxygen Level-dependent Drived Diffusion Tensor Imaging,1,40
29,Potential Use of Umbilical Cord Mesenchymal Stem Cells and Secretoms for Infertility Therapy in Polycystic Ovary Syndrome (PCOS) Patients With Insulin Resistance.,1,40
30,A Seamless Phase I/IIa Clinical Study to Evaluate the Safety and Efficacy of Allogeneic Umbilical Cord Mesenchymal Stem Cells in Patients With Multiple Sclerosis,1,41
31,A Pilot Phase Study Evaluating the Effects of a Single Mesenchymal Stem Cell Injection in Patients With Suspected or Confirmed COVID-19 Infection and Healthcare Providers Exposed to Coronavirus Patients,1,40
32,Impact of Semaglutide (Long Acting GLP1 Agonist) on Peripheral Blood Derived CD34+ Endothelial Cells (EPCs) and Subcutaneous Fat Derived Mesenchymal Stromal Cells ( MSCs) in Type 2 Diabetes Subjects,1,40
33,Evaluation the Safety and Efficacy of Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,1,40
34,Randomized Clinical Trial for the Evaluation of Autologous Mesenchymal Stem Cells Transplantation in Thoracolumbar Chronic and Complete Spinal Cord Injury,1,40
35,"A Single-arm, Open-label Clinical Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Refractory Moderate to Severe Crohn's Disease",1,40
36,A Comparative Study Between Autologous Non Cultured Epidermal Cell Suspension Versus Combination of Autologous Non Cultured Epidermal Cell Suspension and Non Cultured Dermal Cell Suspension in Stable Vitiligo,1,40
37,Impact of a Mineralocorticoid Receptor Antagonist on Chronic Histological Changes in Renal Allograft,1,40
38,Efficacy and Safety of Autologous Bone Marrow Stem Cells Infusion for Treatment of Chronic Leg Ulcer in Sickle Cell Disease Patients,1,40
39,Phase I/II: Umbilical Cord Derived Mesenchymal Stem Cells Transplantation For Active And Refractory Systemic Lupus Erythematosus,1,40
40,"Prospective, Randomized, Single Blind Clinical Trial to Investigate the Impact of Autologous Bone Marrow Concentrate in Knee Osteochondral Allograft Transplantation",1,40
41,Safety and Efficacy of Human Umbilical-Cord-derived Mesenchymal Stem Cell Transplantation in Ischemic Cardiomyopathy,1,40
42,Safety and Efficacy of Intravenous Infusion of Wharton's Jelly Derived Mesenchymal Stem Cell Plus Standard Therapy for the Treatment of Patients With Acute Respiratory Distress Syndrome Diagnosis Due to COVID 19: A Randomized Controlled Trial,1,40
43,Effectiveness and Safety Profile of Mesenchymal Stem Cell Secretomes as a Treatment for Severe Cases of COVID-19,1,40
44,Randomized Study as Proof of Concept of Coronary Revascularization Surgery With Injection of Wharton's Jelly-derived Mesenchymal Cells and Placement of an Epicardial Extracellular Matrix Patch Seeded With WJ-MSCs in Patients With Ischemic Cardiomyopathy,1,40
45,Study of the 12-month Efficacy of Stem Cell Injection in Crohn's Disease With Complex Ano-perineal Fistula,1,40
46,Cytopeutics® Umbilical Cord Mesenchymal Stem Cells (Cyto-MSC) for Patients With Grade II -IV Acute Graft-Versus-Host Disease: A Phase I/II Clinical Study,1,40
47,A Phase IB/IIA Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Perianal Fistulizing Crohn's Disease,1,40
48,Application of Umbilical Cord Mesenchymal Stem Cells as Adjuvant Therapy for Critically-Ill COVID-19 Patients,1,40
49,"Long Term Effects on Skin Hyper Pigmentation With and Without Mesenchymal Stem Cell Enriched Adipose Tissue Grafting for ""Contour Deformities With Pigmentary Changes on Face""",1,40
50,Hypoxia and Inflammatory Injury in Human Renovascular Hypertension : Phase 1 Trial of Mesenchymal Stem Cell Therapy,1,42
51,Phase I/II. Treatment of Osteoarthritis by Intra-articular Injection of Bone Marrow Mesenchymal Stem Cells With Platelet Rich Plasma(PRGF),1,38
52,Phase Ι/Π Study of Stem Cell Therapy in Patients With Autism,1,37
53,"A Phase I/II, Randomized Pilot Study of the Comparative Safety and Efficacy of Transendocardial Injection of Autologous Mesenchymal Stem Cells Versus Allogeneic Mesenchymal Stem Cells in Patients With Non-ischemic Dilated Cardiomyopathy.",1,37
54,INNOVATIVE TREATMENT OF SCARRED VOCAL FOLDS BY LOCAL INJECTION OF AUTOLOGOUS ADIPOSE-DERIVED STROMAL VASCULAR FRACTION: EFFICACY VERSUS PLACEBO,1,36
55,"Phase I Clinical Trial of Allogeneic Bone Marrow Human Mesenchymal Stem Cells Loaded With A Tumor Selective Oncolytic Adenovirus, DNX-2401, Administered Via Intra-Arterial Injection in Patients With Recurrent High-Grade Glioma",1,36
56,Mesenchymal Stromal Cells Delivery Through Cardiopulmonary Bypass in Pediatric Cardiac Surgery,1,36
57,Encapsulated Mesenchymal Stem Cells for Endodontic Treatment of Permanent Teeth With Apical Lesion: a Controlled Clinical Trial.,1,36
58,A Phase II Controlled Trial of Allogeneic Mesenchymal Stem Cells for the Treatment of Lupus Nephritis,1,36
59,A Pilot Study of Mesenchymal Stem Cells as Novel Therapy for Age-Related Frailty in Veterans,1,36
60,Phase 3 Clinical Study to Evaluate Efficacy and Safety of ASC(Autologous Adipose-derived Stem Cells) and Fibringlue or Fibringlue in Patients With Crohn's Fistula.: A Randomized Study,1,36
61,Open Multi-Center Randomized Study to Compare Safety and Efficacy of Islet Transplantation Using The Intraportal or Intramuscular Site in Simultaneous Islet and Kidney Transplantation,1,36
62,"A Pilot Clinical Study to Evaluate Safety, Tolerability and Preliminary Efficacy of Intravenous Infusion of Umbilical Cord Mesenchymal Stem Cell in the Treatment of Decompensated Alcoholic Cirrhosis",1,36
63,Autologous Mesenchymal Stem Cell Transplantation in Patients With Decompensated Cirrhosis: A Randomized Placebo-controlled Trial,1,36
64,Dose-Response Evaluation of the Investigational Product Cellavita HD After Intravenous Administration in Patients With Huntington's Disease,1,35
65,Autologous Stem Cell Therapy for Fracture Non-union Healing,1,35
66,Instant MSC Product Accompanying Autologous Chondron Transplantation (IMPACT): Safety and Feasibility of a Single-stage Procedure for Focal Cartilage Lesions of the Knee.,1,35
67,MESenchymal Stem Cells: Alterations in GEnome,1,35
68,Clinical Extension Study for Assessing the Safety and Efficacy of the Intravenous Administration of Cellavita-HD in Huntington's Disease Patients Who Participated in the ADORE-DH Study.,1,35
69,Mobilization of Mesenchymal Stem Cells During Liver Transplantation,1,35
70,Evaluation of Lomecel-B™ Injection in Patients With Hypoplastic Left Heart Syndrome: A Phase IIb Clinical Trial.,1,38
71,Therapeutic Potential of Stem Cell Conditioned Medium on Chronic Ulcer Wounds : Pilot Study in Human,1,38
72,"A Phase I/II, Multi-Center, Open-Label Study to Assess the Safety, Tolerability, and Preliminary Efficacy of a Single Intravenous Dose of Allogeneic Mesenchymal Bone Marrow Cells to Subjects With Ischemic Stroke",1,38
73,The Effects of Human Umbilical Cord Mesenchymal Stem Cell Therapy on Neurological Function for Cerebral Infarction Patients in Convalescent Period.,1,40
74,"Multi-intravenous Infusion of Umbilical Cord Mesenchymal Stem Cells for Treatment in Heart Failure Patients With Reduced Ejection Fraction: A Randomized, Double Blind, Placebo-Controlled, Prospective Clinical Study",1,40
75,Immune Modulation by Stem Cell Derived Exosomes in Critically Ill COVID-19,1,40
76,A Phase IB/IIA Study of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Ileal Anal Anastomosis and Ileal Pouch Fistulas in the Setting of Crohn's Disease of the Pouch,1,40
77,A Phase IB/IIA Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Rectovaginal Fistulas in the Setting of Crohn's Disease.,1,40
78,"A Singlecenter, Randomized, Open Lable, Intervention Controlled Clinical Study on the Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells for the Treatment of Severe Viral Pneumonia",1,40
79,"A Phase II, Double-blind, Placebo-controlled Study to Assess the Safety, Tolerability, and Preliminary Efficacy of Intravenous Allogeneic Mesenchymal Stem Cells in Patients With Moderate to Severe ARDS Due to COVID-19",1,40
80,Safety and Efficacy Study of Human Umbilical Cord-Mesenchymal Stem Cells for Rheumatoid Arthritis,1,40
81,"A Randomized, Blinded and Placebo-controlled Trial to Evaluate the Safety and Efficacy of Allogeneic Human Mesenchymal Stem Cells in Patients With Metabolic Syndrome.",1,40
82,The Role of Bone-marrow Derived Stem Cell Transplantation in Patients With Decompensated Liver Cirrhosis: Clinical Trial,1,40
83,Clinical Research of Human Umbilical Cord Mesenchymal Stem Cells (UC-MSCs) in the Treatment of Diabetic Nephropathy,1,38
84,Allogeneic Mesenchymal Stem Cells for the Critical Limb Ischemia Therapy,1,40
85,"Evaluation the Effects of Intra-articular Injection of Mesenchymal Stem Cells in Patients With Knee Joint Osteoarthritis, Triple Blind Randomized Clinical Trial",1,40
86,"A Parallel Group Randomized Open Blinded End Point Evaluation, Multicentric, Dose Escalation, Phase -II Study Assessing the Safety and Efficacy of Intraarterial (Hepatic) Ex-vivo Cultured Adult Allogenic Mesenchymal Stem Cells in Patients With Alcoholic Liver Cirrhosis",1,40
87,Mesenchymal Stem Cells From Third-party Donors for Treatment of Refractory Acute Graft-versus-host Disease,1,40
88,"Infusion of Third-party Mesenchymal Stem Cells After Renal or Liver Transplantation. A Phase I-II, Open-label, Clinical Study",1,40
89,Co-transplantation of Mesenchymal Stem Cells and HLA-mismatched Allogeneic Hematopoietic Cells After Nonmyeloablative Conditioning: a Phase II Randomized Double-blind Study,1,39
90,Dose-response and Efficacy of Umbilical Cord-derived Mesenchymal Stromal Cells in Renal Systemic Lupus Erythematosus,1,39
91,A Phase 1/2a Study of the Safety and Efficacy of BX-U001 for the Treatment of Severe COVID-19 Pneumonia With Moderate to Severe Acute Respiratory Distress Syndrome (ARDS).,1,39
92,Autologous Mesenchymal Stromal Cells and Islet Co-transplantation to Enhance Islet Survival and Function in Chronic Pancreatitis Patients Undergo Total Pancreatectomy and Islet Autotransplantation,1,42
93,Efficacy and Safety of Normoxic Allogenic Umbilical Cord Mesenchymal Stem Cells Administered as Adjuntive Treatment to Standard Treatment in Severe Patients With COVID-19,1,42
94,"Efficacy and Safety of hUC-MSCs and hUCB-MSCs in the Treatment of Chronic Spinal Cord Injury: a Prospective, Randomized, Open-label, Parallel, and Controlled Clinical Study",1,42
95,Clinical Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Refractory Diabetic Peripheral Neuropathy,1,42
96,Phase II Efficacy Study of Intramuscular Autologous Bone Marrow Mononuclear Cells Plus Mesenchymal Stem Cell Implantation Versus Autologous Bone Marrow Mononuclear Cells Implantation Only in Patients With Chronic Critical Limb Ischemia,1,50
97,Phase 2 Study Assessing the Efficacy of Intra-Articular Autologous Mesenchymal Stem Cells in Patients With Mild to Moderate Osteoarthritis,1,50
98,Investigation of Therapeutic Efficacy and Safety of Umbilical Cord Derived Mesenchymal Stem Cells (UMSCs) for the Management of Retinitis Pigmentosa (RP),1,50
99,Phase 1/2 Clinical Study of MenSCs Infusion in Type 1 Diabetes,1,50
100,The Safety and Effectiveness of Mesenchymal Stem Cell-derived Pleiotropic Factors on Wound Healing in Endonasal Surgeries,1,50
101,Mesenchymal Stem Cells in a Clinical Trial to Heal Articular Cartilage Defects,1,50
102,Human Umbilical Cord Mesenchymal Stem Cell Induce Liver Allografts Tolerance,1,50
103,Phase 1/2 Study of Human Menstrual Blood-derived Mesenchymal Stem Cells Transplantation for the Evaluation of the Efficacy and Safety in Patients With Liver Cirrhosis,1,50
104,"Treatment of Stage 3 Osteonecrosis of the Femoral Head by Autologous Transplantation of Bone Marrow Cells: a Randomized, Controlled Double Blind Study",1,50
105,Mesenchymal Stem Cells in the Reconstruction Surgery of the Supraspinatus Muscle Lesions,1,50
106,Treatment of Steroid-resistant Severe Acute Graft-versus-host Disease With Mesenchymal Stem Cells,1,50
107,Autologous Bone Marrow Mesenchymal Stem Cells Transplantation Via Hepatic Artery in Patients With Liver Cirrhosis,1,50
108,Therapeutic Effect of Stem Cells in Fecal Incontinence in Children After Posterior Sagittal Ano-rectoplasty,1,50
109,Bone Marrow Stem Cells Transplantation for the Treatment of Cerebral Palsy,1,50
110,Umbilical Cord Blood-derived Mesenchymal Stem Cells in Regeneration of Sweat Glands and Body Repair,1,50
111,Mesenchymal Stem Cell-derived Pleiotropic Factor in Treating Poorly Healed Wounds of Postoperative Incision,1,50
112,"A Phase I/II Randomized, Controlled, Clinical Trial for Assessment of the Safety and Efficacy of Allogeneic Adipose Mesenchymal Stem Cells in Moderate to Severe Ulcerative Colitis Patients",1,50
113,Transplantation of Specific Populations of Bone Marrow-Derived Stem Cells and Mesenchymal Stem Cells for the Treatment of Premature Ovarian Failure.,1,50
114,A Pilot Study of the Effect of Autologous Mitochondria Transplantation in Assisted Reproductive Technology Clinical Outcome.,1,50
115,Phase IIb Study Assessing the Efficacy of Allogeneic Umbilical Cord Mesenchymal Stem Cells for Knee Cartilage Injury,1,50
116,Pilot Study of A One-Step Procedure for the Use of Autologous Bone Marrow Mesenchymal Stem Cells Stimulated by Proteins Scaffold to Heal Under Arthroscopy Full-Thickness Defects Articular Cartilage and Osteoarthrosis of the Knee.,1,50
117,Osseous Setting Improvement With Co-implantation of Osseous Matrix and Mesenchymal Progenitors Cells From Autologous Bone Marrow,1,50
118,Developent and Implement a Method of Parkinson's Disease Therapy Using Cell Technology,1,50
119,"A Multicenter Phase I/II Clinical Trial, Randomized, Controlled With Placebo, Triple Blind to Evaluate Safety, and Indications of Efficiency of the Intravenous Administration of the Therapy With 3 Doses of MSC in Patients With ASL Moderated to Severe",1,52
120,Retrospective Evaluation of Stem Cell Therapy: a Compassionate Use Program in Perianal Fistula.,1,52
121,Intervertebral Disc Regeneration Mediated by Autologous Mesenchymal Stem/Stromal Cells Intradiscal Injection: a Phase IIB Randomized Clinical Trial - DREAM Trial,1,52
122,Mesenchymal Stromal Cell Derivatives: a New Alternative and Potential Product for the Treatment of Diabetic Foot Ulcers 1 and 2,1,51
123,Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis,1,50
124,"Intra-Testicular Transplantation of Purified Autologous Clusters of Differentiation (CD) 34+,133+, and Mesenchymal Stem Cells for Treatment of Non-Obstructive Azoospermia Male Infertility.",1,50
125,Autologous Bone Marrow-derived Mesenchymal Stem Cells Versus Tension-free Vaginal Tape for Treatment of Female Stress Urinary Incontinence: An Open-label Clinical Trial,1,50
126,Safety and Efficacy of Immuno-modulation and Autologous Bone Marrow-Derived Stem Cell Transplantation for the Treatment of Multiple Sclerosis.,1,50
127,Generation of Dendritic Cell Precursors From Cord Blood Stem Cells,1,50
128,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion for Ulcerative Colitis,1,50
129,Functional Profiling of the Hematopoietic Stem Cell Niche in Graft Versus Host Disease Mediated Bone Marrow Insufficiency,1,50
130,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion for Initial Type 1 Diabetes,1,50
131,Safety and Efficacy of Transplantation of Specific Populations of Stem Cells and Mesenchymal Stem Cells for the Treatment of Cerebral Palsy,1,50
132,The Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion Via Hepatic Artery in Cirrhosis Patients.,1,50
133,Endocardial Mesenchymal Stem Cells Implantation in Patients After Acute Myocardial Infarction,1,50
134,Treatment of Steroid Resistant Grade II to IV GVHD by Infusion MSCof Mesenchymal Stem Cells Expanded With Human Plasma and Platelet Lysate a Phase I/II Study,1,50
135,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Injection for Diabetic Foot,1,50
136,PhaseⅠ/ⅡTrial of Bone Marrow Derived Mesenchymal Stem Cell Transplantation From Related Donor to Patients With Relapsed/Refractory Aplastic Anemia.,1,50
137,The Safety and Efficacy Assessment of Human Umbilical Cord-derived Mesenchymal Stem Cells (hUC-MSCs) With Injectable Collagen Scaffold Transplantation for Chronic Ischemic Cardiomyopathy,1,50
138,"A Phase III, Double-blinded, Single Center, Randomized, Placebo Controlled Study to Assess the Safety, Tolerability, and Preliminary Efficacy of Single Intravenous Dose of Allogeneic Ischemia Tolerant Human Mesenchymal Bone Marrow Cells to Subjects With Acute Myocardial Infarction",1,50
139,"An Open Lable, Phase II Exploratory Study Assessing the Efficacy of Intravenous Autologous Mesenchymal Stem Cells in Patients With Middle Cerebral Artery Infarct",1,50
140,Umbilical Mesenchymal Stem Cells and Mononuclear Cells Infusion in Type 1 Diabetes Mellitus: A Randomized Controlled Open-label Study,1,44
141,A Clinical Research on the Safety/Efficacy of Umbilical Cord Mesenchymal Stem Cells Therapy for Patients With Spinocerebellar Ataxia,1,45
142,"Phase 1b Randomized, Double-Blind, Placebo-Controlled Study Of The Safety Of Therapeutic Treatment With Immunomodulatory Mesenchymal Stem Cells In Adults With COVID-19 Infection Requiring Mechanical Ventilation",1,45
143,A Comparative Study of Strategies for Management of Duchenne Myopathy in Assiut University Children Hospital,1,45
144,Interferon γ-Primed Mesenchymal Stromal Cells as Prophylaxis for Acute Graft v Host Disease After Allogeneic Hematopoietic Cell Transplantation for Patients With Hematologic Malignancies and Myelodysplasia,1,45
145,Follow-up Study of Safety and Efficacy in Subjects Who Completed NEUROSTEM® Phase-I/IIa Clinical Trial.,1,45
146,Efficacy of Bone-marrow-derived and Placenta-derived Multipotent Mesenchymal Stem / Stromal Cells for Osteoarthritis,1,45
147,"A Randomized, Double-blind, Placebo-controlled Trial of Allogeneic Bone Marrow-derived Mesenchymal Stem Cells as a Disease-modifying Therapy for Idiopathic Parkinson's Disease",1,45
148,Mesenchymal Stem Cells in Rotator Cuff Repair - a Randomized Prospective Study,1,44
149,"A Randomized, Double-blind, Controlled Clinical Study of Human Umbilical Cord Mesenchymal Stem Cell(UC-MSC)Delayed Renal Chronic Kidney Disease(CKD3、4 )",1,44
150,"A Double-blind, Single-center, Phase 1/2a Clinical Trial to Evaluate the Safety and Exploratory Efficacy of Intraventricular Administrations of NEUROSTEM® Versus Placebo Via an Ommaya Reservoir in Patients With Alzheimer's Disease",1,46
151,Transplantation of Umbilical Cord-derived Mesenchymal Stem Cells Via Different Routes for the Treatment of Cerebral Palsy in Children,1,44
152,Mesenchymal Stem Cells Derived Exosomes Promote Healing of Large and Refractory Macular Holes,1,44
153,Clinical Study of Mesenchymal Stem/Stromal Cell Therapy in Frailty: a Proposed Experimental Design for Therapeutic and Mechanism Investigation,1,44
154,"Bone Marrow Mesenchymal Stem Cells Transfer in Patients With ST-segment Elevation Myocardial Infarction: Single-blind, Randomized Controlled Muticentre Trial",1,43
155,Autologous Transplantation of Adipose Tissue Derived Mesenchymal Stroma/Stem Cells (ASC) in Patients With Critical Limb Ischemia,1,43
156,"The Effect of Intrathecal Transplantation of Umbilical Cord Mesenchymal Stem Cells in Patients With Late Stage of Chronic Spinal Cord Injury：A Multicenter, Prospective, Cohort Study",1,43
157,Phase I Clinical Trials of Human Placental Mesenchymal Stem Cells Treatment on Diabetic Foot Ulcer,1,43
158,Comparing Mesenchymal Stem Cell Counts in Unilateral vs. Bilateral Posterior Superior Iliac Spine Bone Marrow Aspiration,1,35
159,Mesenchymal Stem Cell Transplantation for Acute-on-Chronic Liver Failure,1,45
160,The Efficacy and Safety Assessment of Human Umbilical Cord Stroma-derived Multipotent Stromal Cells in Myocardial Infarction; a Phase 1/2 Clinical Trial (HUC-HEART Study),1,46
161,Regeneration of Ischemic Damages in Cardiovascular System Using Wharton's Jelly as an Unlimited Source of Mesenchymal Stem Cells for Regenerative Medicine. Project of the National Centre for Research and Development (Poland) 'STRATEGMED II'. Cardiovascular Clinical Project to Evaluate the Regenerative Capacity of CardioCell in Patients With No-option Critical Limb Ischemia (N-O CLI),1,50
162,The Effect of Secretome of Hypoxia-Mesenchymal Stem Cells in Improving Survival of Severe Covid-19 Patients,1,48
163,"A 1-Year, Multicenter, Randomized, Open-Label Controlled Study to Evaluate the Efficacy and Safety of Cord Blood Cells Expanded With MPCs for Hematopoetic Recovery in Patients With Hematologic Malignancies After Myeloablative Treatment",1,49
164,Donor Mesenchymal Stem Cell Infusion for Treatment of Graft Versus Host Disease: A Phase I Trial,1,49
165,A Prospective Randomized Comparative Clinical Trial Evaluating the Effects of Autologous Microfractured Adipose Tissue (α MAT) Versus Steroid Injection in Knee Osteoarthritis (STα MAT-knee Study),1,48
166,"A Phase 2, Randomized, Double Blind, Placebo Controlled Multicenter Study to Evaluate Safety and Efficacy of Transplantation of Autologous Mesenchymal Stem Cells Secreting Neurotrophic Factors (MSC-NTF) in Patients With ALS",1,48
167,"Clinical Trial of Phase 1/2 to Evaluate the Feasibility, Safety, Tolerability and Preliminary Efficacy of the Administration of FAB117-HC, a Drug Whose Active Ingredient is HC016, Allogeneic Adipose Derived Adult Mesenchymal Stem Cells Expanded and Pulsed With H2O2, in Acute Traumatic SCI Patients.",1,48
168,Novel Stromal Cell Therapy for Diabetic Kidney Disease (NEPHSTROM Study),1,48
169,Outcomes of Umbilical Cord Blood-derived Mesenchymal Stem Cell Infusion in Patients With Neurological Complications After Ischemic Stroke,1,48
170,Clinical Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,1,48
171,"A Double-blind, Randomized, Placebo-controlled, Dose-escalation, Multi-center Study a Single Intravenous Infusion of Allogeneic Mesenchymal Precursor Cells (MPCs) in Patients With Rheumatoid Arthritis and Incomplete Response to at Least One TNFα Inhibitor",1,48
172,"A Multi-centre, Open-label, Randomized, Comparative Clinical Trial of Two Doses of Bone Marrow Autologous MSC+ Biomaterial vs Iliac Crest Autologous Graft, for Bone Healing in Non-union After Long Bone Fractures",1,46
173,"Phase 2 Trial to Investigate the Clinical Efficacy & the Optimal Administration (Based on the Immunological, Clinical & Neuroradiological Effects) of Autologous Mesenchymal Bone Marrow Stem Cells in Active & Progressive Multiple Sclerosis",1,48
174,Treatment of Respiratory Complications Associated With COVID-19 Infection Using Wharton's Jelly (WJ)-Umbilical Cord (UC) Mesenchymal Stromal Cells (ProTrans®): a Randomized Phase II Controlled Clinical Trial,1,48
175,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,1,47
176,UMBILICAL CORD DERIVED MESENCHYMAL STROMAL CELLS (UC-MSC) FOR THE TREATMENT OF SEVERE (GRADE III-IV) STEROID-RESISTANT GRAFT VERSUS HOST DISEASE (GvHD): A PHASE I/II TRIAL,1,47
177,Targeted Stem Cells Expressing TRAIL as a Therapy for Lung Cancer,1,46
178,Evaluation of the Safety and Efficacy of the Treatment of Chronic Wounds in Diabetic Foot Syndrome With the Use of Allogeneic Stem Cells Isolated From Adipose Tissue,1,46
179,"A Phase I, First-in-Human, Multicenter, Randomized, Double-Blinded, Placebo-Controlled Study of the Safety and Efficacy of Allogeneic Mesenchymal Stem Cells in Cancer Survivors With Anthracycline-Induced Cardiomyopathy",1,46
180,Open Randomized Trial of Clinical Efficiency and Safety of Cell Product of Autologous Bone Marrow-derived Mesenchymal Stem Cells for Reparative Treatment of Destructively Changed Endometrium in Patients With Repeated IVF Failures,1,46
181,Regenerative Medicine of Articular Cartilage: Characterization and Comparison of Chondrogenic Potential and Immunomodulatory Adult Mesenchymal Stem Cells,1,35
182,Evaluation Safety and Efficacy of Umbilical Cord Derived Mesenchymal Stem Cell (UC -MSC) Transplantation for Children Suffering From Liver Cirrhosis Due to Biliary Atresia: A Matched Control Prospective Study,1,34
