,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
11,12,NCT04366271,COVID,Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19,Mesenchymal cells|Standard of care,Phase II Clinical Trial to Explore the Efficacy of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With Severe Pulmonary Involvement by COVID-19,Getafe|Barakaldo|Madrid|Madrid|Madrid|Madrid,Madrid,Spain|Spain|Spain|Spain|Spain|Spain,"May 7, 2020"
12,13,NCT03874572,Xerostomia Due to Radiotherapy|Hyposalivation|Xerostomia|Oropharynx Cancer|Salivary Gland Diseases|Dry Mouth|Mesenchymal Stem Cells|Mesenchymal Stromal Cells|Stem Cells,Allogeneic Mesenchymal Stem Cells for Radiation-induced Hyposalivation and Xerostomia/Dry Mouth,Allogeneic adipose derived stem/stromal cells,A Phase I Open Label Study Evaluating the Safety and Feasibility of Allogeneic Mesenchymal Stem Cells for Radiation-induced Hyposalivation and Xerostomia in Previous Oropharynx Cancer Patients,Copenhagen|Copenhagen,,Denmark|Denmark,"March 18, 2019"
13,14,NCT00962923,Systemic Sclerosis|Mesenchymal Stem Cells,Allogeneic Mesenchymal Stem Cells Transplantation for Systemic Sclerosis (SSc),Allogeneic Mesenchymal Stem Cells (AlloMSC),,Nanjing,Jiangsu,China,August 2009
14,15,NCT04626583,Mesenchymal Stromal Cells|Cornea|Safety|Corneal Defect,Safety of Locally Delivered Allogeneic Mesenchymal Stromal Cells,Allogeneic MSC,Safety of Locally Delivered Allogeneic Mesenchymal Stromal Cells for Promoting Corneal Repair,Chicago,Illinois,United States,"March 5, 2021"
15,16,NCT01851070,Rheumatoid Arthritis,A Multi-center Study a Single IV Infusion of Allogeneic MPCs in Patients With Rheumatoid Arthritis and Incomplete Response to at Least One TNFα Inhibitor,Allogeneic Mesenchymal Precursor Cells|Normal Saline,"A Double-blind, Randomized, Placebo-controlled, Dose-escalation, Multi-center Study a Single Intravenous Infusion of Allogeneic Mesenchymal Precursor Cells (MPCs) in Patients With Rheumatoid Arthritis and Incomplete Response to at Least One TNFα Inhibitor",Anniston|Gilbert|El Cajon|Los Angeles|Upland|Ocala|Palm Harbor|Sarasota|Tampa|Baltimore|Frederick|Worcester|Rochester|Fair Lawn|Charlotte|Oklahoma City|Pittsburgh|Jackson|Houston|San Antonio|Camperdown|Hobart|Malvern,Alabama|Arizona|California|California|California|Florida|Florida|Florida|Florida|Maryland|Maryland|Massachusetts|Minnesota|New Jersey|North Carolina|Oklahoma|Pennsylvania|Tennessee|Texas|Texas|New South Wales|Tasmania|Victoria,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Australia,July 2013
16,17,NCT04385056,Bradykinesia,Evaluate Umbilical Cord-derived Allogeneic Mesenchymal Stem Cells for the Treatment of Bradykinesia,MSCTC-0010,"An Open-label, Dose-escalation Study to Evaluate the Use of Umbilical Cord-derived Allogeneic Mesenchymal Stem Cells (UC-MSCs) for the Treatment of Bradykinesia",Paducah|Chesterfield|Brentwood,Kentucky|Missouri|Tennessee,United States|United States|United States,"December 15, 2020"
17,18,NCT01759212,Heart Failure|Ischemic Cardiomyopathy,Left Ventricular Assist Device Combined With Allogeneic Mesenchymal Stem Cells Implantation in Patients With End-stage Heart Failure.,Allogeneic stem cells implantation,Safety and Efficacy of Intramyocardial Implantation of Allogeneic Mesenchymal Stem Cells in Patients With End-stage Heart Failure Undergoing Left Ventricular Assist Device Implantation,Thessaloniki,,Greece,October 2012
18,19,NCT03239535,Critical Limb Ischemia,Allogeneic Mesenchymal Stem Cells for the Critical Limb Ischemia Therapy,Mesenchymal stem cells|Normal saline,Allogeneic Mesenchymal Stem Cells for the Critical Limb Ischemia Therapy,Moscow,,Russian Federation,"October 1, 2013"
19,20,NCT01453738,Osteoarthritis of Knee,Allogeneic Mesenchymal Stem Cells in Osteoarthritis,Ex- vivo cultured adult allogeneic MSCs|Plasmalyte-A,"A Randomized, Double Blind, Multicentric, Placebo Controlled, Phase -II Study Assessing the Safety and Efficacy of Intraarticular Ex-vivo Cultured Adult Allogeneic Mesenchymal Stem Cells in Patients With Osteoarthritis of Knee",Bangalore|Manipal|Mumbai|Pune|Lucknow,Karnataka|Karnataka|Maharashtra|Maharashtra|Uttar Pradesh,India|India|India|India|India,November 2011
20,21,NCT02467387,Non-Ischemic Heart Failure,A Study to Assess the Effect of Intravenous Dose of (aMBMC) to Subjects With Non-ischemic Heart Failure,Allogeneic Mesenchymal Bone Marrow Cells (aMBMC)|Lactated Ringer's Solution,"A Phase IIa Randomized Study to Assess the Safety, Tolerability, and Preliminary Efficacy of a Single Intravenous Dose of Ischemia-tolerant Allogeneic Mesenchymal Bone Marrow Cells to Subjects With Non-ischemic Heart Failure",Washington|Atlanta|Chicago|Stony Brook|Philadelphia,District of Columbia|Georgia|Illinois|New York|Pennsylvania,United States|United States|United States|United States|United States,"June 1, 2014"
21,22,NCT02866721,Cystic Fibrosis,Safety and Tolerability Study of Allogeneic Mesenchymal Stem Cell Infusion in Adults With Cystic Fibrosis,Mesenchymal Stem Cells,"A Phase I, Single Center, Open Label, Single Dose, Dose Escalation Study Assessing the Safety and Tolerability of AllogeneiC MEsenchymAl Stem CEll Infusion in Adults With Cystic Fibrosis-CEASE CF",Cleveland,Ohio,United States,August 2016
22,23,NCT02104440,Cytopenia,Clinical Trial In The Treatment Of Allogeneic Post-Transplant Cytopenias With Sequential Infusion Of Allogeneic Mesenchymal Cells Expanded In Vitro,"Sequential infusion of allogeneic mesenchymal stem cells expanded ""in vitro""",,Salamanca,Salamanca/Castilla León,Spain,October 2013
23,24,NCT05086939,Knee Osteoarthritis,Multicenter Clinical Trial Comparing Treatment With Allogeneic Mesenchymal Cells Versus Autologous Mesenchymal Cells and Versus Active Control With Hyaluronic Acid in Patients With Knee Osteoarthritis.,Autologous MSCs|Allogenic MSCs|Hyaluronic Acid,"Phase III, Multicenter, Randomized, Open-label Clinical Trial Comparing Treatment With Allogeneic Mesenchymal Cells Versus Autologous Mesenchymal Cells and Versus Active Control With Hyaluronic Acid in Patients With Knee Osteoarthritis",Barcelona|Madrid|Madrid|Madrid|Murcia|Málaga|Pamplona|Salamanca|Valladolid,,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,"May 26, 2021"
24,25,NCT02421484,Septic Shock,Cellular Immunotherapy for Septic Shock: A Phase I Trial,Allogeneic mesenchymal stromal cells,Cellular Immunotherapy for Septic Shock: A Phase I Trial,Ottawa,Ontario,Canada,May 2015
25,26,NCT02677350,Crohn's Disease|Fistulizing Crohn's Disease|Stem Cells,AlloGeneic Human Mesenchymal Stem Cells (hMSC) in PAtients With FistuLizing Crohn's Disease Via PErifistula iNjEctions (GALENE),Allogeneic Bone Marrow derived Human Mesenchymal Stem Cells (hMSCs),"A Phase I, Pilot Trial to Evaluate the Safety and Efficacy of Injection of Allogeneic Mesenchymal Bone-Marrow Derived Human Stem Cells in Patients With Fistulizing Crohn's Disease.",Miami,Florida,United States,"December 1, 2019"
26,27,NCT04876326,"Multiple System Atrophy|Parkinsonism|Multiple System Atrophy, Parkinson Variant",Potential Use of Autologous and Allogeneic Mesenchymal Stem Cells in Patients With Multiple System Atrophy,Autologous Adipose Mesenchymal Stem Cell Implantation|Allogeneic Umbilical Cord Mesenchymal Stem Cell Implantation|Allogeneic Umbilical Cord Mesenchymal Stem Cell and Adipose Secretome Implantation,Potential Use of Autologous and Allogeneic Mesenchymal Stem Cells in Patients With Multiple System Atrophy,Jakarta Pusat,DKI Jakarta,Indonesia,"October 5, 2020"
27,28,NCT03522545,Treatment-resistant Bipolar Depression,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs)|Placebo,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,Houston,Texas,United States,"June 1, 2021"
28,29,NCT00749164,Graft-Versus-Host Disease,Allogeneic Mesenchymal Stem Cell for Graft-Versus-Host Disease Treatment,MSC transplantation,Allogeneic Mesenchymal Stem Cell Infusion for Treatment Of Steroid Resistant GVHD,Jerusalem,,Israel,September 2009
29,30,NCT02140528,Tibial Fracture,Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,Mesenchymal stem cell injection|Placebo,Evaluation the Safety and Efficacy of Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,Tehran,,"Iran, Islamic Republic of",August 2013
30,31,NCT01448434,Osteoarthritis of Knee Joint,Allogeneic Mesenchymal Stem Cells for Osteoarthritis,Ex- vivo cultured adult allogeneic MSCs|Plasmalyte-A,"A Randomized, Double Blind, Multicentric, Placebo Controlled, Phase -II Study Assessing the Safety and Efficacy of Intraarticular Ex-vivo Cultured Adult Allogeneic Mesenchymal Stem Cells in Patients With Osteoarthritis of Knee",Kuala Lumpur|Kuala Lumpur|Kuala Lumpur|Kuala Lumpur,Federal territory|Selangor|Selangor|Selangor,Malaysia|Malaysia|Malaysia|Malaysia,September 2011
31,32,NCT02150551,Inflammatory Bowel Diseases,Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease,Allogeneic bone marrow-derived mesenchymal stromal cells,Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease,Washington,District of Columbia,United States,September 2015
32,33,NCT03673748,Lupus Nephritis|Lupus Erythematosus,Treatment of Lupus Nephritis With Allogeneic Mesenchymal Stem Cells,Mesenchymal stromal cells (MSC)|Placebo,A Phase II Controlled Trial of Allogeneic Mesenchymal Stem Cells for the Treatment of Lupus Nephritis,Valladolid,,Spain,December 2022
33,34,NCT01297413,Ischemic Stroke,A Study of Allogeneic Mesenchymal Bone Marrow Cells in Subjects With Ischemic Stroke,Allogeneic adult mesenchymal bone marrow stem cells,"A Phase I/II, Multi-Center, Open-Label Study to Assess the Safety, Tolerability, and Preliminary Efficacy of a Single Intravenous Dose of Allogeneic Mesenchymal Bone Marrow Cells to Subjects With Ischemic Stroke",Gilbert|Orange|San Diego,Arizona|California|California,United States|United States|United States,February 2011
34,35,NCT03967275,Bone Marrow Donor,Subconjunctival Injection of Allogeneic Mesenchymal Stem Cells in Severe Ocular Chemical Burn,bone marrow harvest,Subconjunctival Injection of Allogeneic Mesenchymal Stem Cells in Severe Ocular Chemical Burn SyMbOL Pre Clinical Study,Paris,,France,"September 9, 2020"
35,36,NCT03562065,Lupus Erythematosus|Stem Cell Transplant,Treatment of Refractory Systemic Lupus Erythematosus by Allogeneic Mesenchymal Stem Cells Derived From the Umbilical Cord,mesenchymal stem cells,Treatment of Refractory Systemic Lupus Erythematosus by Injection of Allogeneic Mesenchymal Stem Cells Derived From the Umbilical Cord,Paris,,France,"September 11, 2019"
36,37,NCT03509870,Diabetic Foot Ulcer,Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells to Non-healing Diabetic Foot Wounds,mesenchymal stromal cells,Uncontrolled Non-randomised Single Dose Study of Topically Applied Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells (REDDSTAR (ORBCEL-M)) in Patients With Non-healing Neuroischaemic Diabetic Foot Wounds',Gentofte,,Denmark,"June 1, 2018"
37,38,NCT02687646,Acute Graft Versus Host Disease,Clinical Trial With MSC for Graft Versus Host Disease Treatment,Adult Allogeneic Mesenchymal cells from adipose tissue.,Clinical Trial Phase I / II Graft Versus Host Disease Treatment Refractory to First-line Therapy With Sequential Infusion of Mesenchymal Cells Allogeneic Expanded Adipose Tissue in Vitro,Pamplona|Córdoba|Murcia|Málaga|Salamanca|Sevilla,Navarra,Spain|Spain|Spain|Spain|Spain|Spain,May 2016
38,39,NCT01849159,Pulmonary Emphysema,"Clinical Study of the Efficacy and Safety of the Application of Allogeneic Mesenchymal (Stromal) Cells of Bone Marrow, Cultured Under the Hypoxia in the Treatment of Patients With Severe Pulmonary Emphysema",Mesenchymal stem cells|Reference therapy: 400 mL of 0.9% NaCl solution,"Clinical Study of the Efficacy and Safety of the Application of Allogeneic Mesenchymal (Stromal) Cells of Bone Marrow, Cultured Under the Hypoxia in the Treatment of Patients With Severe Pulmonary Emphysema",Moscow,Moscow Region,Russian Federation,March 2014
39,40,NCT00721045,Heart Failure,A Phase II Dose-escalation Study to Assess the Feasibility and Safety of Transendocardial Delivery of Three Different Doses of Allogeneic Mesenchymal Precursor Cells (MPCs)in Subjects With Heart Failure,Mesenchymal Precursor Cells (MPCs)|Mesenchymal Precursor Cells (MPCs)|Mesenchymal Precursor Cells (MPCs)|standard-of-care treatment with mock mapping and injection procedures.|standard-of-care treatment with mock mapping and injection procedures.|standard-of-care treatment with mock mapping and injection procedures.,A Phase II Dose-escalation Study to Assess the Feasibility and Safety of Transendocardial Delivery of Three Different Doses of Allogeneic Mesenchymal Precursor Cells (MPCs)in Subjects With Heart Failure,Gilbert|La Jolla|Minneapolis|Pittsburgh|Houston|Seattle,Arizona|California|Minnesota|Pennsylvania|Texas|Washington,United States|United States|United States|United States|United States|United States,August 2008
40,41,NCT01484574,Critical Limb Ischemia|Buerger's Disease,A Clinical Trial to Study the Efficacy and Safety of Different Doses of Bone Marrow Derived Mesenchymal Stem Cells in Patients With Critical Limb Ischemia Due to Buergers Disease,Allogeneic Mesenchymal Stem Cells|Allogeneic Mesenchymal Stem Cells,"A Non-randomized, Open Label, Multicentric, Dose Ranging , Phase II Study Assessing the Efficacy and Safety of Intramuscular Administration of Stempeucel - CLI™ (ex Vivo Cultured Adult Bone Marrow Derived Allogeneic Mesenchymal Stem Cells) in Patients With Critical Limb Ischemia Due to Buerger's Disease",New Delhi|Gurgaon|Bangalore|Bangalore|Mangalore|Chennai|Chennai|Chennai|Kolkata|Kolkata,Delhi|Haryana|Karnataka|Karnataka|Karnataka|Tamil Nadu|Tamil Nadu|Tamil Nadu|West Bengal|West Bengal,India|India|India|India|India|India|India|India|India|India,January 2012
41,42,NCT04780685,Covid19,A Phase II Study in Patients With Moderate to Severe ARDS Due to COVID-19,hMSC,"A Phase II, Double-blind, Placebo-controlled Study to Assess the Safety, Tolerability, and Preliminary Efficacy of Intravenous Allogeneic Mesenchymal Stem Cells in Patients With Moderate to Severe ARDS Due to COVID-19",Fullerton|Santa Monica,California|California,United States|United States,"March 20, 2021"
42,43,NCT02387151,Rejection|Graft Loss,Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients,mesenchymal stromal cells,Safety of Allogeneic Bone Marrow Derived Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients,Leiden,,Netherlands,March 2015
43,44,NCT05286255,COVID-19 Pneumonia|Viral Pneumonia,Mesenchymal Stromal Cells for COVID-19 and Viral Pneumonias,Allogeneic Mesenchymal Stromal Cells,"Safety and Tolerability of Allogeneic Umbilical Cord Derived Mesenchymal Stromal Cells (UC-MSCs) to Limit COVID Associated ComplicatioNs: An Open Label, Phase 1 Study in Hospitalized Patients (SAMPSON-1)",Charleston,South Carolina,United States,"May 4, 2022"
44,45,NCT04869761,"Chronic Kidney Diseases|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1|Diabetes Mellitus|Diabetic Nephropathies",Stem Cell Therapy for Chronic Kidney Disease,Allogeneic adipose-derived mesenchymal stem cells (MSC)-Single Infusion|Allogeneic adipose-derived mesenchymal stem cells (MSC)-Two Infusions,Allogeneic Mesenchymal Stem Cell Therapy in Patients With Chronic Kidney Disease: A Phase I Study,Jacksonville|Rochester,Florida|Minnesota,United States|United States,"October 7, 2021"
45,46,NCT02509156,Cardiomyopathy Due to Anthracyclines,Stem Cell Injection in Cancer Survivors,Allo-MSCs|Placebo,"A Phase I, First-in-Human, Multicenter, Randomized, Double-Blinded, Placebo-Controlled Study of the Safety and Efficacy of Allogeneic Mesenchymal Stem Cells in Cancer Survivors With Anthracycline-Induced Cardiomyopathy",Stanford|Gainesville|Miami|Indianapolis|Louisville|Minneapolis|Houston,California|Florida|Florida|Indiana|Kentucky|Minnesota|Texas,United States|United States|United States|United States|United States|United States|United States,August 2016
46,47,NCT04432545,Systemic Sclerosis Pulmonary|Pulmonary Hypertension|Pulmonary Fibrosis,Infusion of Allogeneic Mesenchymal Stem Cells in Patients With Diffuse Cutaneous Systemic Sclerosis With Refractory Pulmonary Involvement,Mesenchymal Stem Cells from Wharton ́s jellyintravenous infusion of Mesenchymal Stem Cells from Wharton ́s jelly,Infusion of Allogeneic Stromal Mesenchymal Stem Cells From Wharton´s Jelly in Patients With Diffuse Cutaneous Systemic Sclerosis With Refractory Pulmonary Involvement to Treatment,Chía,Chia,Colombia,
47,48,NCT04535856,Covid19|Corona Virus Infection|SAR,Therapeutic Study to Evaluate the Safety and Efficacy of DW-MSC in COVID-19 Patients,allogeneic mesenchymal stem cell|Placebo,"Therapeutic Study to Evaluate the Safety and Efficacy of DW-MSC in COVID-19 Patients: Randomized, Double-blind, and Placebo-controlled",Makassar,,Indonesia,"November 14, 2020"
48,49,NCT04357600,Liver Cirrhoses,Umbilical Cord Mesenchymal Stem Cell for Liver Cirrhosis Patient Caused by Hepatitis B,Allogeneic Umbilical Cord Mesenchymal Stem Cell,Umbilical Cord Mesenchymal Stem Cell for Liver Cirrhosis Patient Caused by Hepatitis B: Phase I/ II Study,Jakarta,DKI Jakarta,Indonesia,"May 17, 2018"
49,50,NCT01591200,Alcoholic Liver Cirrhosis,Dose Finding Study to Assess Safety and Efficacy of Stem Cells in Liver Cirrhosis,Allogeneic Mesenchymal Stem Cells|Allogeneic Mesenchymal Stem Cells|Allogeneic Mesenchymal Stem Cells,"A Parallel Group Randomized Open Blinded End Point Evaluation, Multicentric, Dose Escalation, Phase -II Study Assessing the Safety and Efficacy of Intraarterial (Hepatic) Ex-vivo Cultured Adult Allogenic Mesenchymal Stem Cells in Patients With Alcoholic Liver Cirrhosis",Hyderabad|Hyderabad|Bangalore|Mangalore|Mumbai|Mumbai|Pune|Pune|Jaipur|Lucknow,Andhra Pradesh|Andhra Pradesh|Karnataka|Karnataka|Maharashtra|Maharashtra|Maharashtra|Maharashtra|Rajasthan|Uttar Pradesh,India|India|India|India|India|India|India|India|India|India,June 2012
50,51,NCT01946048,Ischemic Cardiomyopathy,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Ischemic Cardiomyopathy,mesenchymal stem cells,Safety and Efficacy Investigation of Patients With Ischemic Cardiomyopathy by Transplantation of Umbilical Cord Derived Mesenchymal Stem Cells,Shijiazhuang,Hebei,China,October 2013
51,52,NCT04466007,Limb Ischemia|Diabetic Foot,Safety and Efficacy of Allogeneic Adipose Tissue Mesenchymal Stem Cells in Diabetic Patients With Critical Limb Ischemia,High dose allogeneic mesenchymal stromal cells|Low dose allogeneic mesenchymal stromal cells|Placebos,"Multicenter, Randomized, Dose-search, Parallel, Double-blind, and Placebo-controlled Clinical Trial to Evaluate the Safety and Efficacy of Intramuscular Administration of Allogeneic Adipose Tissue Adult Mesenchymal Stem Cells in Diabetic Patients With Critical Limb Ischemia Without Possibility of Revascularization",Alicante|Madrid|Madrid|Madrid|Murcia|Pamplona|Salamanca|Sevilla|Valencia|Valladolid,,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,"January 11, 2021"
52,53,NCT01795950,Pulmonary Arterial Hypertension,Safety Study of PLX-PAD Cells to Treat Pulmonary Arterial Hypertension (PAH),PLX-PAD,A Phase I Safety and Pharmacodynamic Study of Intravenous Infusion of PLX-PAD Cells in Patients With PAH,Brisbane|Melbourne,Queensland,Australia|Australia,April 2013
53,54,NCT03602872,Knee Osteoarthritis,Safety of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells in Subjects With Osteoarthritis,Human allogeneic mesenchymal bone marrow derived stem cells,"Phase I, Open Label Study to Assess the Safety and Tolerance of a Single Intraarticular Dose of STEMEDICA's Human Allogeneic Bone Marrow Derived Mesenchymal Stem Cells, in Subjects With Knee Osteoarthritis.",Tijuana,Baja California,Mexico,August 2019
