,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
10,11,NCT00482092,Crohn's Disease,Evaluation of PROCHYMAL® Adult Human Stem Cells for Treatment-resistant Moderate-to-severe Crohn's Disease,Prochymal®|Placebo,"A Phase III, Multicenter, Placebo-controlled, Randomized, Double-blind Study to Evaluate the Safety and Efficacy of PROCHYMAL® (ex Vivo Cultured Adult Human Mesenchymal Stem Cells) Intravenous Infusion for the Induction of Remission in Subjects Experiencing Treatment-refractory Moderate-to-severe Crohn's Disease",Los Angeles|San Francisco|Wheat Ridge|Clearwater|Jacksonville|Winter Park|Atlanta|Chicago|Urbana|Indianapolis|Topeka|Lexington|Louisville|Baton Rouge|Baltimore|Bethesda|Chevy Chase|Boston|Boston|Worcester|Dearborn|Troy|Minneapolis|Saint Louis|Lebanon|New York|New York|Rochester|Rochester|Stony Brook|Charlotte|Pinehurst|Winston-Salem|Tulsa|Tulsa|Pittsburgh|Pittsburgh|Germantown|Nashville|Nashville|Dallas|Galveston|Houston|Burlington|Norfolk|Richmond|Seattle|Adelaide|Melbourne|Calgary|Edmonton|Winnipeg|London|Toronto|Christchurch|Hamilton,California|California|Colorado|Florida|Florida|Florida|Georgia|Illinois|Illinois|Indiana|Kansas|Kentucky|Kentucky|Louisiana|Maryland|Maryland|Maryland|Massachusetts|Massachusetts|Massachusetts|Michigan|Michigan|Minnesota|Missouri|New Hampshire|New York|New York|New York|New York|New York|North Carolina|North Carolina|North Carolina|Oklahoma|Oklahoma|Pennsylvania|Pennsylvania|Tennessee|Tennessee|Tennessee|Texas|Texas|Texas|Vermont|Virginia|Virginia|Washington|South Australia|Victoria|Alberta|Alberta|Manitoba|Ontario|Ontario,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Canada|Canada|Canada|Canada|Canada|New Zealand|New Zealand,"September 17, 2007"
11,12,NCT04366830,Moderate to Severe Acute Respiratory Distress Syndrome Associated With COVID-19,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection",Remestemcel-L,"Intermediate-size Expanded Access of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells for Acute Respiratory Distress Syndrome Due to COVID-19 Infection",New York,New York,United States,
12,13,NCT04543994,Ulcerative Colitis,Study of Mesenchymal Stem Cells for the Treatment of Medically Refractory Ulcerative Colitis (UC),Remestemcel-L|Remestemcel-L|Placebo,"A Phase IB/IIA Study of Remestemcel-L, an ex Vivo Culture-expanded Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cell Product, for the Treatment of Medically Refractory Ulcerative Colitis",Cleveland,Ohio,United States,"November 10, 2020"
13,14,NCT00294112,Crohn's Disease,Prochymal™ Adult Human Mesenchymal Stem Cells for Treatment of Moderate-to-severe Crohn's Disease,Prochymal™ adult human mesenchymal stem cells|adult human mesenchymal stem cells,"A Phase II, Open-label, Randomized Study to Evaluate the Safety and Efficacy of PROCHYMAL™ IBD (ex Vivo Cultured Adult Human Mesenchymal Stem Cells) Intravenous Infusion for the Treatment of Subjects Experiencing Moderate-to-severe Crohn's Disease That is Refractory to Steroids and Immune Suppressants",Baton Rouge|Charlotte|Pittsburgh|Richmond,Louisiana|North Carolina|Pennsylvania|Virginia,United States|United States|United States|United States,"March 13, 2006"
14,15,NCT04548583,Crohn Colitis,Study of Mesenchymal Stem Cells for the Treatment of Medically Refractory Crohn's Colitis,Remestemcel-L|Remestemcel-L|Placebo,"A Phase IB/IIA Study of Remestemcel-L, an Ex-vivo Culture-expanded Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cell Product for the Treatment of Medically Refractory Crohn's Colitis",Cleveland,Ohio,United States,"November 4, 2020"
15,16,NCT00826046,Graft-Versus-Host Disease,Prochymal® Expanded Access for Adults Who Have Failed Steroid Treatment for Acute Graft Versus Host Disease (GVHD),Prochymal®,Expanded Access of Prochymal® (Ex-vivo Cultured Adult Human Mesenchymal Stem Cells) Infusion for the Treatment of Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD,Beech Grove|Boston|New York,Indiana|Massachusetts|New York,United States|United States|United States,
16,17,NCT00543374,Crohn's Disease,Extended Evaluation of PROCHYMAL® Adult Human Stem Cells for Treatment-Resistant Moderate-to-Severe Crohn's Disease,Placebo|PROCHYMAL adult human mesenchymal stem cells,"A Phase III, Multicenter, Placebo-controlled, Randomized, Double-blind Durability and Retreatment Study to Evaluate the Safety and Efficacy of PROCHYMAL® (ex Vivo Cultured Adult Human Mesenchymal Stem Cells) Intravenous Infusion for the Maintenance and Re-induction of Clinical Benefit and Remission in Subjects Experiencing Treatment-refractory Moderate-to-severe Crohn's Disease",Anaheim|Long Beach|Los Angeles|San Francisco|Wheat Ridge|Hamden|Clearwater|Jacksonville|Miami|Winter Park|Atlanta|Chicago|Urbana|Indianapolis|Topeka|Lexington|Louisville|Baton Rouge|Bethesda|Chevy Chase|Boston|Boston|Worcester|Dearborn|Troy|Minneapolis|Saint Louis|Lebanon|Cedar Knolls|Teaneck|New York|New York|Rochester|Rochester|Stony Brook|Charlotte|Pinehurst|Winston-Salem|Dayton|Tulsa|Tulsa|Pittsburgh|Pittsburgh|Germantown|Nashville|Nashville|Dallas|Galveston|Houston|Burlington|Norfolk|Richmond|Seattle|Calgary|Edmonton|Winnipeg|London|Toronto,California|California|California|California|Colorado|Connecticut|Florida|Florida|Florida|Florida|Georgia|Illinois|Illinois|Indiana|Kansas|Kentucky|Kentucky|Louisiana|Maryland|Maryland|Massachusetts|Massachusetts|Massachusetts|Michigan|Michigan|Minnesota|Missouri|New Hampshire|New Jersey|New Jersey|New York|New York|New York|New York|New York|North Carolina|North Carolina|North Carolina|Ohio|Oklahoma|Oklahoma|Pennsylvania|Pennsylvania|Tennessee|Tennessee|Tennessee|Texas|Texas|Texas|Vermont|Virginia|Virginia|Washington|Alberta|Alberta|Manitoba|Ontario|Ontario,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada,"September 17, 2007"
17,18,NCT04371393,Mesenchymal Stromal Cells|Remestemcel-L|Acute Respiratory Distress Syndrome|COVID,MSCs in COVID-19 ARDS,Remestemcel-L|Placebo,Mesenchymal Stromal Cells for the Treatment of Moderate to Severe COVID-19 Acute Respiratory Distress Syndrome,Gilbert|Los Angeles|Stanford|Atlanta|Fort Wayne|New Orleans|Portland|Baltimore|Boston|Ann Arbor|Lebanon|New York|New York|New York|Durham|Raleigh|Cleveland|Philadelphia|Houston|Plano|Charlottesville,Arizona|California|California|Georgia|Indiana|Louisiana|Maine|Maryland|Massachusetts|Michigan|New Hampshire|New York|New York|New York|North Carolina|North Carolina|Ohio|Pennsylvania|Texas|Texas|Virginia,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"April 30, 2020"
18,19,NCT00136903,Graft Vs Host Disease,Safety and Efficacy Study of Adult Human Mesenchymal Stem Cells to Treat Acute Graft Versus Host Disease (GVHD),Prochymal® - 2 Million cells/kg|Prochymal®- 8 Million cells/kg|Methylprednisolone|Prednisone|Cyclosporine|Tacrolimus|Mycophenolate Mofetil,"A Phase II, Randomized Study to Evaluate the Safety and Efficacy of Prochymal® (Ex-vivo Cultured Adult Human Mesenchymal Stem Cells) For the Treatment of Acute GVHD in Patients Who Receive Allogeneic Hematopoietic Stem Cell Transplantation",Indianapolis|Kansas City|Hackensack|Buffalo|New York|Rochester|Valhalla|Houston|Milwaukee,Indiana|Missouri|New Jersey|New York|New York|New York|New York|Texas|Wisconsin,United States|United States|United States|United States|United States|United States|United States|United States|United States,"April 27, 2005"
19,20,NCT04456439,Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19),"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19)",Remestemcel-L|Hydrocortisone|Diphenhydramine,"Intermediate-size Expanded Access of Remestemcel-L, Human Mesenchymal Stromal Cells, for Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19)",,,,
20,21,NCT00366145,Graft Versus Host Disease,Efficacy and Safety of Adult Human Mesenchymal Stem Cells to Treat Steroid Refractory Acute Graft Versus Host Disease (GVHD),Prochymal®|Placebo|Standard of Care for GVHD,"A Phase III, Randomized, Double Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Prochymal® (Ex-vivo Cultured Adult Human Mesenchymal Stem Cells) Infusion for the Treatment of Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD",Birmingham|Tucson|Duarte|San Francisco|New Haven|Miami|Saint Petersburg|Atlanta|Atlanta|Chicago|Chicago|Chicago|Beech Grove|Iowa City|Kansas City|Louisville|Shreveport|Baltimore|Boston|Boston|Boston|Detroit|Rochester|Jackson|Omaha|Hackensack|Buffalo|New York|New York|New York|Rochester|Valhalla|Durham|Winston-Salem|Portland|Hershey|Pittsburgh|Charleston|Dallas|Dallas|Dallas|Houston|San Antonio|Richmond|Seattle|Madison|Milwaukee|Herston|Parkville|Perth|Calgary|Vancouver|Winnipeg|Halifax|Hamilton|London|Ottawa|Toronto|Toronto|Montreal|Quebec|Quebec|Pesaro|Pavia|Basel|London|Headington|Bristol|Glasgow|Leeds,Alabama|Arizona|California|California|Connecticut|Florida|Florida|Georgia|Georgia|Illinois|Illinois|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maryland|Massachusetts|Massachusetts|Massachusetts|Michigan|Minnesota|Mississippi|Nebraska|New Jersey|New York|New York|New York|New York|New York|New York|North Carolina|North Carolina|Oregon|Pennsylvania|Pennsylvania|South Carolina|Texas|Texas|Texas|Texas|Texas|Virginia|Washington|Wisconsin|Wisconsin|Queensland|Victoria|Western Australia|Alberta|British Columbia|Manitoba|Nova Scotia|Ontario|Ontario|Ontario|Ontario|Ontario|Quebec|PU|England|Oxford|UK|UK|UK,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Australia|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Italy|Italy|Switzerland|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,"August 17, 2006"
