,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
10,11,NCT03601416,Bronchopulmonary Dysplasia,Human Mesenchymal Stem Cells For Moderate and Severe Bronchopulmonary Dysplasia,Transplantation of mesenchymal stem cell|No Transplantation of Mesenchymal Stem Cell,Intravenous Human Umbilical-Cord-Derived Mesenchymal Stem Cells For Moderate and Severe Bronchopulmonary Dysplasias in Children,Chongqing,Chongqing,China,"July 1, 2019"
11,12,NCT03106662,Hematopoietic Stem Cell Transplantation,Mesenchymal Stem Cell Infusion in Haploidentical Hematopoietic Stem Cell Transplantation in Patients With Hematological Malignancies,mesenchymal stem cells|cyclophosphamide administration,Mesenchymal Stem Cell Infusion in Haploidentical Hematopoietic Stem Cell Transplantation in Patients With Hematological Malignancies,Ankara,,Turkey,October 2014
12,13,NCT02302599,Type 2 Diabetes|Mesenchymal Stem Cells,Mesenchymal Stem Cells to Treat Type 2 Diabetes,Umbilical cord mesenchymal stem cells|Controlled suspension liquid,"Efficacy and Safety of Umbilical-cord Mesenchymal Stem Cells in Chinese Adults With Type 2 Diabetes: a Single Center, Double-blind, Randomized, Placebo-controlled Trial",Beijing,Beijing,China,January 2013
13,14,NCT02804945,Blood And Marrow Transplantation|Adult Respiratory Distress Syndrome,Mesenchymal Stem Cells (MSCs) for Treatment of Acute Respiratory Distress Syndrome (ARD) in Patients With Malignancies,Mesenchymal Stem Cells (MSCs),A Pilot Study of Mesenchymal Stem Cells for Treatment of Acute Respiratory Distress Syndrome in Patients With Malignancies,Houston,Texas,United States,"February 24, 2017"
14,15,NCT03778333,Autologous Mesenchymal Stem Cells|Multiple Sclerosis,Mesenchymal Stem Cells for Progressive Multiple Sclerosis_Sweden,Autologous mesenchymal stem cells,Mesenchymal Stem Cells for Progressive Multiple Sclerosis_Sweden,Stockholm|Stockholm,,Sweden|Sweden,"December 1, 2012"
15,16,NCT01694927,Spinal Cord Injury,Autologous Mesenchymal Stem Cells in Spinal Cord Injury (SCI) Patients,Autologous Mesenchymal Stem Cells,Autologous Mesenchymal Stem Cells in Spinal Cord Injury (SCI) Patients,Santiago,RM,Chile,January 2012
16,17,NCT01068951,Type 1 Diabetes,Treatment of Patients With Newly Onset of Type 1 Diabetes With Mesenchymal Stem Cells,Mesenchymal stem cells,Open Study to Evaluate the Safety and Efficacy of Autologous Mesenchymal Stem Cells in Treatment of Recently Diagnosed Patients With Type 1 Diabetes Mellitus,Uppsala,,Sweden,June 2010
17,18,NCT04318600,Lupus Nephritis|Mesenchymal Stem Cells,Allogeneic Amniotic Mesenchymal Stem Cell Therapy for Lupus Nephritis,human amniotic mesenchymal stem cell,Allogeneic Amniotic Mesenchymal Stem Cell Therapy for Lupus Nephritis,,,,"January 1, 2014"
18,19,NCT01297972,Aplastic Anemia,Mesenchymal Stem Cells in the Treatment of Relapsed/Refractory Severe Acquired Aplastic Anemia,Intravenous bone marrow mesenchymal stem cells infusion,Bone Marrow Mesenchymal Stem Cells in the Treatment of Refractory Severe Acquired Aplastic Anemia,Ribeirão Preto,São Paulo,Brazil,February 2011
19,20,NCT02140528,Tibial Fracture,Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,Mesenchymal stem cell injection|Placebo,Evaluation the Safety and Efficacy of Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,Tehran,,"Iran, Islamic Republic of",August 2013
20,21,NCT01224327,Liver Cirrhosis|Radiology|Mesenchymal Stem Cells|Umbilical Cord,Umbilical Cord Mesenchymal Stem Cells Infusion Via Hepatic Artery in Cirrhosis Patients,umbilical cord Mesenchymal Stem Cells|Conserved therapy,The Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion Via Hepatic Artery in Cirrhosis Patients.,Qingdao,Shandong,China,October 2010
21,22,NCT01763086,"Stem Cell Transplantation, Hematopoietic|Mesenchymal Stem Cells|Poor Graft Function|Hematological Diseases",Mesenchymal Stem Cells for Treatment of Poor Graft Function After Allogeneic Hematopoietic Stem Cell Transplant,Mesenchymal stem cells,Mesenchymal Stem Cells From Third-party Donors for Treatment of Poor Graft Function After Allogeneic Hematopoietic Stem Cell Transplantation,Guangzhou,Guangdong,China,January 2013
22,23,NCT00504803,Hematological Malignancies,Mesenchymal Stem Cell Infusion as Prevention for Graft Rejection and Graft-versus-host Disease,Mesenchymal stem cell infusion,Mesenchymal Stem Cell Infusion as Prevention for Graft Rejection and Graft-versus-host Disease After Allogeneic Hematopoietic Cell Transplantation With Nonmyeloablative Conditioning: a Pilot Study,Liege,,Belgium,December 2006
23,24,NCT03863002,"Liver Failure, Acute on Chronic",Safety and Efficacy of Mesenchymal Stem Cell Transplantation for Acute-on-Chronic Liver Failure,Mesenchymal Stem Cell,Mesenchymal Stem Cell Transplantation for Acute-on-Chronic Liver Failure,Tianjin,Tianjin,China,"October 1, 2019"
24,25,NCT01788059,Nonunion Fracture,The Efficacy of Mesenchymal Stem Cells for Stimulate the Union in Treatment of Non-united Tibial and Femoral Fractures in Shahid Kamyab Hospital,injection the mesenchymal stem cell in non union site,The Efficacy of Mesenchymal Stem Cells for Stimulate the Union in Treatment of Non-united Tibial and Femoral Fractures in Shahid Kamyab Hospital,Mashhad,Khorasan,"Iran, Islamic Republic of",January 2013
25,26,NCT01763099,Hematopoietic Stem Cell Transplantation|Mesenchymal Stem Cells|Umbilical Cord Blood|Graft Failure|Hematological Diseases,Mesenchymal Stem Cells Combined With Cord Blood for Treatment of Graft Failure,Mesenchymal stem cells|Mesenchymal stem cells and cord blood,Mesenchymal Stem Cells Combined With Cord Blood for Treatment of Graft Failure Following Autologous Hematopoietic Stem Cell Transplantation,Guangzhou,Guangdong,China,January 2013
26,27,NCT01956903,Chronic Graft-Versus-Host Disease,Treatment of Refractory Acute Graft-Versus-Host Disease by Sequential Infusion of Allogenic Mesenchymal Stem Cell.,Allogenic Mesenchymal Stem Cell,Phase 1/2 Study of Treatment of Refractory Acute Graft-Versus-Host Disease After First Line Therapy by Sequential Infusion of Expanded In-Vitro Allogenic Mesenchymal Stem Cell,Madrid,,Spain,January 2010
27,28,NCT03130374,Tracheal Stenosis|Laryngeal Stenosis|Mesenchymal Stem Cells,Treatment of Laryngotracheal Stenosis Using Mesenchymal Stem Cells,Olfactory mucosa-derived mesenchymal stem cells,Treatment of Laryngotracheal Stenosis Using Autologous Olfactory-mucosa-derived Mesenchymal Stem Cells,Minsk|Minsk,,Belarus|Belarus,"January 3, 2017"
28,29,NCT02285673,Duchenne Muscular Dystrophy,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy,Umbilical Cord Mesenchymal Stem Cell,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy: Phase 1/2 Study,Istanbul,Uskudar,Turkey,November 2013
29,30,NCT04078308,"Diabetes Mellitus|Diabetes Mellitus, Type 1|Diabetes Mellitus, Insulin-Dependent",Mesenchymal Stem Cells Transplantation in Newly Diagnosed Type-1 Diabetes Patients,Intravenous Injection of autologous mesenchymal stem cells|Intravenous injection of placebo,Phase I/II Clinical Trial to Examine the Safety and Efficacy of Transplantation of Mesenchymal Stem Cells in New-onset Type 1 Diabetes Patients,Tehran,,"Iran, Islamic Republic of","July 6, 2015"
30,31,NCT02166489,Chronic Renal Failure|Polycystic Kidney Disease,Mesenchymal Stem Cells Transplantation in Patients With Chronic Renal Failure Due to Polycystic Kidney Disease,Intravenous injection autologous mesenchymal stem cells,Evaluation the Effect of Mesenchymal Stem Cells Transplantation in Patients With Chronic Renal Failure Due to Autosomal Dominant Polycystic Kidney Disease,Tehran,,"Iran, Islamic Republic of",March 2014
31,32,NCT01216865,Diabetic Foot|Critical Limb Ischemia|Mesenchymal Stem Cells|Umbilical Cord,Umbilical Cord Mesenchymal Stem Cells Injection for Diabetic Foot,umbilical cord mesenchymal stem cells|Standard Therapy,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Injection for Diabetic Foot,Qingdao,Shandong,China,January 2011
32,33,NCT01941394,Graft-versus-host Disease|Relapse,Mesenchymal Stem Cells Infusion for aGVHD Prophylaxis Transplantation,Mesenchymal stem cells,Pilot Study for Safety and Effectiveness Assessment of Bone Marrow Mesenchymal Stem Cell Infusion for Acute Graft-versus-host Disease Prophylaxis and Treatment After Allogenic Bone Marrow Transplantation,Moscow,,Russian Federation,October 2007
33,34,NCT02824653,Graft Versus Host Disease,Allogenic Bone Marrow Mesenchymal Stem Cells Infusion in Patients With Steroid-refractory GVHD,Mesenchymal Stem Cells,Allogenic Bone Marrow Mesenchymal Stem Cells Infusion in Patients With Steroid-refractory GVHD- A Phase I/II Clinical Trial,Rawalpindi,Punjab,Pakistan,January 2015
34,35,NCT01946048,Ischemic Cardiomyopathy,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Ischemic Cardiomyopathy,mesenchymal stem cells,Safety and Efficacy Investigation of Patients With Ischemic Cardiomyopathy by Transplantation of Umbilical Cord Derived Mesenchymal Stem Cells,Shijiazhuang,Hebei,China,October 2013
35,36,NCT03683953,Safety Issues|Effect of Drugs,The Treatment of Bronchopulmonary Dysplasia by Intratracheal Instillation of Mesenchymal Stem Cells,mesenchymal stem cells therapy|0.9% sodium chloride,The Treatment of Bronchopulmonary Dysplasia by Intratracheal Instillation of Mesenchymal Stem Cells,,,,"September 29, 2018"
36,37,NCT01429012,Nonunion Fracture,Treatment of Atrophic Nonunion Fractures by Autologous Mesenchymal Stem Cell Percutaneous Grafting,Mesenchymal Stem Cells|Culture medium without MSC.,"Treatment of Atrophic Nonunion Fractures by Autologous Mesenchymal Stem Cell Percutaneous Grafting. A Randomized, Double-blind, Controlled Study",Liège,,Belgium,November 2012
37,38,NCT03068988,Rotator Cuff Tear,Clinical Study on Mesenchymal Stem Cells Used in the Reconstruction Surgery of the Supraspinatus Muscle Lesions,mesenchymal stem cells|without mesenchymal stem cells,Mesenchymal Stem Cells in the Reconstruction Surgery of the Supraspinatus Muscle Lesions,Znojmo,Czech Republic,Czechia,"January 1, 2012"
38,39,NCT01377870,Multiple Sclerosis,Evaluation of Autologous Mesenchymal Stem Cell Transplantation (Effects and Side Effects) in Multiple Sclerosis,intravenous injection of mesenchymal stem cells|injection of cell free media,Effect and Side Effect of Mesenchymal Stem Cell in Multiple Sclerosis,Tehran,,"Iran, Islamic Republic of",December 2011
39,40,NCT02482194,Spinal Cord Injury,Autologous Mesenchymal Stem Cells Transplantation for Spinal Cord Injury- A Phase I Clinical Study,mesenchymal stem cells,Autologous Transplantation of Bone Marrow Mesenchymal Stem Cells in Patients of Spinal Cord Injury-Phase I Clinical Trial,Rawalpindi,,Pakistan,June 2013
40,41,NCT02755922,Mandibular Fractures,Bone Regeneration With Mesenchymal Stem Cells,Application of autologous mesenchymal stem cells,Bone Regeneration in Mandibular Fractures After the Application of Autologous Mesenchymal Stem Cells. Randomized Clinical Trial.,,,,April 2010
41,42,NCT02945462,Erectile Dysfunction,Bone Marrow Mesenchymal Stem Cells in Erectile Dysfunction (ED),autologous mesenchymal stem cells,The Safety and Efficacy of Using Bone Marrow-derived Mesenchymal Stem Cells in the Treatment of Erectile Dysfunction in Diabetic Patients,,,,September 2013
42,43,NCT02172885,Osteogenesis Imperfecta,Mesenchymal Stem Cell Based Therapy for the Treatment of Osteogenesis Imperfecta,Mesenchymal Stem Cells,Mesenchymal Stem Cell Based Therapy for the Treatment of Osteogenesis Imperfecta,Barakaldo|Getafe,Bizkaia|Madrid,Spain|Spain,April 2014
43,44,NCT02116634,Amyotrophic Lateral Sclerosis,Mesenchymal Stem Cell Injection in Amyotrophic Lateral Sclerosis,mesenchymal stem cell,"Phase 1, 2 Study of Mesenchymal Stem Cells Injection in ALS (Amyotrophic Lateral Sclerosis) Patients",Isfahan,,"Iran, Islamic Republic of",May 2015
44,45,NCT05160831,Knee Osteoarthritis,Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis,Human umbilical cord mesenchymal stem cells,Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis,,,,"January 20, 2022"
45,46,NCT02247973,Severe Aplastic Anemia,Mesenchymal Stem Cells Co-transplantation in Alternative Donor Transplantation of Severe Aplastic Anemia.,mesenchymal stem cells|mesenchymal stem cells,PhaseⅡTrial of Co-transplantation With Bone Marrow Derived Mesenchymal Stem Cells From Related Donors in Alternative Donor Transplantation of Severe Aplastic Anemia.,Guangzhou,Guangdong,China,February 2013
46,47,NCT05468502,Idiopathic Pulmonary Fibrosis,Phase I/IIa Clinical Trial of Human Umbilical Cord Mesenchymal Stem Cell Injection in the Treatment of Idiopathic Pulmonary Fibrosis (IPF),Human umbilical cord mesenchymal stem cell injection,"An Open Clinical Study to Explore the Safety, Tolerance and Preliminary Efficacy of Human Umbilical Cord Mesenchymal Stem Cell Injection in the Treatment of Idiopathic Pulmonary Fibrosis (IPF)",Shanghai,Shanghai,China,August 2022
47,48,NCT02249676,Devic's Syndrome|Devic's Neuromyelitis Optica|Devic Syndrome|Devic's Disease|Devic Disease,Autologous Mesenchymal Stem Cells for the Treatment of Neuromyelitis Optica Spectrum Disorders,Autologous mesenchymal stem cells,Autologous Mesenchymal Stem Cells for the Treatment of Progressive and Refractory Neuromyelitis Optica Spectrum Disorders: an Open-label Phase 2a Proof-of-concept Study,Tianjin,Tianjin,China,January 2013
48,49,NCT04441658,Type 2 Diabetes|Mesenchymal Stem Cells,Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells Transplantation in Patients With Type 2 Diabetes Mellitus,Umbilical Cord Mesenchymal Stem Cells|saline,Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells Transplantation in Patients With Type 2 Diabetes Mellitus,Shanghai,Shanghai,China,"April 10, 2020"
49,50,NCT00953485,Sjogren's Syndrome|Mesenchymal Stem Cells,Allogeneic Mesenchymal Stem Cells Transplantation for Primary Sjögren's Syndrome (pSS),Allogeneic Mesenchymal Stem Cells (AlloMSC),Clinical Trial of Allogeneic Mesenchymal Stem Cells Transplantation for Primary Sjögren's Syndrome - Phase Ⅰ/Ⅱ,Nanjing,Jiangsu,China,June 2009
50,51,NCT04414592,Lumbar Disc Degeneration|Lumbar Disc Herniation,Human Umbilical Cord Mesenchymal Stem Cells For the Treatment of Lumbar Disc Degeneration Disease,human umbilical cord mesenchymal stem cells,Safety and Effectiveness of Human Umbilical Cord Mesenchymal Stem Cells For the Treatment of Lumbar Disc Degeneration Disease,Shanghai|Shanghai,Shanghai,China|China,August 2020
51,52,NCT04351932,Osteo Arthritis Knee,Bone Marrow Versus Adipose Autologous Mesenchymal Stem Cells for the Treatment of Knee Osteoarthritis,bone marrow mesenchymal stem cells|Adipose Mesenchymal stem cells|bone marrow & adipose mesenchymal stem cells injection,Bone Marrow Versus Adipose Autologous Mesenchymal Stem Cells for the Treatment of Knee Osteoarthritis: A Randomized Non Blind Controlled Clinical Trial,Guayaquil,Guayas,Ecuador,"June 7, 2020"
52,53,NCT03956719,Knee Osteoarthritis,Treatment of Early Knee Osteoarthritis With Autologous Adipose-derived Mesenchymal Stem Cells,Autologous adipose-derived mesenchymal stem cells|abdominal liposuction,Efficacy and Safety of Autologous Adipose-derived Mesenchymal Stem Cells in the Treatment of Early Knee Osteoarthritis,Jinan,Shandong,China,"March 2, 2019"
53,54,NCT01157403,Evidence of Liver Transplantation,Autologous Transplantation of Mesenchymal Stem Cells for Treatment of Patients With Onset of Type 1 Diabetes,Autologous transplantation,Autologous Transplantation of Mesenchymal Stem Cells for Treatment of Patients With Onset of Type 1 Diabetes,Chongqing,Chongqing,China,July 2010
54,55,NCT01902082,ARDS,Adipose-derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome,Mesenchymal stem cells|Placebo,Phase I Study of Allogeneic Adipose-derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome,Shaoxing,Zhejiang,China,November 2012
55,56,NCT02409940,Renal Transplant Rejection,To Elucidate the Effect of Mesenchymal Stem Cells on the T Cell Repertoire of the Kidney Transplant Patients,Mesenchymal Stem Cells,A Randomized Trial to Elucidate Effect of Mesenchymal Stem Cells on Immune Modulation in Living Related Kidney Transplant Patients,Chandigarh,,India,September 2013
56,57,NCT01676441,Spinal Cord Injury,Safety and Efficacy of Autologous Mesenchymal Stem Cells in Chronic Spinal Cord Injury,cellgram-spine,A Phase II/III Clinical Trial to Evaluate the Safety and Efficacy of Bone Marrow-derived Mesenchymal Stem Cell Transplantation in Patients With Chronic Spinal Cord Injury.,Seoul,,"Korea, Republic of",August 2008
57,58,NCT01775774,Acute Respiratory Distress Syndrome,Human Mesenchymal Stem Cells For Acute Respiratory Distress Syndrome,Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells,A Phase 1 Multi-center Clinical Trial of Allogeneic Bone Marrow-derived Human Mesenchymal Stem Cells for the Treatment of Acute Respiratory Distress Syndrome,San Francisco|Stanford|Boston|Pittsburgh,California|California|Massachusetts|Pennsylvania,United States|United States|United States|United States,July 2013
58,59,NCT04791878,Perianal Fistula Due to Crohn's Disease (Disorder),Study of Mesenchymal Stem Cells for Pediatric Perianal Fistulizing Crohn's Disease,Mesenchymal stem cells,A Phase I Study of Adult Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for Pediatric Perianal Fistulizing Crohn's Disease,Cleveland,Ohio,United States,"April 1, 2021"
59,60,NCT02344849,Erectile Dysfunction,Safety of Autologous Bone Marrow Derived Mesenchymal Stem Cells in Erectile Dysfunction,mesenchymal stem cell,"An Open, Single-center, Phase 1 Study to Evaluate Safety of Autologous Bone Marrow Derived Mesenchymal Stem Cell in Erectile Dysfunction.",Seoul,,"Korea, Republic of",July 2015
60,61,NCT03668171,Acute-On-Chronic Liver Failure,Mesenchymal Stem Cell Transplantation for Acute-on-chronic Liver Failure,mesenchymal stem cell transplantation or placebo infusion via peripheral vein,"Mesenchymal Stem Cell Transplantation for Acute-on-chronic Liver Failure, a Randomized, Double Blind, Placebo Controlled Trial",Xi'an,Shaanxi,China,"December 10, 2017"
61,62,NCT04446897,"Periodontitis, Chronic",Treatment of Chronic Medium-severe Periodontitis With Mesenchymal Stem Cells Predifferentiated in Osteogenic Direction,mesenchymal stem cells|standard treatment,Treatment of Chronic Medium-severe Periodontitis With Mesenchymal Stem Cells Predifferentiated in Osteogenic Direction Immobilised on a Biodegradable Carrier,Minsk,,Belarus,"August 3, 2020"
62,63,NCT03346967,Hormone Deficiency,Outcomes of Adipose Derived Mesenchymal Stem Cells on Sexual Hormone Deficiency,adipose-derived mesenchymal stem cells,"Evaluation of Autologous Adipose Derived Mesenchymal Stem Cells (AD-MSCs) Therapy on Sexual Hormone Deficiency in the Middle-aged Patients: an Open-label, Single-group Clinical Trial",Hanoi,,Vietnam,"November 1, 2017"
63,64,NCT03219801,Systemic Lupus Erythematosus,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Systemic Lupus Erythematosus,mesenchymal stem cells,Evaluation of Safety and Efficacy in Patients With Systemic Lupus Erythematosus by Transplantation of Umbilical Cord Derived Mesenchymal Stem Cells,Shijiazhuang,Hebei,China,"August 1, 2017"
64,65,NCT00659620,Kidney Transplant|Chronic Allograft Nephropathy,Mesenchymal Stem Cell Transplantation in the Treatment of Chronic Allograft Nephropathy,mesenchymal stem cell,Mesenchymal Stem Cell Transplantation in the Treatment of Chronic Allograft Nephropathy,Fuzhou,Fujian,China,May 2008
65,66,NCT03645525,Bronchopulmonary Dysplasia,Intratracheal Umbilical Cord-derived Mesenchymal Stem Cell for the Treatment of Bronchopulmonary Dysplasia (BPD),Human Umbilical Cord-derived Mesenchymal stem cell|placebo,Intratracheal Umbilical Cord-derived Mesenchymal Stem Cell for the Treatment of Bronchopulmonary Dysplasia (BPD),Shanghai|Shanghai|Shanghai,Shanghai|Shanghai|Shanghai,China|China|China,"December 1, 2019"
66,67,NCT01877759,Liver Cirrhosis,A Clinical Study to Evaluate the Safety and Efficacy of Mesenchymal Stem Cells in Liver Cirrhosis,Mesenchymal stem cell,Role of Bone Marrow Derived Autologous Stem Cells + Human Umbilical Cord Derived Mesenchymal Stem Cells for the Treatment of Liver Cirrhosis,"Pune,",Maharashtra,India,December 2013
67,68,NCT01962233,Hypoxic Ischemic Encephalopathy,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Hypoxic Ischemic Encephalopathy,mesenchymal stem cells,Safety and Efficacy Investigation of Patients With Hypoxic Ischemic Encephalopathy by Transplantation of Umbilical Cord Derived Mesenchymal Stem Cells,Shijiazhuang,Hebei,China,September 2013
68,69,NCT01504464,Osteoarthritis,The Effects of Intra-articular Injection of Mesenchymal Stem Cells in Knee Joint Osteoarthritis,mesenchymal stem cell|Placebo,"Evaluation the Effects of Intra-articular Injection of Mesenchymal Stem Cells in Patients With Knee Joint Osteoarthritis, Triple Blind Randomized Clinical Trial",Tehran,,"Iran, Islamic Republic of",October 2012
69,70,NCT02266394,Renal Artery Stenosis|Ischemic Nephropathy|Renovascular Disease|Chronic Kidney Disease,Hypoxia and Inflammatory Injury in Human Renovascular Hypertension,Mesenchymal stem cell|Mesenchymal stem cell delivery with stent placement,Hypoxia and Inflammatory Injury in Human Renovascular Hypertension : Phase 1 Trial of Mesenchymal Stem Cell Therapy,Birmingham|Rochester|Jackson,Alabama|Minnesota|Mississippi,United States|United States|United States,"October 21, 2014"
70,71,NCT03055078,Aplastic Anemia,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Aplastic Anemia,mesenchymal stem cells,Evaluation of Safety and Efficacy in Patients With Aplastic Anemia by Transplantation of Umbilical Cord Derived Mesenchymal Stem Cells,Shijiazhuang,Hebei,China,January 2017
71,72,NCT02460770,Chronic Myocardial Ischemia,Bone Marrow-derived Mesenchymal Stem Cells (MSC) Administration in Weaning From Left Ventricular Assist Device,Autologous mesenchymal stem cells,Pilot Study of Investigation of Bone Marrow-derived Mesenchymal Stem Cells (MSC) Administration in Weaning From Left Ventricular Assist Device,Toulouse,,France,June 2015
72,73,NCT03668145,Primary Biliary Cirrhosis,Mesenchymal Stem Cell Transplantation for Refractory Primary Biliary Cholangitis,mesenchymal stem cell transplantation or placebo infusion via peripheral vein,"Mesenchymal Stem Cell Transplantation for Refractory Primary Biliary Cholangitis, a Randomized Double-blind Placebo Controlled Trial",Xi'an,Shaanxi,China,"November 8, 2017"
73,74,NCT00734396,Organ Transplantation,Mesenchymal Stem Cells and Subclinical Rejection,Mesenchymal stem cell infusion,Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Allograft Rejection After Renal Transplantation,Leiden,,Netherlands,February 2009
74,75,NCT01360164,Hereditary Ataxia,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cell Therapy for Patients With Hereditary Ataxia,human umbilical cord mesenchymal stem cells,Phase I/II Study of Umbilical Cord Mesenchymal Stem Cell Therapy for Patients With Hereditary Ataxia,Nanjing,Jiangsu,China,January 2010
75,76,NCT03358654,Umbilical Cord Bleeding|Knee Osteoarthritis,Evaluating Safety and Efficacy of Mesenchymal Stem Cells From Umbilical Cord,mesenchymal stem cells from umbilical cord,Evaluating the Safety and Efficacy of Mesenchymal Stem Cells From Umbilical Cord in the Treatment of Knee Joint Osteoarthritis,,,,"January 1, 2018"
76,77,NCT04302519,COVID-19,Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells,Dental pulp mesenchymal stem cells,Clinical Study of Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells,,,,"March 5, 2020"
77,78,NCT01765634,Acute Graft-versus-host Disease,Mesenchymal Stem Cells for Treatment of Refractory Acute Graft-versus-host Disease,Mesenchymal stem cells|Non-mesenchymal stem cells,Mesenchymal Stem Cells From Third-party Donors for Treatment of Refractory Acute Graft-versus-host Disease,Guangzhou,Guangdong,China,January 2013
78,79,NCT01765660,Chronic Graft-versus-host Disease,Mesenchymal Stem Cells for Treatment of Refractory Chronic Graft-versus-host Disease,Mesenchymal stem cells|Non-mesenchymal stem cells,Mesenchymal Stem Cells From Third-party Donors for Treatment of Refractory Chronic Graft-versus-host Disease,Guangzhou,Guangdong,China,January 2013
