,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
10,11,NCT03042572,Peripheral Arterial Disease|Cardiovascular Diseases|Vascular Diseases,Allogeneic Mesenchymal Stromal Cells for Angiogenesis and Neovascularization in No-option Ischemic Limbs,Allogeneic Mesenchymal Stromal Cell|Placebo,"Allogeneic Mesenchymal Stromal Cells for Angiogenesis and Neovascularization in No-option Ischemic Limbs; A Double-blind, Randomized, Placebo-controlled Trial",Utrecht,,Netherlands,December 2018
11,12,NCT03818854,"Respiratory Distress Syndrome, Adult",Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome,Human Mesenchymal Stromal Cells|Cell Reconstitution Media,"A Phase 2b, Randomized, Double-blind, Placebo-controlled, Multi-center Clinical Trial of Allogeneic Bone Marrow-derived Human Mesenchymal Stromal Cells (hMSCs) for the Treatment of Acute Respiratory Distress Syndrome",Sacramento|San Francisco|San Francisco|Portland|Nashville|Houston|Seattle,California|California|California|Oregon|Tennessee|Texas|Washington,United States|United States|United States|United States|United States|United States|United States,"November 26, 2019"
12,13,NCT02323789,Recessive Dystrophic Epidermolysis Bullosa,Mesenchymal Stromal Cells in Adults With Recessive Dystrophic Epidermolysis Bullosa,Mesenchymal stromal cells,A Phase I/II Study Evaluating Allogeneic Mesenchymal Stromal Cells in Adults With Recessive Dystrophic Epidermolysis Bullosa,London,,United Kingdom,June 2015
13,14,NCT02032446,Hematologic Malignancies,Umbilical Cord Derived Mesenchymal Stromal Cells For The Treatment of Severe Steroid-resistant Graft Versus Host Disease,UMBILICAL CORD DERIVED MESENCHYMAL STROMAL CELLS (UC-MSC),UMBILICAL CORD DERIVED MESENCHYMAL STROMAL CELLS (UC-MSC) FOR THE TREATMENT OF SEVERE (GRADE III-IV) STEROID-RESISTANT GRAFT VERSUS HOST DISEASE (GvHD): A PHASE I/II TRIAL,Bergamo|Cuneo|Firenze|Genova|Milano|Monza|Udine|Vicenza,,Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy,September 2013
14,15,NCT03461458,Degenerative Disc Disease,"Autologous, Culture-Expanded Mesenchymal Stromal Cells for Degenerative Disc Disease",Autologous Adipose-Derived Mesenchymal Stromal Cells,"A Phase I Study Evaluating the Safety and Feasibility of Autologous, Culture-Expanded Adipose-Derived Mesenchymal Stromal Cells in Subjects With Painful Degenerative Disc Disease",Rochester,Minnesota,United States,"October 17, 2018"
15,16,NCT03478215,Renal Transplantation|Mesenchymal Stem Cells,Mesenchymal Stromal Cells in Living Donor Kidney Transplantation,Mesenchymal Stromal Stem Cells (MSCs) Infusion|Normal Saline (Placebo) Infusion,"A Double-blind, Randomized, Controlled Dose Escalation Trial of Autologuous Mesenchymal Stromal Cells in Living Donor Kidney Transplant Recipients",Houston,Texas,United States,December 2016
16,17,NCT05286255,COVID-19 Pneumonia|Viral Pneumonia,Mesenchymal Stromal Cells for COVID-19 and Viral Pneumonias,Allogeneic Mesenchymal Stromal Cells,"Safety and Tolerability of Allogeneic Umbilical Cord Derived Mesenchymal Stromal Cells (UC-MSCs) to Limit COVID Associated ComplicatioNs: An Open Label, Phase 1 Study in Hospitalized Patients (SAMPSON-1)",Charleston,South Carolina,United States,"May 4, 2022"
17,18,NCT00644410,Congestive Heart Failure,Autologous Mesenchymal Stromal Cell Therapy in Heart Failure,Mesenchymal stromal cell|Saline,"A Single Centre, Randomised Controlled Study of the Effect of NOGA-guided Direct Intramyocardial Injection of Mesenchymal Stromal Cells on the Development of New Myocardium and Blood Vessels in Patients With Heart Failure",Copenhagen,,Denmark,September 2008
18,19,NCT03268603,ALS|Amyotrophic Lateral Sclerosis,Intrathecal Autologous Adipose-derived Mesenchymal Stromal Cells for Amyotrophic Lateral Sclerosis (ALS),Autologous Adipose-derived Mesenchymal Stromal Cells,A Phase II Study of Intrathecal Autologous Adipose-derived Mesenchymal Stromal Cells for Amyotrophic Lateral Sclerosis,Scottsdale|Jacksonville|Rochester,Arizona|Florida|Minnesota,United States|United States|United States,"October 10, 2017"
19,20,NCT01061099,Osteogenesis Imperfecta Type II|Osteogenesis Imperfecta Type III,Repeated Infusions of Mesenchymal Stromal Cells in Children With Osteogenesis Imperfecta,Mesenchymal Stromal Cells,A Pilot Study to Assess the Safety and Feasibility of Repeated Infusions of Mesenchymal Stromal Cells (MSC) in Children With Osteogenesis Imperfecta,Philadelphia,Pennsylvania,United States,February 2010
20,21,NCT01764100,Graft vs Host Disease,Mesenchymal Stromal Cells (MSCs) for the Treatment of Graft Versus Host Disease (GVHD),Mesenchymal stromal cells,Mesenchymal Stromal Cells (MSC) for the Treatment of Severe (Grade II-IV) Steroid-resistant Graft Versus Host Disease (GVHD): a Phase I Trial,Bergamo|Monza|Monza,BG|MB|MB,Italy|Italy|Italy,September 2009
21,22,NCT02215811,"Acute Respiratory Distress Syndrome, Adult",Treatment of Severe Acute Respiratory Distress Syndrome With Allogeneic Bone Marrow-derived Mesenchymal Stromal Cells,Mesenchymal stromal cells,Treatment of Severe Acute Respiratory Distress Syndrome With Allogeneic Bone Marrow-derived Mesenchymal Stromal Cells,Stockholm|Uppsala,,Sweden|Sweden,March 2014
22,23,NCT02291770,Chronic Graft-Versus-Host Disease,Treatment of Chronic Graft-Versus-Host Disease With Mesenchymal Stromal Cells,Mesenchymal Stromal Cells,Treatment of of Chronic Graft-Versus-Host Disease With Mesenchymal Stromal Cells. A Phase III Randomized Open Label Multi-center Study in Southern China.,Guangzhou,Guangdong,China,October 2014
23,24,NCT04445454,Coronavirus Infection,Mesenchymal Stromal Cell Therapy for Severe Covid-19 Infection,Mesenchymal stromal cells,Mesenchymal Stromal Cell Therapy for Severe Covid-19 Infection,Liège,,Belgium,"June 12, 2020"
24,25,NCT02814864,Pelvic Radiation Therapy|Radiation-induced Hemorrhagic Cystitis,"Trial Evaluating the Efficacy of Systemic Mesenchymal Stromal Cell (MSC) Injections for the Treatment of Severe and Chronic Radiotherapy-induced Abdomino-pelvic Complications (Pelvic Radiation Disease, PRD) Refractory to Standard Therapy",Mesenchymal Stromal Cell (MSC) injections,"Clinical Phase II Trial Evaluating the Efficacy of Systemic Mesenchymal Stromal Cell (MSC) Injections for the Treatment of Severe and Chronic Radiotherapy-induced Abdomino-pelvic Complications (Pelvic Radiation Disease, PRD) Refractory to Standard Therapy",Paris,,France,"April 14, 2021"
25,26,NCT03211793,Systemic Sclerosis|Digital Ulcer,Mesenchymal Stromal Cells as Treatment for Digital Ulcers in Systemic Sclerosis,Mesenchymal stromal cells|Placebo,Mesenchymal Stromal Cells for Angiogenesis and Neovascularisation in Digital Ulcers of Systemic Sclerosis: the MANUS Trial,Utrecht,,Netherlands,"October 6, 2021"
26,27,NCT02805855,"Osteoarthritis, Knee",Autologous Culture Expanded Mesenchymal Stromal Cells for Knee Osteoarthritis,Autologous Adipose-Derived Mesenchymal Stromal Cells,Safety and Feasibility of Autologous Culture Expanded Adipose Derived Mesenchymal Stromal Cells in the Treatment of Painful Knee Osteoarthritis,Rochester,Minnesota,United States,"October 26, 2016"
27,28,NCT04626583,Mesenchymal Stromal Cells|Cornea|Safety|Corneal Defect,Safety of Locally Delivered Allogeneic Mesenchymal Stromal Cells,Allogeneic MSC,Safety of Locally Delivered Allogeneic Mesenchymal Stromal Cells for Promoting Corneal Repair,Chicago,Illinois,United States,"March 5, 2021"
28,29,NCT04466098,Acute Respiratory Distress Syndrome|ARDS (Moderate or Severe)|COVID-19 Pneumonia,Multiple Dosing of Mesenchymal Stromal Cells in Patients With ARDS (COVID-19),Mesenchymal stromal cells|Placebo,"Multi-center, Randomized, Placebo Controlled, Interventional Phase 2A Clinical Trial Evaluating the Safety and Potential Efficacy of Multiple Dosing of Mesenchymal Stromal Cells in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Cov-2)",Minneapolis|Pittsburgh,Minnesota|Pennsylvania,United States|United States,"July 30, 2020"
29,30,NCT03233074,Myelodysplastic Syndromes|Acute Myeloid Leukemia|Cardio-vascular Surgery,Constitution of a Biological Cohort Following Bone Marrow Sampling From MDS or AML Patients and Age-matched Healthy Donors,Bone marrow analyses,Constitution of a Biological Cohort Following Bone Marrow Sampling From MDS or AML Patients and Age-matched Healthy Donors (COSMOS),Saint-Priest-en-Jarez|Saint-Étienne,,France|France,"November 17, 2017"
30,31,NCT04345601,Sars-CoV2|Acute Respiratory Distress Syndrome|COVID-19,Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease),Mesenchymal Stromal Cells|Supportive Care,"Single Donor Banked Bone Marrow Mesenchymal Stromal Cells for the Treatment of COVID-19 Induced ARDS: A Non-Blinded Randomized, Controlled Study",Houston,Texas,United States,"February 12, 2021"
31,32,NCT01038596,Osteoarthritis,Mesenchymal Stromal Cells and Osteoarthritis,,Proliferation and Osteogenic Differentiation of Bone Marrow-derived Mesenchymal Stromal Cells From Osteoarthritic Versus Healthy Donors,Dresden,,Germany,January 2009
32,33,NCT04356287,"Sclerosis, Systemic|Mesenchymal Stem Cells",Treatment With Human Umbilical Cord-derived Mesenchymal Stromal Cells in Systemic Sclerosis,UCMSC|Placebo,Phase I/II Randomized Controlled Trial of Umbilical Cord-derived mesenChymAl stRomal cElls in Systemic Sclerosis,,,,November 2022
33,34,NCT04549285,Multisystem Inflammatory Syndrome in Children,Infusions of Mesenchymal Stromal Cells in Children With Multisystem Inflammatory Syndrome,Human Cord Tissue Mesenchymal Stromal Cells (hCT-MSCs),A Phase I Pilot Study of the Safety of Infusions of Allogeneic Human Cord Tissue Mesenchymal Stromal Cells in Children With Multisystem Inflammatory Syndrome in Children (MIS-C),Atlanta|Westchester|Durham,Georgia|New York|North Carolina,United States|United States|United States,"March 12, 2021"
34,35,NCT04348461,COVID|Respiratory Distress Syndrome,BAttLe Against COVID-19 Using MesenchYmal Stromal Cells,Allogeneic and expanded adipose tissue-derived mesenchymal stromal cells,"Two-treatment,Randomized, Controlled, Multicenter Clinical Trial to Assess the Safety and Efficacy of Intravenous Administration of Expanded Allogeneic Adipose Tissue Adult Mesenchymal Stromal Cells in Critically Ill Patients COVID-19",Madrid,,Spain,"May 6, 2020"
35,36,NCT03608631,KRAS NP_004976.2:p.G12D|Metastatic Pancreatic Adenocarcinoma|Pancreatic Ductal Adenocarcinoma|Stage IV Pancreatic Cancer AJCC v8,iExosomes in Treating Participants With Metastatic Pancreas Cancer With KrasG12D Mutation,Mesenchymal Stromal Cells-derived Exosomes with KRAS G12D siRNA,Phase I Study of Mesenchymal Stromal Cells-Derived Exosomes With KrasG12D siRNA for Metastatic Pancreas Cancer Patients Harboring KrasG12D Mutation,Houston,Texas,United States,"January 27, 2021"
36,37,NCT03014219,Perianal Fistula,Phase 1 Crohn's Pediatric Sub-study of MSC AFP,Only 1 arm: treatment with MSC-AFP,A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Fistulizing Crohn's Disease: Pediatric Sub-study,Rochester,Minnesota,United States,July 2017
37,38,NCT04236479,Congenital Heart Disease (CHD),Mesenchymal Stromal Cells for Infants With Congenital Heart Disease (MedCaP),BM-MSC,Mesenchymal Stromal Cells Delivery Through Cardiopulmonary Bypass in Pediatric Cardiac Surgery,Washington,District of Columbia,United States,"July 29, 2020"
38,39,NCT01659762,Crohn's Disease,A Phase I Study Evaluating Autologous Bone Marrow Derived Mesenchymal Stromal for Crohn's Disease.,autologous mesenchymal stromal cell,A Phase I Study Evaluating Safety and Tolerability of Autologous Bone Marrow Derived Mesenchymal Stromal (MSC) Cells in Adults With Moderate to Severe Crohn's Disease.,Atlanta,Georgia,United States,July 2012
39,40,NCT02646007,Kienböck's Disease,Autologous Bone Marrow Derived Mesenchymal Stromal Cells Transplantation(BM-MSC) for Kienbock's Disease,BM-MSC transplantation,Autologous Bone Marrow Derived Mesenchymal Stromal Cells Transplantation for Human Avascular Necrosis of the Lunate Bone of the Wrist (Kienbock's Disease),Tehran,,"Iran, Islamic Republic of",November 2015
40,41,NCT04255147,Bronchopulmonary Dysplasia,Cellular Therapy for Extreme Preterm Infants at Risk of Developing Bronchopulmonary Dysplasia,Allogeneic Umbilical Cord Tissue-Derived Mesenchymal Stromal Cells,Helping Underdeveloped Lungs With Cells (HULC): Mesenchymal Stromal Cells in Extreme Preterm Infants at Risk of Developing Bronchopulmonary Dysplasia - Phase 1 Study,Ottawa,Ontario,Canada,June 2022
41,42,NCT02580695,Osteoarthritis,A Study to Assess Safety and Efficacy of Umbilical Cord-derived Mesenchymal Stromal Cells in Knee Osteoarthritis,umbilical-cord mesenchymal stromal cells|Hyaluronic Acid,"A Phase I/II, Randomized, Double-blind, Controlled Study to Assess Safety and Efficacy of Umbilical Cord-derived Mesenchymal Stromal Cells (UC-MSCs) in Patients With Knee Osteoarthritis",Santiago,,Chile,December 2015
42,43,NCT01175655,Bronchiolitis Obliterans|Lung Transplantation,A Study to Evaluate the Potential of Mesenchymal Stromal Cells to Treat Obliterative Bronchiolitis After Lung Transplantation,MSC,A Study to Evaluate the Potential of Mesenchymal Stromal Cells to Treat Obliterative Bronchiolitis After Lung Transplantation,Brisbane|Perth,Queensland|Western Australia,Australia|Australia,February 2010
43,44,NCT02565459,Chronic Renal Failure,MSC and Kidney Transplant Tolerance (Phase A),Mesenchymal Stromal Cells,Third-party Bone Marrow-derived Mesenchymal Stromal Cells to Induce Tolerance in Recipients of Kidney Transplants From Deceased Donors (Phase A),Bergamo,,Italy,September 2015
44,45,NCT05061030,Type1diabetes,Mesenchymal Stromal Cells to Treat Type 1 Diabetes in Children and Adolescents,the ATMP Protrans,"A Double-blinded, Randomized, Parallel, Placebo-controlled Trial of Wharton's Jelly-derived Allogeneic Mesenchymal Stromal Cells to Treat Type 1 Diabetes in Children and Adolescents",Uppsala,,Sweden,"January 14, 2022"
45,46,NCT03973827,Type1diabetes,Wharton´s Jelly Derived Mesenchymal Stromal Cell Repeated Treatment of Adult Patients Diagnosed With Type I Diabetes,ProTrans,"An Open Label, Parallel Single Center Trial of Wharton's Jelly Derived Allogeneic Mesenchymal Stromal Cells Repeatedly Treated to Preserve Endogenous Insulin Production in Adult Patients Diagnosed With Type 1 Diabetes",Huddinge,,Sweden,"May 17, 2019"
46,47,NCT00957931,Sickle Cell Disease|Thalassemia|Diamond-Blackfan Anemia,"Allo-HCT MUD for Non-malignant Red Blood Cell (RBC) Disorders: Sickle Cell, Thal, and DBA: Reduced Intensity Conditioning, Co-tx MSCs",Bone marrow transplantation|Mesenchymal Stromal Cells,"Pilot Study MUD HCT:Pts High Risk Sickle Cell,Other Non-Malignant RBC Disorders- Reduced Intensity Preparative Regimen, HAPLO-Identical Mesenchymal Stromal Cells",Birmingham|Minneapolis,Alabama|Minnesota,United States|United States,March 2009
47,48,NCT03917797,"Lupus Erythematosus, Systemic|Lupus Glomerulonephritis",Mesenchymal Stromal Cells (MSC´s) in Renal Lupus,MSC treatment|Standard of Care|Placebo,Dose-response and Efficacy of Umbilical Cord-derived Mesenchymal Stromal Cells in Renal Systemic Lupus Erythematosus,Santiago de Chile|Santiago de Chile,Región Metropolitana|Región Metropolitana,Chile|Chile,"April 2, 2019"
48,49,NCT04467047,COVID-19|Sars-CoV2,Safety and Feasibility of Allogenic MSC in the Treatment of COVID-19,Mesenchymal Stromal Cells infusion,Safety and Feasibility of Allogenic Mesenchymal Stromal Cells in the Treatment of COVID-19,,,,"July 25, 2020"
49,50,NCT04615429,Acute Respiratory Distress Syndrome|COVID-19 Pneumonia,Clinical Trial to Assess the Efficacy of MSC in Patients With ARDS Due to COVID-19,Mesenchymal stromal cells|Placebo,"Double-blind, Randomized, Controlled, Clinical Trial to Assess the Efficacy of Allogenic Mesenchymal Stromal Cells in Patients With Acute Respiratory Distress Syndrome Due to COVID-19",Majadahonda,Madrid,Spain,"September 15, 2020"
50,51,NCT01872624,Pulmonary Emphysema,Safety Study of Bone-marrow Derived Mesenchymal Stromal Cells Associated With Endobronchial Valves in Emphysema,Bronchoscopy,Bone-marrow Derived Mesenchymal Stromal Cells Associated With One-way Endobronchial Valves in Patients With Pulmonary Emphysema: Safety Study,Curitiba|Rio de Janeiro|Porto Alegre,PR|RJ|RS,Brazil|Brazil|Brazil,May 2013
51,52,NCT02421484,Septic Shock,Cellular Immunotherapy for Septic Shock: A Phase I Trial,Allogeneic mesenchymal stromal cells,Cellular Immunotherapy for Septic Shock: A Phase I Trial,Ottawa,Ontario,Canada,May 2015
52,53,NCT04328714,Acute Leukemia|Myelodysplastic Syndromes,Interferon γ-Primed Mesenchymal Stromal Cells as Prophylaxis for Acute Graft v Host Disease,Interferon gamma (IFNγ)-primed human bone marrow-derived mesenchymal stromal cells,Interferon γ-Primed Mesenchymal Stromal Cells as Prophylaxis for Acute Graft v Host Disease After Allogeneic Hematopoietic Cell Transplantation for Patients With Hematologic Malignancies and Myelodysplasia,Atlanta|Atlanta|Atlanta,Georgia|Georgia|Georgia,United States|United States|United States,"December 2, 2021"
53,54,NCT01742260,Surgically-Created Resection Cavity,Cranial Reconstruction Using Mesenchymal Stromal Cells and Resorbable Biomaterials,Repair of cranial defects by tissue engineering,A Pilot Study to Demonstrate Safety and Feasibility of Cranial Reconstruction Using Mesenchymal Stromal Cells and Resorbable Biomaterials,Perth,Western Australia,Australia,July 2013
54,55,NCT05035862,Asthma,Mechanisms of Interferon Gamma-primed Mesenchymal Stromal Cells (MSCs) for Moderate-to-severe Persistent Asthma,Albuterol Sulfate|Interferon gamma-primed mesenchymal stromal cells (MSCs)|Prednisone,"A Phase 1 Study to Evaluate Safety, Toxicity, and Potential Mechanisms of Interferon Gamma-primed Mesenchymal Stromal Cells (MSCs) for Moderate-to-severe Persistent Asthma",Atlanta,Georgia,United States,"March 16, 2022"
55,56,NCT02230514,Atrophic Nonunion of Fracture,Mesenchymal Stromal Cells for the Treatment of Non-union Fractures of Long Bones,XCEL-MT-OSTEO-ALPHA|autologous iliac crest|Surgery,"A Phase IIa, Single Center, Prospective, Randomized, Parallel, Two-arms, Single-dose, Open-label With Blinded Assessor Pilot Clinical Trial to Assess ex Vivo Expanded Adult Autologous Mesenchymal Stromal Cells Fixed in Allogeneic Bone Tissue (XCEL-MT-OSTEO-ALPHA) in Non Hypertrophic Pseudoarthrosis of Long Bones",Sant Cugat,Barcelona,Spain,"November 20, 2014"
56,57,NCT05559801,Osteogenesis Imperfecta|Osteogenesis Imperfecta Type III,Mesenchymal Cell Therapy in Osteogenesis Imperfecta (OI),Bone marrow-derived mesenchymal stromal cells (MSCs),A Phase 1/2 Study to Examine the Safety and Preliminary Efficacy of Mesenchymal Stromal Cells on Linear Growth and Bone Health Parameters in Children With Type 3 Osteogenesis Imperfecta (OI),,,,October 2022
57,58,NCT04361942,COVID-19 Pneumonia,Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV),Mesenchymal Stromal Cells|Placebo,"Double Blind, Placebo-controlled, Phase II Trial to Evaluate Safety and Efficacy of Allogenic Mesenchymal Stromal Cells MSV_allo for Treatment of Acute Respiratory Failure in Patients With COVID-19 Pneumonia (COVID_MSV)",Valladolid,,Spain,"May 1, 2020"
58,59,NCT02260375,Liver Transplant Rejection,MSC Therapy in Liver Transplantation,Mesenchymal Stromal Cells,THIRD-PARTY BONE MARROW-DERIVED MESENCHYMAL STROMAL CELLS TO INDUCE TOLERANCE IN LIVER TRANSPLANT RECIPIENTS,Bergamo|Bergamo|Bergamo|Bergamo|Bologna|Bologna,,Italy|Italy|Italy|Italy|Italy|Italy,October 2014
59,60,NCT02495766,Relapsing-Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis,Autologous Mesenchymal Stromal Cells for Multiple Sclerosis,XCEL-MC-ALPHA|Placebo,Treatment of Autologous Mesenchymal Stem Cells Derived From Bone Marrow as a Potential Therapeutic Strategy for the Treatment of Multiple Sclerosis,Barcelona,,Spain,"May 11, 2015"
60,61,NCT02384018,Chronic Pancreatitis|Diabetes,Mesenchymal Stem Cell and Islet Co-transplantation,autologous mesenchymal stromal cell,A Phase I Study Evaluating Safety and Tolerability of Autologous Bone Marrow-derived Mesenchymal Stromal Cells in Chronic Pancreatitis Patients Who Undergo Total Pancreatectomy and Islet Autotransplantation.,Charleston,South Carolina,United States,December 2014
61,62,NCT03298399,Sickle Cell Disease,Mesenchymal Stromal Cells for Haplo Hematopoietic Cell Transplantation for Sickle Cell Disease,Autologous MSCs|Autologous MSCs|Autologous MSCs,A Phase I Study of Mesenchymal Stromal Cells to Promote Stem Cell Engraftment in Patients With Severe Sickle Cell Disease Undergoing Haploidentical Hematopoietic Cell Transplantation,,,,"December 21, 2017"
62,63,NCT02943486,"Foot Ulcer, Diabetic",Mesenchymal Stromal Cell Derivatives in the Treatment of Chronic Diabetic Foot Ulcers Type 1 and 2,dac-MSCs|MSCs|Fitostimoline,Mesenchymal Stromal Cell Derivatives: a New Alternative and Potential Product for the Treatment of Diabetic Foot Ulcers 1 and 2,,,,January 2017
63,64,NCT04089579,Autism|Autism Spectrum Disorder,hCT-MSC in Children With Autism Spectrum Disorder,Cord Tissue Mesenchymal Stromal Cells|Placebo Infusion,"A Phase II Study of hCT-MSC, an Umbilical Cord-Derived Mesenchymal Stromal Cell Product, in Children With Autism Spectrum Disorder",Durham,North Carolina,United States,"October 12, 2020"
64,65,NCT05204329,Mesenchymal Stromal Cells|Cornea|Corneal Defect|Corneal Epithelium Defect,Safety of Topical Mesenchymal Stromal Cell Secretome for Ocular Surface Disease,MSC Secretome Eye Drops,Safety of Topical Mesenchymal Stromal Cell Secretome for Ocular Surface Disease,,,,"December 1, 2022"
65,66,NCT03449069,Fistula in Ano|Crohn Disease,Pediatric MSC-AFP Sub-study for Crohn's Fistula,MSC-AFP,A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Fistulizing Crohn's Disease: Pediatric Sub-study,Rochester,Minnesota,United States,"July 23, 2018"
66,67,NCT04918706,Pulmonary Emphysema|Mesenchymal Stromal Cells,Allogeneic MSC Treatment for Pulmonary Emphysema,Allogeneic MSC|Placebo,An Explorative Study for Halting Inflammation in Patients With Emphysema by Administration of Allogeneic Bone Marrow Derived Mesenchymal Stromal Cells.,Leiden,,Netherlands,"June 25, 2019"
67,68,NCT02807389,Surgical Leak Fistula,Stem Cell Fistula Plug in Post Surgical Leak Fistulas,MSC Fistula Plug,A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Complicated Post-surgical Fistulas,Rochester,Minnesota,United States,"March 14, 2017"
68,69,NCT02589119,Perianal Fistula|Cryptoglandular Perianal Fistula,Stem Cell Fistula Plug in Cryptoglandular Perianal Fistulas (MSC-AFP),MSC-AFP,"A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With High, Transsphincteric Cryptoglandular Perianal Fistulas",Rochester,Minnesota,United States,January 2016
69,70,NCT03220243,Fistula Vagina|Crohn Disease,Stem Cell Coated Fistula Plug in Patients With Crohn's RVF,MSC-AFP,A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Rectovaginal Fistulizing Crohn's Disease,Rochester,Minnesota,United States,"October 19, 2017"
70,71,NCT01849237,Septic Shock|Nonchemotherapy Drug-induced Neutropenia|Neutropenia After Chemotherapy in Oncohematological Patients|Neutropenia in Patients With Aplastic Anemia,Russian Clinical Trial of Mesenchymal Cells in Patients With Septic Shock and Severe Neutropenia,Mesenchymal stromal cells|Standard therapy of septic shock,Russian Single-center Open Randomized Clinical Trial of the Impact of Mesenchymal Stromal Cells Therapy on Organ Dysfunction and 28-day Mortality in Patients With Septic Shock and Severe Neutropenia.,Moscow,,Russian Federation,December 2012
71,72,NCT02359929,Graft Versus Host Disease|Acute Graft Versus Host Disease|Chronic Graft Versus Host Disease,BMT Autologous MSCs for GvHD,Autologous mesenchymal stromal cells (MSCs),A Phase I Study of Mesenchymal Stromal Cells for the Treatment of Acute and Chronic Graft Versus Host Disease,Atlanta,Georgia,United States,January 2015
